region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,107.05,1089,1024,1154,98.78,118.33,1089 [1024 - 1154],107.05% [98.78% - 118.33%],2284,1586,3237,01-26-2021,projected
2,AL- DOTHAN,101.46,140,134,148,98.9,106.13,140 [134 - 148],101.46% [98.9% - 106.13%],285,251,347,01-26-2021,projected
5,AL- HUNTSVILLE,99.89,142,135,149,96.76,103.19,142 [135 - 149],99.89% [96.76% - 103.19%],374,315,436,01-26-2021,projected
6,AL- MOBILE,106.15,371,356,392,99.99,113.25,371 [356 - 392],106.15% [99.99% - 113.25%],747,571,950,01-26-2021,projected
7,AL- MONTGOMERY,127.8,385,364,419,113.7,147.79,385 [364 - 419],127.8% [113.7% - 147.79%],739,521,1048,01-26-2021,projected
9,AL- TUSCALOOSA,103.55,109,103,119,97.03,109.86,109 [103 - 119],103.55% [97.03% - 109.86%],235,170,298,01-26-2021,projected
11,AZ- MESA,140.3,464,441,495,129.85,151.62,464 [441 - 495],140.3% [129.85% - 151.62%],1194,987,1418,01-26-2021,projected
12,AZ- PHOENIX,116.41,1010,962,1073,110.22,123.1,1010 [962 - 1073],116.41% [110.22% - 123.1%],2758,2289,3265,01-26-2021,projected
14,AZ- SUN CITY,101.73,55,52,59,98.15,105.56,55 [52 - 59],101.73% [98.15% - 105.56%],176,147,207,01-26-2021,projected
15,AZ- TUCSON,137.92,735,694,799,120.69,162.37,735 [694 - 799],137.92% [120.69% - 162.37%],1462,1027,2079,01-26-2021,projected
16,AR- FORT SMITH,100.92,120,114,126,97.56,105.53,120 [114 - 126],100.92% [97.56% - 105.53%],268,225,327,01-26-2021,projected
18,AR- JONESBORO,93.27,46,44,49,91.06,94.27,46 [44 - 49],93.27% [91.06% - 94.27%],120,100,129,01-26-2021,projected
19,AR- LITTLE ROCK,95.78,403,385,425,92.66,98.62,403 [385 - 425],95.78% [92.66% - 98.62%],911,731,1075,01-26-2021,projected
21,AR- SPRINGDALE,120.59,213,204,226,110.75,131.18,213 [204 - 226],120.59% [110.75% - 131.18%],429,325,541,01-26-2021,projected
22,AR- TEXARKANA,96.94,84,80,89,94.59,98.88,84 [80 - 89],96.94% [94.59% - 98.88%],166,143,185,01-26-2021,projected
23,CA- ORANGE CO.,102.64,762,730,798,98.35,106.7,762 [730 - 798],102.64% [98.35% - 106.7%],1732,1404,2043,01-26-2021,projected
25,CA- BAKERSFIELD,97.95,284,271,298,94.68,101.13,284 [271 - 298],97.95% [94.68% - 101.13%],649,531,764,01-26-2021,projected
31,CA- CHICO,92.97,38,35,40,90.94,95.0,38 [35 - 40],92.97% [90.94% - 95.0%],83,70,96,01-26-2021,projected
33,CA- CONTRA COSTA CO.,95.23,119,113,126,92.33,97.92,119 [113 - 126],95.23% [92.33% - 97.92%],305,247,359,01-26-2021,projected
43,CA- FRESNO,106.81,245,234,256,102.16,111.14,245 [234 - 256],106.81% [102.16% - 111.14%],612,506,711,01-26-2021,projected
56,CA- LOS ANGELES,110.14,3528,3340,3716,102.47,117.32,3528 [3340 - 3716],110.14% [102.47% - 117.32%],7475,5573,9256,01-26-2021,projected
58,CA- MODESTO,100.83,125,118,132,96.81,104.37,125 [118 - 132],100.83% [96.81% - 104.37%],358,289,419,01-26-2021,projected
62,CA- NAPA,95.46,36,34,39,93.06,98.04,36 [34 - 39],95.46% [93.06% - 98.04%],90,76,105,01-26-2021,projected
65,CA- ALAMEDA CO.,89.47,107,100,114,87.31,91.63,107 [100 - 114],89.47% [87.31% - 91.63%],320,247,393,01-26-2021,projected
69,CA- PALM SPR/RANCHO MIR.,113.24,155,149,162,108.21,118.37,155 [149 - 162],113.24% [108.21% - 118.37%],350,297,404,01-26-2021,projected
73,CA- REDDING,85.91,29,27,30,84.9,86.84,29 [27 - 30],85.91% [84.9% - 86.84%],64,53,74,01-26-2021,projected
77,CA- SACRAMENTO,93.59,250,238,264,91.1,96.16,250 [238 - 264],93.59% [91.1% - 96.16%],650,531,773,01-26-2021,projected
78,CA- SALINAS,97.78,50,47,53,94.25,100.81,50 [47 - 53],97.78% [94.25% - 100.81%],141,113,165,01-26-2021,projected
79,CA- SAN BERNARDINO,121.91,962,923,1004,115.07,128.58,962 [923 - 1004],121.91% [115.07% - 128.58%],2423,2028,2809,01-26-2021,projected
80,CA- SAN DIEGO,109.62,886,850,925,104.81,114.45,886 [850 - 925],109.62% [104.81% - 114.45%],2083,1745,2423,01-26-2021,projected
81,CA- SAN FRANCISCO,85.76,118,112,124,84.67,86.8,118 [112 - 124],85.76% [84.67% - 86.8%],292,237,345,01-26-2021,projected
82,CA- SAN JOSE,100.06,289,275,303,95.4,104.36,289 [275 - 303],100.06% [95.4% - 104.36%],607,466,737,01-26-2021,projected
83,CA- SAN LUIS OBISPO,103.68,40,38,42,99.3,107.85,40 [38 - 42],103.68% [99.3% - 107.85%],108,88,127,01-26-2021,projected
85,CA- SAN MATEO CO.,90.24,114,108,120,88.23,92.09,114 [108 - 120],90.24% [88.23% - 92.09%],276,222,326,01-26-2021,projected
86,CA- SANTA BARBARA,114.58,168,161,177,105.88,124.31,168 [161 - 177],114.58% [105.88% - 124.31%],334,250,428,01-26-2021,projected
87,CA- SANTA CRUZ,122.62,79,74,83,110.64,135.43,79 [74 - 83],122.62% [110.64% - 135.43%],153,110,199,01-26-2021,projected
89,CA- SANTA ROSA,86.82,46,44,49,85.64,87.9,46 [44 - 49],86.82% [85.64% - 87.9%],127,105,147,01-26-2021,projected
91,CA- STOCKTON,101.45,87,83,92,97.31,105.12,87 [83 - 92],101.45% [97.31% - 105.12%],228,184,267,01-26-2021,projected
