HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,101,9160,9152,9160,01-22-2020
2,AL- DOTHAN,85,288,288,288,01-22-2020
5,AL- HUNTSVILLE,94,1362,1360,1362,01-22-2020
6,AL- MOBILE,96,2249,2246,2249,01-22-2020
7,AL- MONTGOMERY,93,1082,1081,1082,01-22-2020
9,AL- TUSCALOOSA,97,810,809,810,01-22-2020
11,AZ- MESA,131,5177,5171,5177,01-22-2020
12,AZ- PHOENIX,110,11913,11900,11915,01-22-2020
14,AZ- SUN CITY,101,875,875,876,01-22-2020
15,AZ- TUCSON,97,2213,2210,2213,01-22-2020
16,AR- FORT SMITH,81,74,74,74,01-22-2020
18,AR- JONESBORO,82,94,94,94,01-22-2020
19,AR- LITTLE ROCK,91,3451,3450,3452,01-22-2020
21,AR- SPRINGDALE,84,250,250,250,01-22-2020
22,AR- TEXARKANA,83,113,113,113,01-22-2020
23,CA- ORANGE CO.,114,13393,13381,13394,01-22-2020
25,CA- BAKERSFIELD,90,1931,1931,1931,01-22-2020
31,CA- CHICO,97,525,525,525,01-22-2020
33,CA- CONTRA COSTA CO.,198,12585,12574,12585,01-22-2020
43,CA- FRESNO,99,2179,2177,2179,01-22-2020
56,CA- LOS ANGELES,111,40285,40246,40287,01-22-2020
58,CA- MODESTO,135,4801,4792,4801,01-22-2020
62,CA- NAPA,138,1754,1752,1754,01-22-2020
65,CA- ALAMEDA CO.,189,19606,19587,19608,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,101,1153,1152,1153,01-22-2020
73,CA- REDDING,107,1515,1514,1515,01-22-2020
77,CA- SACRAMENTO,146,16314,16298,16314,01-22-2020
78,CA- SALINAS,147,2727,2723,2727,01-22-2020
79,CA- SAN BERNARDINO,117,10733,10722,10733,01-22-2020
80,CA- SAN DIEGO,129,17741,17725,17742,01-22-2020
81,CA- SAN FRANCISCO,144,17502,17487,17503,01-22-2020
82,CA- SAN JOSE,228,24275,24255,24278,01-22-2020
83,CA- SAN LUIS OBISPO,131,1222,1222,1222,01-22-2020
85,CA- SAN MATEO CO.,159,11513,11503,11514,01-22-2020
86,CA- SANTA BARBARA,112,1593,1592,1593,01-22-2020
87,CA- SANTA CRUZ,230,2837,2833,2837,01-22-2020
89,CA- SANTA ROSA,125,4379,4378,4379,01-22-2020
91,CA- STOCKTON,165,4671,4668,4671,01-22-2020
96,CA- VENTURA,122,3376,3376,3376,01-22-2020
101,CO- BOULDER,154,1848,1847,1848,01-22-2020
102,CO- COLORADO SPRINGS,137,3030,3026,3030,01-22-2020
103,CO- DENVER,154,18631,18613,18633,01-22-2020
104,CO- FORT COLLINS,123,1423,1421,1423,01-22-2020
105,CO- GRAND JUNCTION,159,3473,3472,3473,01-22-2020
106,CO- GREELEY,125,1816,1812,1816,01-22-2020
107,CO- PUEBLO,88,322,322,322,01-22-2020
110,CT- HARTFORD,134,9023,9018,9023,01-22-2020
111,CT- NEW HAVEN,176,19842,19830,19842,01-22-2020
112,DE- WILMINGTON,118,3603,3603,3603,01-22-2020
113,DC- WASHINGTON,280,76846,76846,76846,01-22-2020
115,FL- BRADENTON,112,1159,1159,1159,01-22-2020
116,FL- CLEARWATER,99,1574,1573,1574,01-22-2020
118,FL- FORT LAUDERDALE,112,14332,14319,14333,01-22-2020
119,FL- FORT MYERS,106,5087,5081,5087,01-22-2020
120,FL- GAINESVILLE,99,1801,1801,1801,01-22-2020
122,FL- HUDSON,99,1210,1209,1210,01-22-2020
123,FL- JACKSONVILLE,98,4441,4439,4441,01-22-2020
124,FL- LAKELAND,100,1111,1111,1111,01-22-2020
127,FL- MIAMI,112,18260,18247,18261,01-22-2020
129,FL- OCALA,99,1306,1306,1306,01-22-2020
130,FL- ORLANDO,99,10274,10264,10275,01-22-2020
131,FL- ORMOND BEACH,93,1142,1141,1142,01-22-2020
133,FL- PANAMA CITY,85,162,162,162,01-22-2020
134,FL- PENSACOLA,94,1666,1666,1666,01-22-2020
137,FL- SARASOTA,99,1435,1435,1436,01-22-2020
139,FL- ST PETERSBURG,95,1278,1278,1279,01-22-2020
140,FL- TALLAHASSEE,96,2098,2098,2098,01-22-2020
141,FL- TAMPA,101,4682,4678,4682,01-22-2020
142,GA- ALBANY,152,4152,4147,4152,01-22-2020
144,GA- ATLANTA,161,50076,50042,50078,01-22-2020
145,GA- AUGUSTA,92,1441,1441,1441,01-22-2020
146,GA- COLUMBUS,101,1311,1311,1311,01-22-2020
147,GA- MACON,98,1903,1903,1903,01-22-2020
148,GA- ROME,155,2917,2916,2919,01-22-2020
149,GA- SAVANNAH,97,1798,1797,1798,01-22-2020
154,IL- AURORA,155,2049,2048,2049,01-22-2020
155,IL- BLUE ISLAND,120,5345,5341,5346,01-22-2020
156,IL- CHICAGO,119,17923,17909,17924,01-22-2020
158,IL- ELGIN,167,4949,4947,4949,01-22-2020
161,IL- EVANSTON,136,7124,7119,7125,01-22-2020
163,IL- HINSDALE,137,3265,3263,3265,01-22-2020
164,IL- JOLIET,142,4261,4257,4262,01-22-2020
166,IL- MELROSE PARK,137,9240,9233,9241,01-22-2020
170,IL- PEORIA,89,858,858,858,01-22-2020
171,IL- ROCKFORD,112,2514,2512,2516,01-22-2020
172,IL- SPRINGFIELD,85,646,646,646,01-22-2020
173,IL- URBANA,87,345,345,345,01-22-2020
175,IL- BLOOMINGTON,109,391,391,391,01-22-2020
179,IN- EVANSVILLE,82,267,267,267,01-22-2020
180,IN- FORT WAYNE,81,137,137,137,01-22-2020
181,IN- GARY,81,85,85,85,01-22-2020
183,IN- INDIANAPOLIS,80,253,253,253,01-22-2020
184,IN- LAFAYETTE,80,7,7,7,01-22-2020
185,IN- MUNCIE,80,17,17,17,01-22-2020
186,IN- MUNSTER,88,502,502,502,01-22-2020
187,IN- SOUTH BEND,81,128,128,128,01-22-2020
188,IN- TERRE HAUTE,80,0,0,0,01-22-2020
191,IA- DAVENPORT,85,541,541,541,01-22-2020
192,IA- DES MOINES,92,1916,1915,1916,01-22-2020
193,IA- DUBUQUE,95,416,416,416,01-22-2020
194,IA- IOWA CITY,98,1894,1894,1894,01-22-2020
195,IA- MASON CITY,81,34,34,34,01-22-2020
196,IA- SIOUX CITY,86,301,300,301,01-22-2020
197,IA- WATERLOO,89,292,292,292,01-22-2020
200,KS- TOPEKA,92,862,862,862,01-22-2020
201,KS- WICHITA,86,1614,1614,1614,01-22-2020
