date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
02-13-2021,88.96,,,,,,,,300,,,actual
02-20-2021,87.8,,,,,,,,261,,,actual
02-27-2021,86.21,,,,,,,,208,,,actual
03-06-2021,83.79,98,95,102,83.53,84.0,98 [95 - 102],83.79% [83.53% - 84.0%],127,118,134,projected
03-13-2021,83.32,96,90,101,82.78,83.94,96 [90 - 101],83.32% [82.78% - 83.94%],111,93,132,projected
03-20-2021,83.38,93,85,104,82.09,84.63,93 [85 - 104],83.38% [82.09% - 84.63%],113,70,155,projected
03-27-2021,83.17,84,77,96,81.73,85.2,84 [77 - 96],83.17% [81.73% - 85.2%],106,58,174,projected
04-03-2021,82.84,73,65,84,81.34,85.41,73 [65 - 84],82.84% [81.34% - 85.41%],95,45,181,projected
04-10-2021,82.45,46,40,56,80.81,84.81,46 [40 - 56],82.45% [80.81% - 84.81%],82,27,161,projected
04-17-2021,81.55,26,22,35,80.39,83.7,26 [22 - 35],81.55% [80.39% - 83.7%],52,13,124,projected
