date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
02-06-2021,94.29,,,,,,,,590,,,actual
02-13-2021,93.47,,,,,,,,556,,,actual
02-20-2021,91.99,,,,,,,,495,,,actual
02-27-2021,84.99,135,132,138,84.82,85.13,135 [132 - 138],84.99% [84.82% - 85.13%],206,199,212,projected
03-06-2021,83.68,109,104,113,83.22,84.17,109 [104 - 113],83.68% [83.22% - 84.17%],152,133,172,projected
03-13-2021,83.0,86,80,91,82.23,83.63,86 [80 - 91],83.0% [82.23% - 83.63%],124,92,150,projected
03-20-2021,82.3,57,53,64,81.38,83.25,57 [53 - 64],82.3% [81.38% - 83.25%],95,57,134,projected
03-27-2021,81.57,45,41,50,81.02,82.69,45 [41 - 50],81.57% [81.02% - 82.69%],65,42,111,projected
04-03-2021,81.24,37,33,40,80.58,81.96,37 [33 - 40],81.24% [80.58% - 81.96%],51,24,81,projected
04-10-2021,80.94,21,20,25,80.34,81.53,21 [20 - 25],80.94% [80.34% - 81.53%],39,14,63,projected
