date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,95.15,,,,,,,,2711,,,actual
01-16-2021,95.76,,,,,,,,2820,,,actual
01-23-2021,100.81,,,,,,,,3724,,,actual
01-30-2021,94.1,2526,2473,2589,92.68,95.72,2526 [2473 - 2589],94.1% [92.68% - 95.72%],2524,2270,2813,projected
02-06-2021,95.09,2703,2594,2836,91.87,99.18,2703 [2594 - 2836],95.09% [91.87% - 99.18%],2700,2125,3432,projected
02-13-2021,96.58,2971,2813,3189,91.28,103.61,2971 [2813 - 3189],96.58% [91.28% - 103.61%],2968,2019,4225,projected
02-20-2021,97.81,3191,2993,3523,90.73,108.91,3191 [2993 - 3523],97.81% [90.73% - 108.91%],3188,1920,5174,projected
02-27-2021,98.63,3332,3094,3785,90.01,114.37,3332 [3094 - 3785],98.63% [90.01% - 114.37%],3334,1791,6152,projected
03-06-2021,98.9,3377,3115,3929,89.33,117.78,3377 [3115 - 3929],98.9% [89.33% - 117.78%],3383,1670,6761,projected
03-13-2021,98.83,3285,3008,3894,88.89,119.36,3285 [3008 - 3894],98.83% [88.89% - 119.36%],3371,1591,7045,projected
