date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-07-2020,85.65,,,,,,,,189,,,actual
11-14-2020,86.39,,,,,,,,214,,,actual
11-21-2020,86.99,,,,,,,,234,,,actual
11-28-2020,93.62,405,394,420,91.92,96.04,405 [394 - 420],93.62% [91.92% - 96.04%],456,399,537,projected
12-05-2020,96.73,498,475,524,92.31,101.39,498 [475 - 524],96.73% [92.31% - 101.39%],560,412,716,projected
12-12-2020,99.99,591,563,638,94.1,108.74,591 [563 - 638],99.99% [94.1% - 108.74%],669,472,962,projected
12-19-2020,103.84,708,666,782,95.21,118.3,708 [666 - 782],103.84% [95.21% - 118.3%],798,509,1282,projected
12-26-2020,107.52,814,759,921,96.01,129.0,814 [759 - 921],107.52% [96.01% - 129.0%],921,536,1640,projected
01-02-2021,111.52,928,861,1075,96.97,141.46,928 [861 - 1075],111.52% [96.97% - 141.46%],1055,568,2057,projected
01-09-2021,113.82,994,915,1176,96.7,153.59,994 [915 - 1176],113.82% [96.7% - 153.59%],1132,559,2463,projected
