date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-14-2020,86.42,,,,,,,,77,,,actual
11-21-2020,88.42,,,,,,,,101,,,actual
11-28-2020,85.92,,,,,,,,71,,,actual
12-05-2020,97.01,180,177,186,95.93,99.27,180 [177 - 186],97.01% [95.93% - 99.27%],204,191,231,projected
12-12-2020,99.27,203,193,215,95.35,104.85,203 [193 - 215],99.27% [95.35% - 104.85%],231,184,298,projected
12-19-2020,103.77,254,238,273,94.93,113.78,254 [238 - 273],103.77% [94.93% - 113.78%],285,179,405,projected
12-26-2020,108.02,297,278,325,96.35,122.95,297 [278 - 325],108.02% [96.35% - 122.95%],336,196,515,projected
01-02-2021,109.69,312,287,348,95.43,131.54,312 [287 - 348],109.69% [95.43% - 131.54%],356,185,618,projected
01-09-2021,111.86,337,310,388,94.68,140.8,337 [310 - 388],111.86% [94.68% - 140.8%],382,176,729,projected
01-16-2021,111.86,338,311,398,94.35,149.31,338 [311 - 398],111.86% [94.35% - 149.31%],382,172,831,projected
