date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-14-2020,84.96,,,,,,,,205,,,actual
11-21-2020,85.67,,,,,,,,234,,,actual
11-28-2020,86.05,,,,,,,,250,,,actual
12-05-2020,89.52,347,340,361,88.74,90.49,347 [340 - 361],89.52% [88.74% - 90.49%],393,361,433,projected
12-12-2020,90.66,391,374,409,88.55,93.42,391 [374 - 409],90.66% [88.55% - 93.42%],440,353,554,projected
12-19-2020,93.01,474,451,513,89.08,98.62,474 [451 - 513],93.01% [89.08% - 98.62%],537,375,769,projected
12-26-2020,95.94,582,546,647,90.61,106.06,582 [546 - 647],95.94% [90.61% - 106.06%],658,438,1076,projected
01-02-2021,100.03,735,683,834,91.29,115.82,735 [683 - 834],100.03% [91.29% - 115.82%],827,466,1479,projected
01-09-2021,103.66,864,794,999,91.99,126.52,864 [794 - 999],103.66% [91.99% - 126.52%],977,495,1921,projected
01-16-2021,106.69,970,887,1141,92.04,136.5,970 [887 - 1141],106.69% [92.04% - 136.5%],1102,497,2333,projected
