name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-03-20 11:00:00,67800,3132,58381
Guangdong,Mainland China,2020-03-20 11:00:00,1395,8,1322
Henan,Mainland China,2020-03-17 02:00:00,1273,22,1250
Zhejiang,Mainland China,2020-03-20 11:00:00,1234,1,1219
Hunan,Mainland China,2020-03-13 02:00:00,1018,4,1004
Anhui,Mainland China,2020-03-09 01:00:00,990,6,984
Jiangxi,Mainland China,2020-03-13 02:00:00,935,1,934
Shandong,Mainland China,2020-03-20 11:00:00,762,7,748
Jiangsu,Mainland China,2020-03-15 02:00:00,631,0,631
Chongqing,Mainland China,2020-03-16 02:00:00,576,6,570
Sichuan,Mainland China,2020-03-20 11:00:00,541,3,536
Beijing,Mainland China,2020-03-20 11:00:00,491,8,390
Heilongjiang,Mainland China,2020-03-20 11:00:00,484,13,463
Shanghai,Mainland China,2020-03-20 11:00:00,371,3,326
Hebei,Mainland China,2020-03-13 02:00:00,318,6,310
Fujian,Mainland China,2020-03-09 01:00:00,296,1,295
Hong Kong,Hong Kong,2020-03-20 11:00:00,256,4,98
Guangxi,Mainland China,2020-03-20 11:00:00,254,2,250
Shaanxi,Mainland China,2020-03-20 11:00:00,247,3,237
Yunnan,Mainland China,2020-03-17 02:00:00,176,2,172
Hainan,Mainland China,2020-03-17 02:00:00,168,6,161
Guizhou,Mainland China,2020-03-17 02:00:00,146,2,144
Tianjin,Mainland China,2020-03-20 11:00:00,137,3,133
Taiwan,Taiwan,2020-03-20 11:00:00,135,1,26
Shanxi,Mainland China,2020-03-15 02:00:00,133,0,133
Gansu,Mainland China,2020-03-20 11:00:00,134,2,98
Liaoning,Mainland China,2020-03-20 11:00:00,126,2,122
Jilin,Mainland China,2020-03-16 02:00:00,93,1,92
Xinjiang Uygur,Mainland China,2020-03-09 01:00:00,76,3,73
Nei Mongol,Mainland China,2020-03-19 03:00:00,75,1,74
Ningxia,Mainland China,2020-03-17 02:00:00,75,0,75
Qinghai,Mainland China,2020-03-07 01:00:00,18,0,18
Macau,Macau,2020-03-07 01:00:00,10,0,10
Xizang,Mainland China,2020-02-12 07:00:00,1,0,1
France,France,2020-03-21 23:00:00,14038,562,12
United Kingdom,United Kingdom,2020-03-21 23:00:00,5018,233,65
Netherlands,Netherlands,2020-03-21 23:00:00,3631,136,2
Denmark,Denmark,2020-03-21 23:00:00,1420,13,1
Australia,Australia,2020-03-21 23:00:00,1071,7,26
Italy,Italy,2020-03-21 20:00:00,53578,4825,6072
Spain,Spain,2020-03-21 20:00:00,25374,1375,2125
Iran,Iran,2020-03-21 20:00:00,20610,1556,7635
South Korea,South Korea,2020-03-21 20:00:00,8799,102,1540
Switzerland,Switzerland,2020-03-21 23:00:00,6575,75,15
Belgium,Belgium,2020-03-21 20:00:00,2815,67,263
Austria,Austria,2020-03-21 20:00:00,2814,8,9
Norway,Norway,2020-03-21 20:00:00,2118,7,1
Sweden,Sweden,2020-03-21 20:00:00,1763,20,16
Portugal,Portugal,2020-03-21 20:00:00,1280,12,5
Malaysia,Malaysia,2020-03-21 20:00:00,1183,4,114
Japan,Japan,2020-03-21 20:00:00,1053,35,232
Czech Republic,Czech Republic,2020-03-21 23:00:00,995,0,6
Israel,Israel,2020-03-21 20:00:00,883,1,36
Luxembourg,Luxembourg,2020-03-21 20:00:00,670,8,0
Pakistan,Pakistan,2020-03-21 23:00:00,730,3,13
Finland,Finland,2020-03-21 20:00:00,521,1,10
Iceland,Iceland,2020-03-21 20:00:00,473,1,22
Qatar,Qatar,2020-03-21 20:00:00,470,0,10
Poland,Poland,2020-03-21 20:00:00,452,5,1
Indonesia,Indonesia,2020-03-21 20:00:00,450,38,15
Singapore,Singapore,2020-03-21 20:00:00,432,2,140
Ecuador,Ecuador,2020-03-21 23:00:00,532,7,3
Thailand,Thailand,2020-03-21 20:00:00,411,1,42
Saudi Arabia,Saudi Arabia,2020-03-21 20:00:00,392,0,16
Ireland,Ireland,2020-03-21 02:00:00,683,3,5
Turkey,Turkey,2020-03-21 02:00:00,670,9,0
Slovenia,Slovenia,2020-03-21 02:00:00,341,1,0
Romania,Romania,2020-03-21 02:00:00,308,0,31
Bahrain,Bahrain,2020-03-21 02:00:00,285,1,100
Egypt,Egypt,2020-03-21 02:00:00,285,8,39
Estonia,Estonia,2020-03-21 02:00:00,283,0,1
Peru,Peru,2020-03-21 23:00:00,318,5,1
Russia,Russia,2020-03-21 02:00:00,253,1,12
Philippines,Philippines,2020-03-21 02:00:00,230,18,8
Iraq,Iraq,2020-03-21 02:00:00,208,17,49
South Africa,South Africa,2020-03-21 02:00:00,202,0,0
Mexico,Mexico,2020-03-21 02:00:00,164,1,4
Lebanon,Lebanon,2020-03-21 02:00:00,163,4,4
Kuwait,Kuwait,2020-03-21 02:00:00,159,0,18
San Marino,San Marino,2020-03-21 02:00:00,144,14,4
United Arab Emirates,United Arab Emirates,2020-03-21 02:00:00,140,2,31
Slovakia,Slovakia,2020-03-21 02:00:00,137,1,0
Panama,Panama,2020-03-21 02:00:00,137,1,0
Armenia,Armenia,2020-03-21 02:00:00,136,0,1
Serbia,Serbia,2020-03-21 02:00:00,135,1,1
Croatia,Croatia,2020-03-21 02:00:00,128,1,5
Bulgaria,Bulgaria,2020-03-21 02:00:00,127,3,0
Latvia,Latvia,2020-03-21 02:00:00,111,0,1
Uruguay,Uruguay,2020-03-21 23:00:00,110,0,2
Vietnam,Vietnam,2020-03-21 02:00:00,91,0,16
Algeria,Algeria,2020-03-21 02:00:00,90,11,32
Costa Rica,Costa Rica,2020-03-21 02:00:00,89,1,0
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-03-21 02:00:00,89,0,2
Hungary,Hungary,2020-03-21 02:00:00,85,3,2
Jordan,Jordan,2020-03-21 02:00:00,85,0,1
Brunei,Brunei,2020-03-21 02:00:00,78,0,1
Morocco,Morocco,2020-03-21 02:00:00,77,3,1
Andorra,Andorra,2020-03-21 02:00:00,75,0,1
Sri Lanka,Sri Lanka,2020-03-21 02:00:00,73,0,3
Dominican Republic,Dominican Republic,2020-03-21 02:00:00,72,2,0
Albania,Albania,2020-03-21 02:00:00,70,2,0
Belarus,Belarus,2020-03-21 02:00:00,69,0,5
North Macedonia,North Macedonia,2020-03-21 02:00:00,67,0,1
Cyprus,Cyprus,2020-03-21 02:00:00,67,0,0
Moldova,Moldova,2020-03-21 02:00:00,66,1,1
Venezuela,Venezuela,2020-03-21 02:00:00,65,0,0
Malta,Malta,2020-03-21 02:00:00,64,0,2
Tunisia,Tunisia,2020-03-21 02:00:00,54,1,0
Cambodia,Cambodia,2020-03-21 02:00:00,51,0,1
Lithuania,Lithuania,2020-03-21 02:00:00,49,0,1
Kazakhstan,Kazakhstan,2020-03-21 02:00:00,49,3,0
Oman,Oman,2020-03-19 20:00:00,48,0,12
Senegal,Senegal,2020-03-21 02:00:00,47,0,5
Guadeloupe,Guadeloupe,2020-03-20 10:00:00,45,0,0
Azerbaijan,Azerbaijan,2020-03-19 16:00:00,44,1,6
Ukraine,Ukraine,2020-03-21 02:00:00,41,3,0
Burkina Faso,Burkina Faso,2020-03-21 02:00:00,40,1,0
New Zealand,New Zealand,2020-03-21 02:00:00,39,0,0
Uzbekistan,Uzbekistan,2020-03-21 02:00:00,33,0,0
Martinique,Martinique,2020-03-21 02:00:00,32,1,0
Reunion,Reunion,2020-03-21 02:00:00,28,0,0
Liechtenstein,Liechtenstein,2020-03-18 19:00:00,28,0,0
Afghanistan,Afghanistan,2020-03-21 02:00:00,24,0,1
Honduras,Honduras,2020-03-21 02:00:00,24,0,0
Cameroon,Cameroon,2020-03-21 02:00:00,20,0,0
Bangladesh,Bangladesh,2020-03-21 02:00:00,20,1,3
Paraguay,Paraguay,2020-03-21 23:00:00,18,1,0
Rwanda,Rwanda,2020-03-21 02:00:00,17,0,0
Cuba,Cuba,2020-03-21 02:00:00,16,1,0
Ghana,Ghana,2020-03-21 02:00:00,16,0,0
Jamaica,Jamaica,2020-03-21 02:00:00,16,1,2
French Guiana,French Guiana,2020-03-21 02:00:00,15,0,0
Bolivia,Bolivia,2020-03-21 23:00:00,19,0,0
Maldives,Maldives,2020-03-21 02:00:00,13,0,0
Nigeria,Nigeria,2020-03-21 02:00:00,12,0,1
Guatemala,Guatemala,2020-03-21 02:00:00,12,1,0
Monaco,Monaco,2020-03-21 02:00:00,11,0,0
Togo,Togo,2020-03-21 02:00:00,9,0,1
Trinidad and Tobago,Trinidad and Tobago,2020-03-19 10:00:00,9,0,0
Ethiopia,Ethiopia,2020-03-21 02:00:00,9,0,0
Cote d'Ivoire,Cote d'Ivoire,2020-03-19 01:00:00,9,0,1
Kenya,Kenya,2020-03-19 02:00:00,7,0,0
Guyana,Guyana,2020-03-17 11:00:00,7,1,0
Seychelles,Seychelles,2020-03-21 02:00:00,7,0,0
Mongolia,Mongolia,2020-03-18 12:00:0,6,0,0
Suriname,Suriname,2020-03-21 02:00:00,4,0,0
Gabon,Gabon,2020-03-21 02:00:00,3,1,0
Bhutan,Bhutan,2020-03-21 02:00:00,2,0,0
Saint Lucia,Saint Lucia,2020-03-17 05:00:00,2,0,0
Sudan,Sudan,2020-03-18 12:00:00,2,1,0
Antigua and Barbuda,Antigua and Barbuda,2020-03-15 19:00:00,1,0,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2020-03-14 16:33:03,1,0,0
Nepal,Nepal,2020-03-13 22:22:03,1,0,1
Guinea,Guinea,2020-03-15 07:00:00,1,0,0
Others,Japan (Diamond Princess),2020-03-03 03:00:00,706,6,10
Georgia (country),Georgia,2020-03-17 12:00:00,34,0,1
Palestine,Palestine,2020-03-13 13:00:00,31,0,0
Aruba,Aruba,2020-03-14 01:00:00,2,0,0
Curacao,Curacao,2020-03-14 14:00:00,1,0,0
French Polynesia,French Polynesia,2020-03-14 17:00:00,3,0,0
Greenland,Greenland,2020-03-16 18:00:00,1,0,0
Guernsey,Guernsey,2020-03-13 14:00:00,1,0,0
Jersey,Jersey,2020-03-14 18:00:00,2,0,0
Mauritania,Mauritania,2020-03-14 13:00:00,1,0,0
Namibia,Namibia,2020-03-14 14:00:00,2,0,0
