date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
03-20-2021,84.94,,,,,,,,885,,,actual
03-27-2021,84.87,,,,,,,,872,,,actual
04-03-2021,85.08,,,,,,,,910,,,actual
04-10-2021,88.72,848,815,902,86.96,91.24,848 [815 - 902],88.72% [86.96% - 91.24%],1561,1246,2012,projected
04-17-2021,88.74,819,776,907,86.75,91.72,819 [776 - 907],88.74% [86.75% - 91.72%],1564,1208,2098,projected
04-24-2021,88.65,819,773,929,86.1,93.27,819 [773 - 929],88.65% [86.1% - 93.27%],1548,1092,2375,projected
05-01-2021,88.47,792,739,924,85.52,95.02,792 [739 - 924],88.47% [85.52% - 95.02%],1516,988,2689,projected
05-08-2021,88.26,767,709,918,84.88,96.61,767 [709 - 918],88.26% [84.88% - 96.61%],1478,873,2973,projected
05-15-2021,87.99,712,653,883,84.19,97.98,712 [653 - 883],87.99% [84.19% - 97.98%],1430,750,3218,projected
05-22-2021,87.52,653,592,824,83.51,98.82,653 [592 - 824],87.52% [83.51% - 98.82%],1346,628,3369,projected
