date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-24-2021,85.47,,,,,,,,979,,,actual
05-01-2021,84.87,,,,,,,,871,,,actual
05-08-2021,84.06,,,,,,,,727,,,actual
05-15-2021,83.86,374,358,387,83.51,84.2,374 [358 - 387],83.86% [83.51% - 84.2%],691,629,751,projected
05-22-2021,83.04,264,249,280,82.52,83.44,264 [249 - 280],83.04% [82.52% - 83.44%],544,451,616,projected
05-29-2021,82.2,209,194,224,81.59,82.78,209 [194 - 224],82.2% [81.59% - 82.78%],394,284,498,projected
06-05-2021,81.71,185,169,200,81.07,82.32,185 [169 - 200],81.71% [81.07% - 82.32%],306,192,416,projected
06-12-2021,81.45,138,123,158,80.69,82.16,138 [123 - 158],81.45% [80.69% - 82.16%],259,123,387,projected
06-19-2021,81.13,109,95,129,80.42,81.98,109 [95 - 129],81.13% [80.42% - 81.98%],203,75,354,projected
06-26-2021,80.89,74,62,93,80.21,81.75,74 [62 - 93],80.89% [80.21% - 81.75%],159,37,313,projected
