HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,81,893,893,893,01-22-2020
2,AL- DOTHAN,80,0,0,0,01-22-2020
5,AL- HUNTSVILLE,80,124,124,124,01-22-2020
6,AL- MOBILE,81,224,224,224,01-22-2020
7,AL- MONTGOMERY,80,63,63,63,01-22-2020
9,AL- TUSCALOOSA,80,56,56,56,01-22-2020
11,AZ- MESA,84,628,628,628,01-22-2020
12,AZ- PHOENIX,82,1410,1410,1410,01-22-2020
14,AZ- SUN CITY,81,104,104,104,01-22-2020
15,AZ- TUCSON,81,224,224,224,01-22-2020
16,AR- FORT SMITH,80,0,0,0,01-22-2020
18,AR- JONESBORO,80,0,0,0,01-22-2020
19,AR- LITTLE ROCK,80,350,350,350,01-22-2020
21,AR- SPRINGDALE,80,4,4,4,01-22-2020
22,AR- TEXARKANA,80,0,0,0,01-22-2020
23,CA- ORANGE CO.,83,1648,1647,1648,01-22-2020
25,CA- BAKERSFIELD,80,216,216,216,01-22-2020
31,CA- CHICO,80,35,35,35,01-22-2020
33,CA- CONTRA COSTA CO.,91,1613,1613,1613,01-22-2020
43,CA- FRESNO,81,279,279,279,01-22-2020
56,CA- LOS ANGELES,82,4972,4968,4972,01-22-2020
58,CA- MODESTO,85,565,564,565,01-22-2020
62,CA- NAPA,85,238,238,238,01-22-2020
65,CA- ALAMEDA CO.,90,2512,2510,2512,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,81,137,137,137,01-22-2020
73,CA- REDDING,82,168,168,168,01-22-2020
77,CA- SACRAMENTO,86,2016,2016,2017,01-22-2020
78,CA- SALINAS,86,333,333,333,01-22-2020
79,CA- SAN BERNARDINO,83,1302,1301,1302,01-22-2020
80,CA- SAN DIEGO,84,2202,2200,2202,01-22-2020
81,CA- SAN FRANCISCO,86,2259,2256,2260,01-22-2020
82,CA- SAN JOSE,94,3152,3149,3152,01-22-2020
83,CA- SAN LUIS OBISPO,85,161,161,161,01-22-2020
85,CA- SAN MATEO CO.,87,1492,1491,1492,01-22-2020
86,CA- SANTA BARBARA,82,189,189,189,01-22-2020
87,CA- SANTA CRUZ,94,363,363,363,01-22-2020
89,CA- SANTA ROSA,84,547,547,547,01-22-2020
91,CA- STOCKTON,88,597,597,597,01-22-2020
96,CA- VENTURA,83,410,410,410,01-22-2020
101,CO- BOULDER,87,237,237,237,01-22-2020
102,CO- COLORADO SPRINGS,84,334,334,334,01-22-2020
103,CO- DENVER,86,2315,2312,2315,01-22-2020
104,CO- FORT COLLINS,83,161,161,161,01-22-2020
105,CO- GRAND JUNCTION,88,456,456,456,01-22-2020
106,CO- GREELEY,83,203,203,203,01-22-2020
107,CO- PUEBLO,80,35,35,35,01-22-2020
110,CT- HARTFORD,84,1101,1101,1101,01-22-2020
111,CT- NEW HAVEN,89,2577,2576,2578,01-22-2020
112,DE- WILMINGTON,83,470,470,470,01-22-2020
113,DC- WASHINGTON,280,76846,76846,76846,01-22-2020
115,FL- BRADENTON,83,151,151,151,01-22-2020
116,FL- CLEARWATER,81,192,192,192,01-22-2020
118,FL- FORT LAUDERDALE,82,1752,1751,1752,01-22-2020
119,FL- FORT MYERS,82,596,596,596,01-22-2020
120,FL- GAINESVILLE,81,161,161,161,01-22-2020
122,FL- HUDSON,81,126,126,126,01-22-2020
123,FL- JACKSONVILLE,81,482,481,482,01-22-2020
124,FL- LAKELAND,81,131,131,131,01-22-2020
127,FL- MIAMI,83,2280,2279,2280,01-22-2020
129,FL- OCALA,81,154,154,154,01-22-2020
130,FL- ORLANDO,81,1238,1237,1238,01-22-2020
131,FL- ORMOND BEACH,81,147,147,147,01-22-2020
133,FL- PANAMA CITY,80,0,0,0,01-22-2020
134,FL- PENSACOLA,81,218,218,218,01-22-2020
137,FL- SARASOTA,81,172,172,172,01-22-2020
139,FL- ST PETERSBURG,81,153,153,153,01-22-2020
140,FL- TALLAHASSEE,80,133,133,133,01-22-2020
141,FL- TAMPA,81,568,568,568,01-22-2020
142,GA- ALBANY,86,504,504,504,01-22-2020
144,GA- ATLANTA,87,6105,6101,6105,01-22-2020
145,GA- AUGUSTA,81,196,196,196,01-22-2020
146,GA- COLUMBUS,80,84,84,84,01-22-2020
147,GA- MACON,80,147,147,147,01-22-2020
148,GA- ROME,86,329,329,329,01-22-2020
149,GA- SAVANNAH,81,175,175,175,01-22-2020
154,IL- AURORA,86,245,245,245,01-22-2020
155,IL- BLUE ISLAND,83,671,671,671,01-22-2020
156,IL- CHICAGO,83,2259,2257,2259,01-22-2020
158,IL- ELGIN,88,608,607,608,01-22-2020
161,IL- EVANSTON,85,896,896,896,01-22-2020
163,IL- HINSDALE,85,404,404,404,01-22-2020
164,IL- JOLIET,85,522,522,522,01-22-2020
166,IL- MELROSE PARK,85,1158,1157,1158,01-22-2020
170,IL- PEORIA,80,85,85,85,01-22-2020
171,IL- ROCKFORD,82,253,253,253,01-22-2020
172,IL- SPRINGFIELD,80,42,42,42,01-22-2020
173,IL- URBANA,80,36,36,36,01-22-2020
175,IL- BLOOMINGTON,82,42,42,42,01-22-2020
179,IN- EVANSVILLE,80,0,0,0,01-22-2020
180,IN- FORT WAYNE,80,0,0,0,01-22-2020
181,IN- GARY,80,7,7,7,01-22-2020
183,IN- INDIANAPOLIS,80,21,21,21,01-22-2020
184,IN- LAFAYETTE,80,0,0,0,01-22-2020
185,IN- MUNCIE,80,0,0,0,01-22-2020
186,IN- MUNSTER,80,62,62,62,01-22-2020
187,IN- SOUTH BEND,80,7,7,7,01-22-2020
188,IN- TERRE HAUTE,80,0,0,0,01-22-2020
191,IA- DAVENPORT,80,15,15,15,01-22-2020
192,IA- DES MOINES,80,137,137,137,01-22-2020
193,IA- DUBUQUE,81,46,46,46,01-22-2020
194,IA- IOWA CITY,81,161,161,161,01-22-2020
195,IA- MASON CITY,80,0,0,0,01-22-2020
196,IA- SIOUX CITY,80,0,0,0,01-22-2020
