date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-24-2021,85.47,,,,,,,,979,,,actual
05-01-2021,84.87,,,,,,,,871,,,actual
05-08-2021,84.06,,,,,,,,727,,,actual
05-15-2021,81.04,386,367,403,80.93,81.14,386 [367 - 403],81.04% [80.93% - 81.14%],186,166,204,projected
05-22-2021,80.88,324,305,352,80.6,81.13,324 [305 - 352],80.88% [80.6% - 81.13%],157,107,202,projected
05-29-2021,80.77,314,295,368,80.49,81.27,314 [295 - 368],80.77% [80.49% - 81.27%],137,87,228,projected
06-05-2021,80.92,364,334,471,80.47,82.51,364 [334 - 471],80.92% [80.47% - 82.51%],164,85,450,projected
06-12-2021,81.24,478,429,684,80.53,84.44,478 [429 - 684],81.24% [80.53% - 84.44%],222,95,795,projected
06-19-2021,81.89,706,624,966,80.6,85.92,706 [624 - 966],81.89% [80.6% - 85.92%],338,107,1059,projected
06-26-2021,82.72,1027,906,1424,80.78,88.97,1027 [906 - 1424],82.72% [80.78% - 88.97%],486,139,1605,projected
