HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.66,140,123,226,80.28,88.5,140 [123 - 226],81.66% [80.28% - 88.5%],05-12-2020
2,AL- DOTHAN,80.0,0,0,5,80.0,82.64,0 [0 - 5],80.0% [80.0% - 82.64%],05-12-2020
5,AL- HUNTSVILLE,81.68,28,26,42,80.37,86.65,28 [26 - 42],81.68% [80.37% - 86.65%],05-12-2020
6,AL- MOBILE,81.66,42,38,64,80.25,86.51,42 [38 - 64],81.66% [80.25% - 86.51%],05-12-2020
7,AL- MONTGOMERY,81.46,21,18,34,80.0,86.99,21 [18 - 34],81.46% [80.0% - 86.99%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,13,25,80.0,88.92,14 [13 - 25],81.46% [80.0% - 88.92%],05-12-2020
11,AZ- MESA,93.5,264,235,348,83.69,120.76,264 [235 - 348],93.5% [83.69% - 120.76%],05-12-2020
12,AZ- PHOENIX,88.57,646,575,849,82.31,105.87,646 [575 - 849],88.57% [82.31% - 105.87%],05-12-2020
14,AZ- SUN CITY,85.66,42,38,57,81.48,97.04,42 [38 - 57],85.66% [81.48% - 97.04%],05-12-2020
15,AZ- TUCSON,87.07,174,154,240,81.62,103.49,174 [154 - 240],87.07% [81.62% - 103.49%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.08,0 [0 - 0],80.0% [80.0% - 80.08%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.11,0,0,10,80.0,81.16,0 [0 - 10],80.11% [80.0% - 81.16%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,1,80.0,80.71,0 [0 - 1],80.0% [80.0% - 80.71%],05-12-2020
23,CA- ORANGE CO.,83.1,236,210,359,80.72,93.74,236 [210 - 359],83.1% [80.72% - 93.74%],05-12-2020
25,CA- BAKERSFIELD,81.26,42,37,69,80.22,86.14,42 [37 - 69],81.26% [80.22% - 86.14%],05-12-2020
31,CA- CHICO,81.84,7,6,16,80.0,90.62,7 [6 - 16],81.84% [80.0% - 90.62%],05-12-2020
33,CA- CONTRA COSTA CO.,87.16,141,126,201,81.65,107.81,141 [126 - 201],87.16% [81.65% - 107.81%],05-12-2020
43,CA- FRESNO,82.19,49,43,80,80.26,90.86,49 [43 - 80],82.19% [80.26% - 90.86%],05-12-2020
56,CA- LOS ANGELES,82.71,667,593,1026,80.62,92.27,667 [593 - 1026],82.71% [80.62% - 92.27%],05-12-2020
58,CA- MODESTO,84.63,77,69,120,81.11,101.23,77 [69 - 120],84.63% [81.11% - 101.23%],05-12-2020
62,CA- NAPA,84.96,28,25,40,80.86,99.76,28 [25 - 40],84.96% [80.86% - 99.76%],05-12-2020
65,CA- ALAMEDA CO.,86.29,207,185,294,81.45,104.15,207 [185 - 294],86.29% [81.45% - 104.15%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,82.17,21,19,33,80.47,89.78,21 [19 - 33],82.17% [80.47% - 89.78%],05-12-2020
73,CA- REDDING,82.24,21,18,34,80.37,90.63,21 [18 - 34],82.24% [80.37% - 90.63%],05-12-2020
77,CA- SACRAMENTO,85.62,266,236,392,81.19,103.41,266 [236 - 392],85.62% [81.19% - 103.41%],05-12-2020
78,CA- SALINAS,85.24,35,31,56,81.13,102.57,35 [31 - 56],85.24% [81.13% - 102.57%],05-12-2020
79,CA- SAN BERNARDINO,83.7,210,188,325,80.85,96.72,210 [188 - 325],83.7% [80.85% - 96.72%],05-12-2020
80,CA- SAN DIEGO,84.35,304,270,464,80.97,99.54,304 [270 - 464],84.35% [80.97% - 99.54%],05-12-2020
81,CA- SAN FRANCISCO,83.67,182,162,259,80.83,94.13,182 [162 - 259],83.67% [80.83% - 94.13%],05-12-2020
82,CA- SAN JOSE,87.71,230,205,323,81.78,109.05,230 [205 - 323],87.71% [81.78% - 109.05%],05-12-2020
83,CA- SAN LUIS OBISPO,83.81,14,13,25,81.1,99.96,14 [13 - 25],83.81% [81.1% - 99.96%],05-12-2020
85,CA- SAN MATEO CO.,84.24,110,99,156,81.04,95.91,110 [99 - 156],84.24% [81.04% - 95.91%],05-12-2020
86,CA- SANTA BARBARA,83.35,28,25,45,80.62,95.11,28 [25 - 45],83.35% [80.62% - 95.11%],05-12-2020
87,CA- SANTA CRUZ,89.09,28,25,44,81.67,118.16,28 [25 - 44],89.09% [81.67% - 118.16%],05-12-2020
89,CA- SANTA ROSA,83.16,56,50,82,80.64,92.95,56 [50 - 82],83.16% [80.64% - 92.95%],05-12-2020
91,CA- STOCKTON,86.52,67,60,98,81.41,106.43,67 [60 - 98],86.52% [81.41% - 106.43%],05-12-2020
