HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.66,140,125,216,80.33,87.67,140 [125 - 216],81.66% [80.33% - 87.67%],05-12-2020
2,AL- DOTHAN,80.0,0,0,4,80.0,82.03,0 [0 - 4],80.0% [80.0% - 82.03%],05-12-2020
5,AL- HUNTSVILLE,81.68,28,26,41,80.37,85.96,28 [26 - 41],81.68% [80.37% - 85.96%],05-12-2020
6,AL- MOBILE,81.66,42,38,61,80.25,85.78,42 [38 - 61],81.66% [80.25% - 85.78%],05-12-2020
7,AL- MONTGOMERY,81.04,15,12,27,80.0,86.14,15 [12 - 27],81.04% [80.0% - 86.14%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,13,23,80.0,87.21,14 [13 - 23],81.46% [80.0% - 87.21%],05-12-2020
11,AZ- MESA,91.78,231,207,299,83.48,113.54,231 [207 - 299],91.78% [83.48% - 113.54%],05-12-2020
12,AZ- PHOENIX,87.51,566,505,732,82.18,101.36,566 [505 - 732],87.51% [82.18% - 101.36%],05-12-2020
14,AZ- SUN CITY,84.94,36,32,48,81.36,94.07,36 [32 - 48],84.94% [81.36% - 94.07%],05-12-2020
15,AZ- TUCSON,85.92,147,130,198,81.55,98.7,147 [130 - 198],85.92% [81.55% - 98.7%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.11,0,0,10,80.0,81.25,0 [0 - 10],80.11% [80.0% - 81.25%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.61,0 [0 - 0],80.0% [80.0% - 80.61%],05-12-2020
23,CA- ORANGE CO.,83.04,231,207,338,80.8,92.22,231 [207 - 338],83.04% [80.8% - 92.22%],05-12-2020
25,CA- BAKERSFIELD,81.26,42,38,64,80.3,85.17,42 [38 - 64],81.26% [80.3% - 85.17%],05-12-2020
31,CA- CHICO,81.84,7,6,15,80.0,89.38,7 [6 - 15],81.84% [80.0% - 89.38%],05-12-2020
33,CA- CONTRA COSTA CO.,87.57,149,133,206,81.85,107.21,149 [133 - 206],87.57% [81.85% - 107.21%],05-12-2020
43,CA- FRESNO,82.08,46,40,71,80.26,89.33,46 [40 - 71],82.08% [80.26% - 89.33%],05-12-2020
56,CA- LOS ANGELES,82.68,659,588,972,80.68,90.95,659 [588 - 972],82.68% [80.68% - 90.95%],05-12-2020
58,CA- MODESTO,84.63,77,69,115,81.11,99.26,77 [69 - 115],84.63% [81.11% - 99.26%],05-12-2020
62,CA- NAPA,84.96,28,25,39,80.86,97.87,28 [25 - 39],84.96% [80.86% - 97.87%],05-12-2020
65,CA- ALAMEDA CO.,86.67,221,198,306,81.69,103.76,221 [198 - 306],86.67% [81.69% - 103.76%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,82.12,21,19,31,80.47,88.55,21 [19 - 31],82.12% [80.47% - 88.55%],05-12-2020
73,CA- REDDING,82.24,21,19,34,80.46,89.8,21 [19 - 34],82.24% [80.46% - 89.8%],05-12-2020
77,CA- SACRAMENTO,85.73,271,242,386,81.32,101.7,271 [242 - 386],85.73% [81.32% - 101.7%],05-12-2020
78,CA- SALINAS,85.24,35,32,54,81.39,100.68,35 [32 - 54],85.24% [81.39% - 100.68%],05-12-2020
79,CA- SAN BERNARDINO,83.62,207,185,305,80.93,94.67,207 [185 - 305],83.62% [80.93% - 94.67%],05-12-2020
80,CA- SAN DIEGO,84.39,308,274,450,81.04,97.8,308 [274 - 450],84.39% [81.04% - 97.8%],05-12-2020
81,CA- SAN FRANCISCO,83.93,197,175,272,80.97,93.94,197 [175 - 272],83.93% [80.97% - 93.94%],05-12-2020
82,CA- SAN JOSE,88.23,245,219,336,82.05,108.92,245 [219 - 336],88.23% [82.05% - 108.92%],05-12-2020
