HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.76,146,131,181,80.45,84.23,146 [131 - 181],81.76% [80.45% - 84.23%],05-12-2020
2,AL- DOTHAN,80.0,0,0,1,80.0,80.53,0 [0 - 1],80.0% [80.0% - 80.53%],05-12-2020
5,AL- HUNTSVILLE,80.89,14,14,19,80.37,82.66,14 [14 - 19],80.89% [80.37% - 82.66%],05-12-2020
6,AL- MOBILE,81.66,42,39,49,80.7,82.98,42 [39 - 49],81.66% [80.7% - 82.98%],05-12-2020
7,AL- MONTGOMERY,80.97,14,14,18,80.45,82.91,14 [14 - 18],80.97% [80.45% - 82.91%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,14,17,80.7,83.31,14 [14 - 17],81.46% [80.7% - 83.31%],05-12-2020
11,AZ- MESA,86.06,117,108,137,82.83,91.92,117 [108 - 137],86.06% [82.83% - 91.92%],05-12-2020
12,AZ- PHOENIX,83.9,291,266,339,81.76,87.67,291 [266 - 339],83.9% [81.76% - 87.67%],05-12-2020
14,AZ- SUN CITY,82.52,16,15,19,81.11,84.94,16 [15 - 19],82.52% [81.11% - 84.94%],05-12-2020
15,AZ- TUCSON,83.04,74,68,87,81.11,85.94,74 [68 - 87],83.04% [81.11% - 85.94%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.53,28,25,37,80.1,81.58,28 [25 - 37],80.53% [80.1% - 81.58%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.1,0 [0 - 0],80.0% [80.0% - 80.1%],05-12-2020
23,CA- ORANGE CO.,82.86,217,199,266,81.19,86.84,217 [199 - 266],82.86% [81.19% - 86.84%],05-12-2020
25,CA- BAKERSFIELD,80.94,28,26,37,80.33,82.38,28 [26 - 37],80.94% [80.33% - 82.38%],05-12-2020
31,CA- CHICO,80.92,0,0,3,80.0,83.59,0 [0 - 3],80.92% [80.0% - 83.59%],05-12-2020
33,CA- CONTRA COSTA CO.,88.82,172,158,210,83.64,100.82,172 [158 - 210],88.82% [83.64% - 100.82%],05-12-2020
43,CA- FRESNO,81.9,42,38,51,80.53,84.38,42 [38 - 51],81.9% [80.53% - 84.38%],05-12-2020
56,CA- LOS ANGELES,82.61,646,590,789,81.07,86.25,646 [590 - 789],82.61% [81.07% - 86.25%],05-12-2020
58,CA- MODESTO,84.27,70,64,87,81.51,90.35,70 [64 - 87],84.27% [81.51% - 90.35%],05-12-2020
62,CA- NAPA,84.96,28,25,33,80.86,91.51,28 [25 - 33],84.96% [80.86% - 91.51%],05-12-2020
65,CA- ALAMEDA CO.,87.98,263,241,319,83.28,98.64,263 [241 - 319],87.98% [83.28% - 98.64%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,81.91,14,14,19,80.76,84.46,14 [14 - 19],81.91% [80.76% - 84.46%],05-12-2020
73,CA- REDDING,82.24,21,19,27,80.46,86.1,21 [19 - 27],82.24% [80.46% - 86.1%],05-12-2020
77,CA- SACRAMENTO,85.9,280,254,339,82.32,93.88,280 [254 - 339],85.9% [82.32% - 93.88%],05-12-2020
78,CA- SALINAS,85.24,35,33,44,82.14,92.11,35 [33 - 44],85.24% [82.14% - 92.11%],05-12-2020
79,CA- SAN BERNARDINO,83.22,182,167,224,81.31,87.68,182 [167 - 224],83.22% [81.31% - 87.68%],05-12-2020
80,CA- SAN DIEGO,84.52,315,288,386,81.81,90.91,315 [288 - 386],84.52% [81.81% - 90.91%],05-12-2020
81,CA- SAN FRANCISCO,84.74,237,218,286,81.99,91.04,237 [218 - 286],84.74% [81.99% - 91.04%],05-12-2020
82,CA- SAN JOSE,90.39,310,285,374,84.46,104.16,310 [285 - 374],90.39% [84.46% - 104.16%],05-12-2020
83,CA- SAN LUIS OBISPO,85.08,21,19,25,81.75,91.4,21 [19 - 25],85.08% [81.75% - 91.4%],05-12-2020
85,CA- SAN MATEO CO.,85.64,146,134,177,82.34,93.02,146 [134 - 177],85.64% [82.34% - 93.02%],05-12-2020
86,CA- SANTA BARBARA,82.75,21,20,29,81.35,87.45,21 [20 - 29],82.75% [81.35% - 87.45%],05-12-2020
87,CA- SANTA CRUZ,90.8,35,32,43,84.46,105.63,35 [32 - 43],90.8% [84.46% - 105.63%],05-12-2020
89,CA- SANTA ROSA,83.69,63,58,77,81.45,88.49,63 [58 - 77],83.69% [81.45% - 88.49%],05-12-2020
91,CA- STOCKTON,86.72,70,64,85,82.54,95.99,70 [64 - 85],86.72% [82.54% - 95.99%],05-12-2020
96,CA- VENTURA,83.72,56,51,68,81.46,88.65,56 [51 - 68],83.72% [81.46% - 88.65%],05-12-2020
101,CO- BOULDER,87.63,31,29,36,82.95,94.32,31 [29 - 36],87.63% [82.95% - 94.32%],05-12-2020
102,CO- COLORADO SPRINGS,85.47,56,51,65,82.03,91.4,56 [51 - 65],85.47% [82.03% - 91.4%],05-12-2020
103,CO- DENVER,87.34,349,316,395,82.62,93.54,349 [316 - 395],87.34% [82.62% - 93.54%],05-12-2020
104,CO- FORT COLLINS,83.92,21,20,25,81.88,87.82,21 [20 - 25],83.92% [81.88% - 87.82%],05-12-2020
105,CO- GRAND JUNCTION,86.96,49,44,56,82.15,92.5,49 [44 - 56],86.96% [82.15% - 92.5%],05-12-2020
106,CO- GREELEY,84.38,28,26,34,81.54,88.49,28 [26 - 34],84.38% [81.54% - 88.49%],05-12-2020
107,CO- PUEBLO,81.17,7,7,8,80.5,81.75,7 [7 - 8],81.17% [80.5% - 81.75%],05-12-2020
109,CT- BRIDGEPORT,94.3,238,221,284,87.49,112.74,238 [221 - 284],94.3% [87.49% - 112.74%],05-12-2020
110,CT- HARTFORD,85.73,185,169,233,82.55,95.94,185 [169 - 233],85.73% [82.55% - 95.94%],05-12-2020
111,CT- NEW HAVEN,88.32,318,292,390,83.95,101.11,318 [292 - 390],88.32% [83.95% - 101.11%],05-12-2020
112,DE- WILMINGTON,84.1,70,66,83,82.04,88.32,70 [66 - 83],84.1% [82.04% - 88.32%],05-12-2020
113,DC- WASHINGTON,93.18,719,665,797,86.98,101.93,719 [665 - 797],93.18% [86.98% - 101.93%],05-12-2020
115,FL- BRADENTON,81.52,4,4,7,80.85,83.81,4 [4 - 7],81.52% [80.85% - 83.81%],05-12-2020
116,FL- CLEARWATER,80.92,11,10,15,80.37,82.44,11 [10 - 15],80.92% [80.37% - 82.44%],05-12-2020
118,FL- FORT LAUDERDALE,81.48,125,114,158,80.57,84.02,125 [114 - 158],81.48% [80.57% - 84.02%],05-12-2020
119,FL- FORT MYERS,81.22,42,39,53,80.42,83.21,42 [39 - 53],81.22% [80.42% - 83.21%],05-12-2020
120,FL- GAINESVILLE,80.44,7,7,11,80.11,81.96,7 [7 - 11],80.44% [80.11% - 81.96%],05-12-2020
122,FL- HUDSON,81.19,14,13,16,80.24,82.64,14 [13 - 16],81.19% [80.24% - 82.64%],05-12-2020
123,FL- JACKSONVILLE,80.94,42,38,52,80.14,82.34,42 [38 - 52],80.94% [80.14% - 82.34%],05-12-2020
124,FL- LAKELAND,80.96,7,7,10,80.37,82.81,7 [7 - 10],80.96% [80.37% - 82.81%],05-12-2020
127,FL- MIAMI,81.44,152,139,194,80.58,84.08,152 [139 - 194],81.44% [80.58% - 84.08%],05-12-2020
129,FL- OCALA,80.71,9,8,12,80.0,82.49,9 [8 - 12],80.71% [80.0% - 82.49%],05-12-2020
130,FL- ORLANDO,80.85,87,80,113,80.39,82.53,87 [80 - 113],80.85% [80.39% - 82.53%],05-12-2020
