HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,82,198,188,207,04-22-2020
2,AL- DOTHAN,89,132,125,138,04-22-2020
5,AL- HUNTSVILLE,83,66,62,69,04-22-2020
6,AL- MOBILE,87,220,209,231,04-22-2020
7,AL- MONTGOMERY,92,198,188,207,04-22-2020
9,AL- TUSCALOOSA,102,220,209,231,04-22-2020
11,AZ- MESA,84,88,83,92,04-22-2020
12,AZ- PHOENIX,80,66,62,69,04-22-2020
14,AZ- SUN CITY,96,132,125,138,04-22-2020
15,AZ- TUCSON,88,220,209,231,04-22-2020
16,AR- FORT SMITH,97,220,209,231,04-22-2020
18,AR- JONESBORO,101,198,188,207,04-22-2020
19,AR- LITTLE ROCK,83,198,188,207,04-22-2020
21,AR- SPRINGDALE,94,154,146,161,04-22-2020
22,AR- TEXARKANA,93,132,125,138,04-22-2020
23,CA- ORANGE CO.,82,176,167,184,04-22-2020
25,CA- BAKERSFIELD,80,22,20,23,04-22-2020
31,CA- CHICO,97,110,104,115,04-22-2020
33,CA- CONTRA COSTA CO.,87,154,146,161,04-22-2020
43,CA- FRESNO,86,154,146,161,04-22-2020
56,CA- LOS ANGELES,80,22,20,23,04-22-2020
58,CA- MODESTO,92,220,209,231,04-22-2020
62,CA- NAPA,91,66,62,69,04-22-2020
65,CA- ALAMEDA CO.,80,22,20,23,04-22-2020
69,CA- PALM SPR/RANCHO MIR.,98,198,188,207,04-22-2020
73,CA- REDDING,84,44,41,46,04-22-2020
77,CA- SACRAMENTO,83,176,167,184,04-22-2020
78,CA- SALINAS,104,198,188,207,04-22-2020
79,CA- SAN BERNARDINO,82,154,146,161,04-22-2020
80,CA- SAN DIEGO,82,176,167,184,04-22-2020
81,CA- SAN FRANCISCO,81,88,83,92,04-22-2020
82,CA- SAN JOSE,86,198,188,207,04-22-2020
83,CA- SAN LUIS OBISPO,123,198,188,207,04-22-2020
85,CA- SAN MATEO CO.,87,198,188,207,04-22-2020
86,CA- SANTA BARBARA,84,44,41,46,04-22-2020
87,CA- SANTA CRUZ,135,198,188,207,04-22-2020
89,CA- SANTA ROSA,81,22,20,23,04-22-2020
