HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,81,464,440,487,05-02-2020
2,AL- DOTHAN,87,472,448,495,05-02-2020
5,AL- HUNTSVILLE,85,464,440,487,05-02-2020
6,AL- MOBILE,83,472,448,495,05-02-2020
7,AL- MONTGOMERY,86,488,463,512,05-02-2020
9,AL- TUSCALOOSA,89,408,387,428,05-02-2020
11,AZ- MESA,84,400,380,420,05-02-2020
12,AZ- PHOENIX,81,416,395,436,05-02-2020
14,AZ- SUN CITY,89,480,456,504,05-02-2020
15,AZ- TUCSON,83,544,516,571,05-02-2020
16,AR- FORT SMITH,87,456,433,478,05-02-2020
18,AR- JONESBORO,90,512,486,537,05-02-2020
19,AR- LITTLE ROCK,81,480,456,504,05-02-2020
21,AR- SPRINGDALE,88,480,456,504,05-02-2020
22,AR- TEXARKANA,89,464,440,487,05-02-2020
23,CA- ORANGE CO.,81,440,418,462,05-02-2020
25,CA- BAKERSFIELD,82,496,471,520,05-02-2020
31,CA- CHICO,95,448,425,470,05-02-2020
33,CA- CONTRA COSTA CO.,84,456,433,478,05-02-2020
43,CA- FRESNO,84,400,380,420,05-02-2020
56,CA- LOS ANGELES,80,504,478,529,05-02-2020
58,CA- MODESTO,85,544,516,571,05-02-2020
62,CA- NAPA,96,520,494,546,05-02-2020
65,CA- ALAMEDA CO.,82,536,509,562,05-02-2020
69,CA- PALM SPR/RANCHO MIR.,89,480,456,504,05-02-2020
73,CA- REDDING,88,520,494,546,05-02-2020
77,CA- SACRAMENTO,82,432,410,453,05-02-2020
78,CA- SALINAS,91,504,478,529,05-02-2020
79,CA- SAN BERNARDINO,81,544,516,571,05-02-2020
80,CA- SAN DIEGO,81,456,433,478,05-02-2020
81,CA- SAN FRANCISCO,81,456,433,478,05-02-2020
82,CA- SAN JOSE,83,440,418,462,05-02-2020
83,CA- SAN LUIS OBISPO,101,536,509,562,05-02-2020
85,CA- SAN MATEO CO.,83,448,425,470,05-02-2020
86,CA- SANTA BARBARA,89,480,456,504,05-02-2020
87,CA- SANTA CRUZ,100,440,418,462,05-02-2020
89,CA- SANTA ROSA,85,480,456,504,05-02-2020
91,CA- STOCKTON,89,376,357,394,05-02-2020
96,CA- VENTURA,86,440,418,462,05-02-2020
101,CO- BOULDER,100,576,547,604,05-02-2020
102,CO- COLORADO SPRINGS,88,488,463,512,05-02-2020
103,CO- DENVER,81,440,418,462,05-02-2020
104,CO- FORT COLLINS,95,488,463,512,05-02-2020
105,CO- GRAND JUNCTION,92,480,456,504,05-02-2020
106,CO- GREELEY,92,520,494,546,05-02-2020
107,CO- PUEBLO,92,448,425,470,05-02-2020
109,CT- BRIDGEPORT,85,528,501,554,05-02-2020
110,CT- HARTFORD,82,504,478,529,05-02-2020
111,CT- NEW HAVEN,82,472,448,495,05-02-2020
112,DE- WILMINGTON,85,512,486,537,05-02-2020
113,DC- WASHINGTON,81,536,509,562,05-02-2020
115,FL- BRADENTON,92,448,425,470,05-02-2020
116,FL- CLEARWATER,85,472,448,495,05-02-2020
118,FL- FORT LAUDERDALE,81,456,433,478,05-02-2020
119,FL- FORT MYERS,82,504,478,529,05-02-2020
120,FL- GAINESVILLE,84,456,433,478,05-02-2020
122,FL- HUDSON,85,408,387,428,05-02-2020
123,FL- JACKSONVILLE,81,416,395,436,05-02-2020
124,FL- LAKELAND,88,440,418,462,05-02-2020
127,FL- MIAMI,80,448,425,470,05-02-2020
129,FL- OCALA,85,384,364,403,05-02-2020
130,FL- ORLANDO,80,536,509,562,05-02-2020
131,FL- ORMOND BEACH,85,464,440,487,05-02-2020
133,FL- PANAMA CITY,90,352,334,369,05-02-2020
134,FL- PENSACOLA,83,504,478,529,05-02-2020
137,FL- SARASOTA,86,472,448,495,05-02-2020
139,FL- ST PETERSBURG,86,520,494,546,05-02-2020
140,FL- TALLAHASSEE,83,576,547,604,05-02-2020
141,FL- TAMPA,82,528,501,554,05-02-2020
142,GA- ALBANY,87,408,387,428,05-02-2020
144,GA- ATLANTA,80,488,463,512,05-02-2020
145,GA- AUGUSTA,83,496,471,520,05-02-2020
146,GA- COLUMBUS,87,488,463,512,05-02-2020
147,GA- MACON,84,504,478,529,05-02-2020
148,GA- ROME,93,488,463,512,05-02-2020
149,GA- SAVANNAH,84,472,448,495,05-02-2020
151,ID- BOISE,84,416,395,436,05-02-2020
152,ID- IDAHO FALLS,100,512,486,537,05-02-2020
154,IL- AURORA,96,496,471,520,05-02-2020
155,IL- BLUE ISLAND,83,416,395,436,05-02-2020
156,IL- CHICAGO,81,424,402,445,05-02-2020
158,IL- ELGIN,88,480,456,504,05-02-2020
161,IL- EVANSTON,83,408,387,428,05-02-2020
163,IL- HINSDALE,88,504,478,529,05-02-2020
164,IL- JOLIET,87,464,440,487,05-02-2020
166,IL- MELROSE PARK,82,448,425,470,05-02-2020
170,IL- PEORIA,85,464,440,487,05-02-2020
171,IL- ROCKFORD,86,504,478,529,05-02-2020
172,IL- SPRINGFIELD,83,504,478,529,05-02-2020
173,IL- URBANA,89,504,478,529,05-02-2020
175,IL- BLOOMINGTON,115,536,509,562,05-02-2020
179,IN- EVANSVILLE,83,448,425,470,05-02-2020
180,IN- FORT WAYNE,83,432,410,453,05-02-2020
181,IN- GARY,85,384,364,403,05-02-2020
183,IN- INDIANAPOLIS,81,496,471,520,05-02-2020
184,IN- LAFAYETTE,92,560,532,588,05-02-2020
185,IN- MUNCIE,102,488,463,512,05-02-2020
186,IN- MUNSTER,87,464,440,487,05-02-2020
187,IN- SOUTH BEND,85,416,395,436,05-02-2020
188,IN- TERRE HAUTE,94,408,387,428,05-02-2020
190,IA- CEDAR RAPIDS,88,480,456,504,05-02-2020
191,IA- DAVENPORT,83,368,349,386,05-02-2020
192,IA- DES MOINES,82,480,456,504,05-02-2020
193,IA- DUBUQUE,97,480,456,504,05-02-2020
194,IA- IOWA CITY,84,440,418,462,05-02-2020
195,IA- MASON CITY,92,472,448,495,05-02-2020
196,IA- SIOUX CITY,87,456,433,478,05-02-2020
197,IA- WATERLOO,93,528,501,554,05-02-2020
200,KS- TOPEKA,86,448,425,470,05-02-2020
201,KS- WICHITA,81,464,440,487,05-02-2020
203,KY- COVINGTON,87,448,425,470,05-02-2020
204,KY- LEXINGTON,81,464,440,487,05-02-2020
205,KY- LOUISVILLE,81,400,380,420,05-02-2020
207,KY- OWENSBORO,98,448,425,470,05-02-2020
208,KY- PADUCAH,84,432,410,453,05-02-2020
209,LA- ALEXANDRIA,89,464,440,487,05-02-2020
210,LA- BATON ROUGE,83,472,448,495,05-02-2020
212,LA- HOUMA,92,440,418,462,05-02-2020
213,LA- LAFAYETTE,84,528,501,554,05-02-2020
214,LA- LAKE CHARLES,91,576,547,604,05-02-2020
216,LA- METAIRIE,89,496,471,520,05-02-2020
217,LA- MONROE,89,504,478,529,05-02-2020
218,LA- NEW ORLEANS,83,456,433,478,05-02-2020
219,LA- SHREVEPORT,83,488,463,512,05-02-2020
220,LA- SLIDELL,94,432,410,453,05-02-2020
221,ME- BANGOR,88,440,418,462,05-02-2020
222,ME- PORTLAND,83,488,463,512,05-02-2020
223,MD- BALTIMORE,81,440,418,462,05-02-2020
225,MD- SALISBURY,89,472,448,495,05-02-2020
226,MD- TAKOMA PARK,87,528,501,554,05-02-2020
227,MA- BOSTON,80,464,440,487,05-02-2020
230,MA- SPRINGFIELD,85,528,501,554,05-02-2020
231,MA- WORCESTER,85,464,440,487,05-02-2020
232,MI- ANN ARBOR,82,408,387,428,05-02-2020
233,MI- DEARBORN,85,544,516,571,05-02-2020
234,MI- DETROIT,82,464,440,487,05-02-2020
235,MI- FLINT,87,600,570,630,05-02-2020
236,MI- GRAND RAPIDS,84,552,524,579,05-02-2020
238,MI- KALAMAZOO,84,424,402,445,05-02-2020
239,MI- LANSING,85,504,478,529,05-02-2020
240,MI- MARQUETTE,99,568,539,596,05-02-2020
242,MI- MUSKEGON,97,448,425,470,05-02-2020
243,MI- PETOSKEY,107,560,532,588,05-02-2020
244,MI- PONTIAC,87,472,448,495,05-02-2020
245,MI- ROYAL OAK,83,448,425,470,05-02-2020
246,MI- SAGINAW,84,448,425,470,05-02-2020
248,MI- ST JOSEPH,109,440,418,462,05-02-2020
249,MI- TRAVERSE CITY,94,400,380,420,05-02-2020
250,MN- DULUTH,88,528,501,554,05-02-2020
251,MN- MINNEAPOLIS,80,368,349,386,05-02-2020
253,MN- ROCHESTER,83,448,425,470,05-02-2020
254,MN- ST CLOUD,92,440,418,462,05-02-2020
256,MN- ST PAUL,83,408,387,428,05-02-2020
257,MS- GULFPORT,92,592,562,621,05-02-2020
258,MS- HATTIESBURG,87,480,456,504,05-02-2020
259,MS- JACKSON,82,480,456,504,05-02-2020
260,MS- MERIDIAN,89,448,425,470,05-02-2020
261,MS- OXFORD,95,528,501,554,05-02-2020
262,MS- TUPELO,85,520,494,546,05-02-2020
263,MO- CAPE GIRARDEAU,87,408,387,428,05-02-2020
264,MO- COLUMBIA,85,536,509,562,05-02-2020
267,MO- JOPLIN,90,488,463,512,05-02-2020
268,MO- KANSAS CITY,81,488,463,512,05-02-2020
270,MO- SPRINGFIELD,84,456,433,478,05-02-2020
273,MO- ST LOUIS,80,512,486,537,05-02-2020
274,MT- BILLINGS,84,448,425,470,05-02-2020
275,MT- GREAT FALLS,89,448,425,470,05-02-2020
276,MT- MISSOULA,87,520,494,546,05-02-2020
277,NE- LINCOLN,85,488,463,512,05-02-2020
278,NE- OMAHA,81,472,448,495,05-02-2020
279,NV- LAS VEGAS,81,400,380,420,05-02-2020
280,NV- RENO,84,448,425,470,05-02-2020
281,NH- LEBANON,89,528,501,554,05-02-2020
282,NH- MANCHESTER,84,416,395,436,05-02-2020
283,NJ- CAMDEN,81,480,456,504,05-02-2020
