HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8389,56,294,04-08-2020
2,AL- DOTHAN,1307,21,49,04-08-2020
5,AL- HUNTSVILLE,1831,49,392,04-08-2020
6,AL- MOBILE,2850,7,343,04-08-2020
7,AL- MONTGOMERY,1497,49,343,04-08-2020
9,AL- TUSCALOOSA,935,63,49,04-08-2020
11,AZ- MESA,1910,70,294,04-08-2020
12,AZ- PHOENIX,7533,42,147,04-08-2020
14,AZ- SUN CITY,761,49,490,04-08-2020
15,AZ- TUCSON,2461,63,147,04-08-2020
16,AR- FORT SMITH,1260,21,49,04-08-2020
18,AR- JONESBORO,876,28,343,04-08-2020
19,AR- LITTLE ROCK,5709,63,196,04-08-2020
21,AR- SPRINGDALE,1015,42,490,04-08-2020
22,AR- TEXARKANA,917,63,490,04-08-2020
23,CA- ORANGE CO.,7623,28,196,04-08-2020
25,CA- BAKERSFIELD,3546,70,147,04-08-2020
31,CA- CHICO,605,35,490,04-08-2020
33,CA- CONTRA COSTA CO.,1989,14,147,04-08-2020
43,CA- FRESNO,2220,63,98,04-08-2020
56,CA- LOS ANGELES,24740,63,392,04-08-2020
58,CA- MODESTO,1691,28,392,04-08-2020
62,CA- NAPA,540,42,392,04-08-2020
65,CA- ALAMEDA CO.,3330,49,294,04-08-2020
69,CA- PALM SPR/RANCHO MIR.,983,70,490,04-08-2020
73,CA- REDDING,1075,7,98,04-08-2020
77,CA- SACRAMENTO,4721,63,294,04-08-2020
78,CA- SALINAS,765,28,343,04-08-2020
79,CA- SAN BERNARDINO,5719,63,49,04-08-2020
80,CA- SAN DIEGO,7019,14,343,04-08-2020
81,CA- SAN FRANCISCO,5052,21,49,04-08-2020
82,CA- SAN JOSE,3005,21,343,04-08-2020
83,CA- SAN LUIS OBISPO,407,49,441,04-08-2020
85,CA- SAN MATEO CO.,2689,7,196,04-08-2020
86,CA- SANTA BARBARA,924,42,392,04-08-2020
87,CA- SANTA CRUZ,310,49,392,04-08-2020
89,CA- SANTA ROSA,1847,14,441,04-08-2020
91,CA- STOCKTON,993,70,196,04-08-2020
96,CA- VENTURA,1545,28,196,04-08-2020
101,CO- BOULDER,440,35,294,04-08-2020
102,CO- COLORADO SPRINGS,1021,14,294,04-08-2020
103,CO- DENVER,4721,56,196,04-08-2020
104,CO- FORT COLLINS,597,42,441,04-08-2020
105,CO- GRAND JUNCTION,729,63,343,04-08-2020
106,CO- GREELEY,707,70,245,04-08-2020
107,CO- PUEBLO,784,14,147,04-08-2020
109,CT- BRIDGEPORT,1625,70,490,04-08-2020
110,CT- HARTFORD,3214,42,147,04-08-2020
111,CT- NEW HAVEN,3824,28,441,04-08-2020
112,DE- WILMINGTON,1806,56,343,04-08-2020
113,DC- WASHINGTON,5433,56,441,04-08-2020
115,FL- BRADENTON,660,49,294,04-08-2020
116,FL- CLEARWATER,1616,21,490,04-08-2020
118,FL- FORT LAUDERDALE,8671,28,441,04-08-2020
119,FL- FORT MYERS,3756,70,147,04-08-2020
120,FL- GAINESVILLE,1813,28,98,04-08-2020
122,FL- HUDSON,1224,28,147,04-08-2020
123,FL- JACKSONVILLE,4849,63,441,04-08-2020
124,FL- LAKELAND,1026,42,490,04-08-2020
127,FL- MIAMI,10754,28,147,04-08-2020
129,FL- OCALA,1347,21,490,04-08-2020
130,FL- ORLANDO,10347,14,343,04-08-2020
131,FL- ORMOND BEACH,1626,28,147,04-08-2020
133,FL- PANAMA CITY,594,70,196,04-08-2020
134,FL- PENSACOLA,2293,56,343,04-08-2020
137,FL- SARASOTA,1438,7,196,04-08-2020
139,FL- ST PETERSBURG,1563,35,49,04-08-2020
140,FL- TALLAHASSEE,2669,28,392,04-08-2020
141,FL- TAMPA,4204,56,343,04-08-2020
142,GA- ALBANY,1021,42,343,04-08-2020
144,GA- ATLANTA,11909,70,98,04-08-2020
145,GA- AUGUSTA,2399,56,441,04-08-2020
146,GA- COLUMBUS,1217,42,196,04-08-2020
147,GA- MACON,2215,21,98,04-08-2020
148,GA- ROME,683,49,196,04-08-2020
149,GA- SAVANNAH,2044,14,147,04-08-2020
151,ID- BOISE,2007,70,343,04-08-2020
152,ID- IDAHO FALLS,447,14,245,04-08-2020
154,IL- AURORA,478,49,98,04-08-2020
155,IL- BLUE ISLAND,2480,56,343,04-08-2020
156,IL- CHICAGO,8504,56,490,04-08-2020
158,IL- ELGIN,1023,63,490,04-08-2020
161,IL- EVANSTON,2388,28,392,04-08-2020
163,IL- HINSDALE,1058,42,98,04-08-2020
164,IL- JOLIET,1305,21,490,04-08-2020
166,IL- MELROSE PARK,3045,49,294,04-08-2020
170,IL- PEORIA,1803,56,245,04-08-2020
171,IL- ROCKFORD,1496,35,245,04-08-2020
172,IL- SPRINGFIELD,2496,49,343,04-08-2020
173,IL- URBANA,1025,14,49,04-08-2020
175,IL- BLOOMINGTON,197,70,245,04-08-2020
179,IN- EVANSVILLE,1975,70,490,04-08-2020
180,IN- FORT WAYNE,2170,42,98,04-08-2020
181,IN- GARY,1436,70,343,04-08-2020
183,IN- INDIANAPOLIS,6354,63,294,04-08-2020
184,IN- LAFAYETTE,671,70,294,04-08-2020
185,IN- MUNCIE,391,28,245,04-08-2020
186,IN- MUNSTER,1105,49,392,04-08-2020
187,IN- SOUTH BEND,1522,7,343,04-08-2020
188,IN- TERRE HAUTE,504,35,441,04-08-2020
190,IA- CEDAR RAPIDS,1067,49,441,04-08-2020
191,IA- DAVENPORT,2174,49,490,04-08-2020
192,IA- DES MOINES,3244,49,147,04-08-2020
193,IA- DUBUQUE,517,28,392,04-08-2020
194,IA- IOWA CITY,1908,35,98,04-08-2020
195,IA- MASON CITY,663,70,490,04-08-2020
196,IA- SIOUX CITY,1090,42,147,04-08-2020
197,IA- WATERLOO,597,42,343,04-08-2020
200,KS- TOPEKA,1512,35,245,04-08-2020
201,KS- WICHITA,4901,49,147,04-08-2020
203,KY- COVINGTON,1052,49,392,04-08-2020
204,KY- LEXINGTON,5143,63,98,04-08-2020
205,KY- LOUISVILLE,4753,63,392,04-08-2020
207,KY- OWENSBORO,416,56,147,04-08-2020
208,KY- PADUCAH,1573,49,441,04-08-2020
209,LA- ALEXANDRIA,977,14,196,04-08-2020
210,LA- BATON ROUGE,2459,21,441,04-08-2020
212,LA- HOUMA,666,35,196,04-08-2020
213,LA- LAFAYETTE,2155,7,441,04-08-2020
214,LA- LAKE CHARLES,844,21,49,04-08-2020
216,LA- METAIRIE,955,56,441,04-08-2020
217,LA- MONROE,883,42,196,04-08-2020
218,LA- NEW ORLEANS,2390,35,196,04-08-2020
219,LA- SHREVEPORT,2666,70,147,04-08-2020
