HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
1,AL- BIRMINGHAM,04-03-2020,8445,4222,NA,9,2,NA,567
2,AL- DOTHAN,04-03-2020,1328,664,NA,54,10,NA,486
5,AL- HUNTSVILLE,04-03-2020,1880,940,NA,45,9,NA,81
6,AL- MOBILE,04-03-2020,2857,1428,NA,54,5,NA,648
7,AL- MONTGOMERY,04-03-2020,1546,773,NA,72,14,NA,567
9,AL- TUSCALOOSA,04-03-2020,998,499,NA,63,12,NA,567
11,AZ- MESA,04-03-2020,1980,990,NA,72,21,NA,405
12,AZ- PHOENIX,04-03-2020,7575,3787,NA,36,7,NA,324
14,AZ- SUN CITY,04-03-2020,810,405,NA,45,4,NA,81
15,AZ- TUCSON,04-03-2020,2524,1262,NA,63,18,NA,567
16,AR- FORT SMITH,04-03-2020,1281,640,NA,72,14,NA,162
18,AR- JONESBORO,04-03-2020,904,452,NA,36,7,NA,648
19,AR- LITTLE ROCK,04-03-2020,5772,2886,NA,18,1,NA,81
21,AR- SPRINGDALE,04-03-2020,1057,528,NA,81,16,NA,162
22,AR- TEXARKANA,04-03-2020,980,490,NA,45,13,NA,567
23,CA- ORANGE CO.,04-03-2020,7651,3825,NA,18,3,NA,324
25,CA- BAKERSFIELD,04-03-2020,3616,1808,NA,63,6,NA,405
31,CA- CHICO,04-03-2020,640,320,NA,45,4,NA,81
33,CA- CONTRA COSTA CO.,04-03-2020,2003,1001,NA,54,10,NA,810
43,CA- FRESNO,04-03-2020,2283,1141,NA,18,3,NA,81
56,CA- LOS ANGELES,04-03-2020,24803,12401,NA,72,14,NA,81
58,CA- MODESTO,04-03-2020,1719,859,NA,54,5,NA,486
62,CA- NAPA,04-03-2020,582,291,NA,9,1,NA,243
65,CA- ALAMEDA CO.,04-03-2020,3379,1689,NA,90,18,NA,729
69,CA- PALM SPR/RANCHO MIR.,04-03-2020,1053,526,NA,27,8,NA,243
73,CA- REDDING,04-03-2020,1082,541,NA,45,9,NA,729
77,CA- SACRAMENTO,04-03-2020,4784,2392,NA,27,2,NA,162
78,CA- SALINAS,04-03-2020,793,396,NA,63,18,NA,567
79,CA- SAN BERNARDINO,04-03-2020,5782,2891,NA,45,9,NA,243
80,CA- SAN DIEGO,04-03-2020,7033,3516,NA,36,10,NA,243
81,CA- SAN FRANCISCO,04-03-2020,5073,2536,NA,72,14,NA,729
82,CA- SAN JOSE,04-03-2020,3026,1513,NA,72,14,NA,810
83,CA- SAN LUIS OBISPO,04-03-2020,456,228,NA,45,13,NA,567
85,CA- SAN MATEO CO.,04-03-2020,2696,1348,NA,90,18,NA,648
86,CA- SANTA BARBARA,04-03-2020,966,483,NA,81,8,NA,324
87,CA- SANTA CRUZ,04-03-2020,359,179,NA,72,7,NA,648
89,CA- SANTA ROSA,04-03-2020,1861,930,NA,18,1,NA,324
91,CA- STOCKTON,04-03-2020,1063,531,NA,36,3,NA,810
96,CA- VENTURA,04-03-2020,1573,786,NA,72,14,NA,324
101,CO- BOULDER,04-03-2020,475,237,NA,36,3,NA,729
102,CO- COLORADO SPRINGS,04-03-2020,1035,517,NA,81,24,NA,405
103,CO- DENVER,04-03-2020,4777,2388,NA,81,8,NA,162
104,CO- FORT COLLINS,04-03-2020,639,319,NA,72,14,NA,486
105,CO- GRAND JUNCTION,04-03-2020,792,396,NA,18,3,NA,162
106,CO- GREELEY,04-03-2020,777,388,NA,81,16,NA,162
107,CO- PUEBLO,04-03-2020,798,399,NA,45,13,NA,486
109,CT- BRIDGEPORT,04-03-2020,1695,847,NA,45,4,NA,162
110,CT- HARTFORD,04-03-2020,3256,1628,NA,54,5,NA,324
111,CT- NEW HAVEN,04-03-2020,3852,1926,NA,72,14,NA,243
112,DE- WILMINGTON,04-03-2020,1862,931,NA,54,5,NA,405
113,DC- WASHINGTON,04-03-2020,5489,2744,NA,81,8,NA,81
115,FL- BRADENTON,04-03-2020,709,354,NA,90,9,NA,648
116,FL- CLEARWATER,04-03-2020,1637,818,NA,90,27,NA,324
118,FL- FORT LAUDERDALE,04-03-2020,8699,4349,NA,63,18,NA,567
119,FL- FORT MYERS,04-03-2020,3826,1913,NA,90,9,NA,486
120,FL- GAINESVILLE,04-03-2020,1841,920,NA,27,2,NA,810
122,FL- HUDSON,04-03-2020,1252,626,NA,81,24,NA,243
123,FL- JACKSONVILLE,04-03-2020,4912,2456,NA,27,2,NA,243
124,FL- LAKELAND,04-03-2020,1068,534,NA,81,16,NA,324
127,FL- MIAMI,04-03-2020,10782,5391,NA,90,18,NA,405
129,FL- OCALA,04-03-2020,1368,684,NA,18,5,NA,729
130,FL- ORLANDO,04-03-2020,10361,5180,NA,90,27,NA,810
131,FL- ORMOND BEACH,04-03-2020,1654,827,NA,9,1,NA,243
133,FL- PANAMA CITY,04-03-2020,664,332,NA,27,5,NA,162
134,FL- PENSACOLA,04-03-2020,2349,1174,NA,9,2,NA,162
137,FL- SARASOTA,04-03-2020,1445,722,NA,54,5,NA,324
139,FL- ST PETERSBURG,04-03-2020,1598,799,NA,18,5,NA,81
140,FL- TALLAHASSEE,04-03-2020,2697,1348,NA,72,14,NA,243
141,FL- TAMPA,04-03-2020,4260,2130,NA,90,18,NA,162
142,GA- ALBANY,04-03-2020,1063,531,NA,9,1,NA,729
144,GA- ATLANTA,04-03-2020,11979,5989,NA,81,8,NA,324
145,GA- AUGUSTA,04-03-2020,2455,1227,NA,63,18,NA,810
146,GA- COLUMBUS,04-03-2020,1259,629,NA,18,1,NA,243
147,GA- MACON,04-03-2020,2236,1118,NA,63,12,NA,486
148,GA- ROME,04-03-2020,732,366,NA,54,5,NA,486
149,GA- SAVANNAH,04-03-2020,2058,1029,NA,90,18,NA,567
151,ID- BOISE,04-03-2020,2077,1038,NA,81,16,NA,729
152,ID- IDAHO FALLS,04-03-2020,461,230,NA,36,3,NA,729
154,IL- AURORA,04-03-2020,527,263,NA,36,7,NA,486
155,IL- BLUE ISLAND,04-03-2020,2536,1268,NA,36,7,NA,405
156,IL- CHICAGO,04-03-2020,8560,4280,NA,81,16,NA,810
158,IL- ELGIN,04-03-2020,1086,543,NA,27,5,NA,324
161,IL- EVANSTON,04-03-2020,2416,1208,NA,63,12,NA,324
163,IL- HINSDALE,04-03-2020,1100,550,NA,72,14,NA,729
164,IL- JOLIET,04-03-2020,1326,663,NA,54,10,NA,486
166,IL- MELROSE PARK,04-03-2020,3094,1547,NA,45,13,NA,729
170,IL- PEORIA,04-03-2020,1859,929,NA,18,1,NA,810
171,IL- ROCKFORD,04-03-2020,1531,765,NA,27,5,NA,810
172,IL- SPRINGFIELD,04-03-2020,2545,1272,NA,45,13,NA,324
173,IL- URBANA,04-03-2020,1039,519,NA,27,8,NA,810
175,IL- BLOOMINGTON,04-03-2020,267,133,NA,36,3,NA,81
179,IN- EVANSVILLE,04-03-2020,2045,1022,NA,45,4,NA,405
180,IN- FORT WAYNE,04-03-2020,2212,1106,NA,27,5,NA,81
181,IN- GARY,04-03-2020,1506,753,NA,36,7,NA,324
183,IN- INDIANAPOLIS,04-03-2020,6417,3208,NA,63,18,NA,810
184,IN- LAFAYETTE,04-03-2020,741,370,NA,18,1,NA,648
185,IN- MUNCIE,04-03-2020,419,209,NA,90,27,NA,567
186,IN- MUNSTER,04-03-2020,1154,577,NA,54,10,NA,486
187,IN- SOUTH BEND,04-03-2020,1529,764,NA,81,16,NA,486
188,IN- TERRE HAUTE,04-03-2020,539,269,NA,9,1,NA,81
190,IA- CEDAR RAPIDS,04-03-2020,1116,558,NA,36,7,NA,567
191,IA- DAVENPORT,04-03-2020,2223,1111,NA,45,9,NA,567
192,IA- DES MOINES,04-03-2020,3293,1646,NA,63,12,NA,486
193,IA- DUBUQUE,04-03-2020,545,272,NA,36,7,NA,243
194,IA- IOWA CITY,04-03-2020,1943,971,NA,54,5,NA,162
195,IA- MASON CITY,04-03-2020,733,366,NA,45,9,NA,810
196,IA- SIOUX CITY,04-03-2020,1132,566,NA,81,8,NA,648
197,IA- WATERLOO,04-03-2020,639,319,NA,9,0,NA,243
200,KS- TOPEKA,04-03-2020,1547,773,NA,18,3,NA,81
201,KS- WICHITA,04-03-2020,4950,2475,NA,27,5,NA,648
203,KY- COVINGTON,04-03-2020,1101,550,NA,9,2,NA,162
204,KY- LEXINGTON,04-03-2020,5206,2603,NA,90,18,NA,324
205,KY- LOUISVILLE,04-03-2020,4816,2408,NA,63,12,NA,486
207,KY- OWENSBORO,04-03-2020,472,236,NA,90,18,NA,486
208,KY- PADUCAH,04-03-2020,1622,811,NA,36,7,NA,81
209,LA- ALEXANDRIA,04-03-2020,991,495,NA,18,1,NA,243
210,LA- BATON ROUGE,04-03-2020,2480,1240,NA,36,3,NA,648
212,LA- HOUMA,04-03-2020,701,350,NA,36,3,NA,648
213,LA- LAFAYETTE,04-03-2020,2162,1081,NA,90,9,NA,729
214,LA- LAKE CHARLES,04-03-2020,865,432,NA,18,3,NA,486
216,LA- METAIRIE,04-03-2020,1011,505,NA,90,27,NA,324
217,LA- MONROE,04-03-2020,925,462,NA,45,9,NA,81
218,LA- NEW ORLEANS,04-03-2020,2425,1212,NA,9,2,NA,81
