HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8415,30,150,04-07-2020
2,AL- DOTHAN,1278,50,25,04-07-2020
5,AL- HUNTSVILLE,1845,35,75,04-07-2020
6,AL- MOBILE,2827,30,25,04-07-2020
7,AL- MONTGOMERY,1506,40,200,04-07-2020
9,AL- TUSCALOOSA,963,35,100,04-07-2020
11,AZ- MESA,1975,5,50,04-07-2020
12,AZ- PHOENIX,7525,50,175,04-07-2020
14,AZ- SUN CITY,775,35,100,04-07-2020
15,AZ- TUCSON,2489,35,25,04-07-2020
16,AR- FORT SMITH,1241,40,175,04-07-2020
18,AR- JONESBORO,874,30,50,04-07-2020
19,AR- LITTLE ROCK,5747,25,225,04-07-2020
21,AR- SPRINGDALE,1027,30,100,04-07-2020
22,AR- TEXARKANA,935,45,175,04-07-2020
23,CA- ORANGE CO.,7611,40,125,04-07-2020
25,CA- BAKERSFIELD,3571,45,225,04-07-2020
31,CA- CHICO,620,20,150,04-07-2020
33,CA- CONTRA COSTA CO.,1983,20,50,04-07-2020
43,CA- FRESNO,2263,20,250,04-07-2020
56,CA- LOS ANGELES,24768,35,75,04-07-2020
58,CA- MODESTO,1714,5,225,04-07-2020
62,CA- NAPA,562,20,225,04-07-2020
65,CA- ALAMEDA CO.,3349,30,200,04-07-2020
69,CA- PALM SPR/RANCHO MIR.,1028,25,100,04-07-2020
73,CA- REDDING,1047,35,100,04-07-2020
77,CA- SACRAMENTO,4764,20,25,04-07-2020
78,CA- SALINAS,788,5,125,04-07-2020
79,CA- SAN BERNARDINO,5772,10,100,04-07-2020
80,CA- SAN DIEGO,7008,25,175,04-07-2020
81,CA- SAN FRANCISCO,5033,40,100,04-07-2020
82,CA- SAN JOSE,3016,10,25,04-07-2020
83,CA- SAN LUIS OBISPO,421,35,150,04-07-2020
85,CA- SAN MATEO CO.,2656,40,100,04-07-2020
86,CA- SANTA BARBARA,956,10,200,04-07-2020
87,CA- SANTA CRUZ,329,30,25,04-07-2020
89,CA- SANTA ROSA,1836,25,200,04-07-2020
91,CA- STOCKTON,1048,15,25,04-07-2020
96,CA- VENTURA,1533,40,25,04-07-2020
101,CO- BOULDER,470,5,250,04-07-2020
102,CO- COLORADO SPRINGS,1005,30,125,04-07-2020
103,CO- DENVER,4742,35,150,04-07-2020
104,CO- FORT COLLINS,619,20,25,04-07-2020
105,CO- GRAND JUNCTION,757,35,175,04-07-2020
106,CO- GREELEY,727,50,125,04-07-2020
107,CO- PUEBLO,793,5,250,04-07-2020
109,CT- BRIDGEPORT,1665,30,150,04-07-2020
110,CT- HARTFORD,3251,5,50,04-07-2020
111,CT- NEW HAVEN,3802,50,225,04-07-2020
112,DE- WILMINGTON,1812,50,250,04-07-2020
113,DC- WASHINGTON,5459,30,125,04-07-2020
115,FL- BRADENTON,694,15,150,04-07-2020
116,FL- CLEARWATER,1597,40,150,04-07-2020
118,FL- FORT LAUDERDALE,8689,10,100,04-07-2020
119,FL- FORT MYERS,3786,40,175,04-07-2020
120,FL- GAINESVILLE,1831,10,100,04-07-2020
122,FL- HUDSON,1227,25,250,04-07-2020
123,FL- JACKSONVILLE,4892,20,250,04-07-2020
124,FL- LAKELAND,1028,40,100,04-07-2020
127,FL- MIAMI,10737,45,225,04-07-2020
129,FL- OCALA,1328,40,125,04-07-2020
130,FL- ORLANDO,10316,45,75,04-07-2020
131,FL- ORMOND BEACH,1619,35,100,04-07-2020
133,FL- PANAMA CITY,649,15,200,04-07-2020
134,FL- PENSACOLA,2334,15,200,04-07-2020
137,FL- SARASOTA,1400,45,125,04-07-2020
139,FL- ST PETERSBURG,1553,45,25,04-07-2020
140,FL- TALLAHASSEE,2657,40,100,04-07-2020
141,FL- TAMPA,4230,30,125,04-07-2020
142,GA- ALBANY,1028,35,225,04-07-2020
144,GA- ATLANTA,11969,10,100,04-07-2020
145,GA- AUGUSTA,2430,25,175,04-07-2020
146,GA- COLUMBUS,1224,35,75,04-07-2020
147,GA- MACON,2201,35,225,04-07-2020
148,GA- ROME,692,40,125,04-07-2020
149,GA- SAVANNAH,2038,20,200,04-07-2020
151,ID- BOISE,2052,25,100,04-07-2020
152,ID- IDAHO FALLS,426,35,175,04-07-2020
154,IL- AURORA,477,50,225,04-07-2020
155,IL- BLUE ISLAND,2496,40,225,04-07-2020
156,IL- CHICAGO,8540,20,225,04-07-2020
158,IL- ELGIN,1066,20,75,04-07-2020
161,IL- EVANSTON,2391,25,100,04-07-2020
163,IL- HINSDALE,1050,50,150,04-07-2020
164,IL- JOLIET,1301,25,200,04-07-2020
166,IL- MELROSE PARK,3044,50,75,04-07-2020
170,IL- PEORIA,1839,20,150,04-07-2020
171,IL- ROCKFORD,1511,20,50,04-07-2020
172,IL- SPRINGFIELD,2500,45,50,04-07-2020
173,IL- URBANA,1004,35,25,04-07-2020
175,IL- BLOOMINGTON,222,45,75,04-07-2020
179,IN- EVANSVILLE,2030,15,100,04-07-2020
180,IN- FORT WAYNE,2172,40,100,04-07-2020
181,IN- GARY,1456,50,200,04-07-2020
183,IN- INDIANAPOLIS,6407,10,250,04-07-2020
184,IN- LAFAYETTE,731,10,175,04-07-2020
185,IN- MUNCIE,369,50,225,04-07-2020
186,IN- MUNSTER,1114,40,200,04-07-2020
187,IN- SOUTH BEND,1524,5,125,04-07-2020
188,IN- TERRE HAUTE,524,15,100,04-07-2020
190,IA- CEDAR RAPIDS,1081,35,225,04-07-2020
191,IA- DAVENPORT,2193,30,225,04-07-2020
192,IA- DES MOINES,3288,5,150,04-07-2020
193,IA- DUBUQUE,525,20,50,04-07-2020
194,IA- IOWA CITY,1928,15,175,04-07-2020
195,IA- MASON CITY,713,20,75,04-07-2020
196,IA- SIOUX CITY,1087,45,225,04-07-2020
197,IA- WATERLOO,629,10,200,04-07-2020
200,KS- TOPEKA,1517,30,100,04-07-2020
201,KS- WICHITA,4900,50,250,04-07-2020
203,KY- COVINGTON,1061,40,100,04-07-2020
204,KY- LEXINGTON,5181,25,25,04-07-2020
205,KY- LOUISVILLE,4801,15,125,04-07-2020
207,KY- OWENSBORO,432,40,150,04-07-2020
208,KY- PADUCAH,1602,20,225,04-07-2020
209,LA- ALEXANDRIA,976,15,250,04-07-2020
210,LA- BATON ROUGE,2475,5,50,04-07-2020
212,LA- HOUMA,666,35,200,04-07-2020
213,LA- LAFAYETTE,2157,5,125,04-07-2020
214,LA- LAKE CHARLES,860,5,225,04-07-2020
216,LA- METAIRIE,1001,10,75,04-07-2020
