HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Beds Count,Vent. Count,Staff Count,Cases
1,AL- BIRMINGHAM,05-12-2020,8057,4184,NA,388,38,NA,8445,4222,NA,56454
2,AL- DOTHAN,05-12-2020,1134,606,NA,194,58,NA,1328,664,NA,75272
5,AL- HUNTSVILLE,05-12-2020,1298,824,NA,582,116,NA,1880,940,NA,28227
6,AL- MOBILE,05-12-2020,2372,1283,NA,485,145,NA,2857,1428,NA,65863
7,AL- MONTGOMERY,05-12-2020,1158,657,NA,388,116,NA,1546,773,NA,37636
9,AL- TUSCALOOSA,05-12-2020,707,470,NA,291,29,NA,998,499,NA,9409
11,AZ- MESA,05-12-2020,1592,952,NA,388,38,NA,1980,990,NA,56454
12,AZ- PHOENIX,05-12-2020,7381,3729,NA,194,58,NA,7575,3787,NA,28227
14,AZ- SUN CITY,05-12-2020,131,338,NA,679,67,NA,810,405,NA,18818
15,AZ- TUCSON,05-12-2020,1942,1146,NA,582,116,NA,2524,1262,NA,37636
16,AR- FORT SMITH,05-12-2020,990,611,NA,291,29,NA,1281,640,NA,9409
18,AR- JONESBORO,05-12-2020,128,220,NA,776,232,NA,904,452,NA,28227
19,AR- LITTLE ROCK,05-12-2020,4802,2789,NA,970,97,NA,5772,2886,NA,18818
21,AR- SPRINGDALE,05-12-2020,184,267,NA,873,261,NA,1057,528,NA,18818
22,AR- TEXARKANA,05-12-2020,786,452,NA,194,38,NA,980,490,NA,47045
23,CA- ORANGE CO.,05-12-2020,7263,3709,NA,388,116,NA,7651,3825,NA,56454
25,CA- BAKERSFIELD,05-12-2020,3131,1760,NA,485,48,NA,3616,1808,NA,18818
31,CA- CHICO,05-12-2020,58,204,NA,582,116,NA,640,320,NA,37636
33,CA- CONTRA COSTA CO.,05-12-2020,1906,992,NA,97,9,NA,2003,1001,NA,56454
43,CA- FRESNO,05-12-2020,1410,1054,NA,873,87,NA,2283,1141,NA,9409
56,CA- LOS ANGELES,05-12-2020,24221,12285,NA,582,116,NA,24803,12401,NA,9409
58,CA- MODESTO,05-12-2020,1525,821,NA,194,38,NA,1719,859,NA,84681
62,CA- NAPA,05-12-2020,0,224,NA,679,67,NA,582,291,NA,84681
65,CA- ALAMEDA CO.,05-12-2020,2506,1515,NA,873,174,NA,3379,1689,NA,56454
69,CA- PALM SPR/RANCHO MIR.,05-12-2020,83,332,NA,970,194,NA,1053,526,NA,94090
73,CA- REDDING,05-12-2020,500,425,NA,582,116,NA,1082,541,NA,75272
77,CA- SACRAMENTO,05-12-2020,4008,2160,NA,776,232,NA,4784,2392,NA,56454
78,CA- SALINAS,05-12-2020,502,309,NA,291,87,NA,793,396,NA,28227
79,CA- SAN BERNARDINO,05-12-2020,5685,2862,NA,97,29,NA,5782,2891,NA,65863
80,CA- SAN DIEGO,05-12-2020,6645,3400,NA,388,116,NA,7033,3516,NA,65863
81,CA- SAN FRANCISCO,05-12-2020,4588,2391,NA,485,145,NA,5073,2536,NA,9409
82,CA- SAN JOSE,05-12-2020,2153,1426,NA,873,87,NA,3026,1513,NA,65863
83,CA- SAN LUIS OBISPO,05-12-2020,0,93,NA,679,135,NA,456,228,NA,47045
85,CA- SAN MATEO CO.,05-12-2020,2599,1319,NA,97,29,NA,2696,1348,NA,28227
86,CA- SANTA BARBARA,05-12-2020,675,425,NA,291,58,NA,966,483,NA,94090
87,CA- SANTA CRUZ,05-12-2020,0,24,NA,776,155,NA,359,179,NA,28227
89,CA- SANTA ROSA,05-12-2020,1279,814,NA,582,116,NA,1861,930,NA,9409
91,CA- STOCKTON,05-12-2020,966,512,NA,97,19,NA,1063,531,NA,56454
96,CA- VENTURA,05-12-2020,1088,689,NA,485,97,NA,1573,786,NA,9409
101,CO- BOULDER,05-12-2020,0,160,NA,776,77,NA,475,237,NA,75272
102,CO- COLORADO SPRINGS,05-12-2020,550,469,NA,485,48,NA,1035,517,NA,47045
103,CO- DENVER,05-12-2020,4195,2272,NA,582,116,NA,4777,2388,NA,84681
104,CO- FORT COLLINS,05-12-2020,0,164,NA,776,155,NA,639,319,NA,65863
105,CO- GRAND JUNCTION,05-12-2020,210,338,NA,582,58,NA,792,396,NA,56454
106,CO- GREELEY,05-12-2020,486,359,NA,291,29,NA,777,388,NA,56454
107,CO- PUEBLO,05-12-2020,701,380,NA,97,19,NA,798,399,NA,84681
109,CT- BRIDGEPORT,05-12-2020,919,692,NA,776,155,NA,1695,847,NA,47045
110,CT- HARTFORD,05-12-2020,2771,1531,NA,485,97,NA,3256,1628,NA,47045
111,CT- NEW HAVEN,05-12-2020,3173,1723,NA,679,203,NA,3852,1926,NA,75272
112,DE- WILMINGTON,05-12-2020,1086,854,NA,776,77,NA,1862,931,NA,37636
113,DC- WASHINGTON,05-12-2020,4519,2647,NA,970,97,NA,5489,2744,NA,18818
115,FL- BRADENTON,05-12-2020,224,209,NA,485,145,NA,709,354,NA,28227
116,FL- CLEARWATER,05-12-2020,1055,644,NA,582,174,NA,1637,818,NA,37636
118,FL- FORT LAUDERDALE,05-12-2020,7923,4194,NA,776,155,NA,8699,4349,NA,18818
119,FL- FORT MYERS,05-12-2020,3244,1855,NA,582,58,NA,3826,1913,NA,94090
120,FL- GAINESVILLE,05-12-2020,1744,901,NA,97,19,NA,1841,920,NA,47045
122,FL- HUDSON,05-12-2020,961,597,NA,291,29,NA,1252,626,NA,37636
123,FL- JACKSONVILLE,05-12-2020,4621,2427,NA,291,29,NA,4912,2456,NA,47045
124,FL- LAKELAND,05-12-2020,777,505,NA,291,29,NA,1068,534,NA,18818
127,FL- MIAMI,05-12-2020,9812,5294,NA,970,97,NA,10782,5391,NA,94090
129,FL- OCALA,05-12-2020,786,626,NA,582,58,NA,1368,684,NA,37636
130,FL- ORLANDO,05-12-2020,10070,5122,NA,291,58,NA,10361,5180,NA,28227
131,FL- ORMOND BEACH,05-12-2020,1169,730,NA,485,97,NA,1654,827,NA,94090
133,FL- PANAMA CITY,05-12-2020,0,245,NA,873,87,NA,664,332,NA,47045
134,FL- PENSACOLA,05-12-2020,1767,1058,NA,582,116,NA,2349,1174,NA,47045
137,FL- SARASOTA,05-12-2020,863,606,NA,582,116,NA,1445,722,NA,65863
139,FL- ST PETERSBURG,05-12-2020,725,538,NA,873,261,NA,1598,799,NA,75272
140,FL- TALLAHASSEE,05-12-2020,1824,1261,NA,873,87,NA,2697,1348,NA,84681
141,FL- TAMPA,05-12-2020,3969,2072,NA,291,58,NA,4260,2130,NA,84681
142,GA- ALBANY,05-12-2020,578,434,NA,485,97,NA,1063,531,NA,75272
144,GA- ATLANTA,05-12-2020,11591,5951,NA,388,38,NA,11979,5989,NA,9409
145,GA- AUGUSTA,05-12-2020,2164,1140,NA,291,87,NA,2455,1227,NA,56454
146,GA- COLUMBUS,05-12-2020,677,571,NA,582,58,NA,1259,629,NA,75272
147,GA- MACON,05-12-2020,2139,1109,NA,97,9,NA,2236,1118,NA,94090
148,GA- ROME,05-12-2020,635,337,NA,97,29,NA,732,366,NA,9409
149,GA- SAVANNAH,05-12-2020,1088,932,NA,970,97,NA,2058,1029,NA,9409
151,ID- BOISE,05-12-2020,1301,961,NA,776,77,NA,2077,1038,NA,94090
152,ID- IDAHO FALLS,05-12-2020,0,114,NA,582,116,NA,461,230,NA,28227
154,IL- AURORA,05-12-2020,333,244,NA,194,19,NA,527,263,NA,65863
155,IL- BLUE ISLAND,05-12-2020,1857,1133,NA,679,135,NA,2536,1268,NA,18818
156,IL- CHICAGO,05-12-2020,7881,4213,NA,679,67,NA,8560,4280,NA,28227
158,IL- ELGIN,05-12-2020,213,456,NA,873,87,NA,1086,543,NA,94090
161,IL- EVANSTON,05-12-2020,2125,1121,NA,291,87,NA,2416,1208,NA,9409
163,IL- HINSDALE,05-12-2020,906,492,NA,194,58,NA,1100,550,NA,28227
164,IL- JOLIET,05-12-2020,938,586,NA,388,77,NA,1326,663,NA,9409
166,IL- MELROSE PARK,05-12-2020,2512,1489,NA,582,58,NA,3094,1547,NA,18818
170,IL- PEORIA,05-12-2020,1568,871,NA,291,58,NA,1859,929,NA,37636
171,IL- ROCKFORD,05-12-2020,1434,746,NA,97,19,NA,1531,765,NA,47045
172,IL- SPRINGFIELD,05-12-2020,1575,981,NA,970,291,NA,2545,1272,NA,28227
173,IL- URBANA,05-12-2020,166,345,NA,873,174,NA,1039,519,NA,84681
175,IL- BLOOMINGTON,05-12-2020,0,56,NA,776,77,NA,267,133,NA,47045
179,IN- EVANSVILLE,05-12-2020,1851,1003,NA,194,19,NA,2045,1022,NA,75272
180,IN- FORT WAYNE,05-12-2020,1630,932,NA,582,174,NA,2212,1106,NA,56454
181,IN- GARY,05-12-2020,1118,676,NA,388,77,NA,1506,753,NA,56454
183,IN- INDIANAPOLIS,05-12-2020,5544,2947,NA,873,261,NA,6417,3208,NA,75272
184,IN- LAFAYETTE,05-12-2020,450,312,NA,291,58,NA,741,370,NA,9409
185,IN- MUNCIE,05-12-2020,0,151,NA,582,58,NA,419,209,NA,37636
186,IN- MUNSTER,05-12-2020,669,529,NA,485,48,NA,1154,577,NA,94090
187,IN- SOUTH BEND,05-12-2020,559,473,NA,970,291,NA,1529,764,NA,47045
188,IN- TERRE HAUTE,05-12-2020,0,37,NA,776,232,NA,539,269,NA,65863
190,IA- CEDAR RAPIDS,05-12-2020,631,510,NA,485,48,NA,1116,558,NA,75272
191,IA- DAVENPORT,05-12-2020,1932,1053,NA,291,58,NA,2223,1111,NA,9409
192,IA- DES MOINES,05-12-2020,2323,1355,NA,970,291,NA,3293,1646,NA,75272
193,IA- DUBUQUE,05-12-2020,157,195,NA,388,77,NA,545,272,NA,75272
194,IA- IOWA CITY,05-12-2020,1555,894,NA,388,77,NA,1943,971,NA,75272
195,IA- MASON CITY,05-12-2020,0,134,NA,776,232,NA,733,366,NA,75272
196,IA- SIOUX CITY,05-12-2020,647,469,NA,485,97,NA,1132,566,NA,18818
197,IA- WATERLOO,05-12-2020,0,252,NA,679,67,NA,639,319,NA,75272
200,KS- TOPEKA,05-12-2020,1256,686,NA,291,87,NA,1547,773,NA,65863
201,KS- WICHITA,05-12-2020,4271,2272,NA,679,203,NA,4950,2475,NA,75272
203,KY- COVINGTON,05-12-2020,422,483,NA,679,67,NA,1101,550,NA,94090
204,KY- LEXINGTON,05-12-2020,4527,2468,NA,679,135,NA,5206,2603,NA,37636
205,KY- LOUISVILLE,05-12-2020,4040,2253,NA,776,155,NA,4816,2408,NA,9409
207,KY- OWENSBORO,05-12-2020,0,91,NA,485,145,NA,472,236,NA,28227
208,KY- PADUCAH,05-12-2020,846,656,NA,776,155,NA,1622,811,NA,56454
209,LA- ALEXANDRIA,05-12-2020,700,408,NA,291,87,NA,991,495,NA,56454
210,LA- BATON ROUGE,05-12-2020,1704,1008,NA,776,232,NA,2480,1240,NA,47045
212,LA- HOUMA,05-12-2020,313,312,NA,388,38,NA,701,350,NA,84681
213,LA- LAFAYETTE,05-12-2020,1289,820,NA,873,261,NA,2162,1081,NA,37636
214,LA- LAKE CHARLES,05-12-2020,0,141,NA,970,291,NA,865,432,NA,94090
216,LA- METAIRIE,05-12-2020,623,389,NA,388,116,NA,1011,505,NA,56454
217,LA- MONROE,05-12-2020,731,443,NA,194,19,NA,925,462,NA,56454
218,LA- NEW ORLEANS,05-12-2020,2328,1193,NA,97,19,NA,2425,1212,NA,28227
219,LA- SHREVEPORT,05-12-2020,2348,1291,NA,388,77,NA,2736,1368,NA,56454
220,LA- SLIDELL,05-12-2020,0,194,NA,582,58,NA,504,252,NA,65863
221,ME- BANGOR,05-12-2020,896,507,NA,194,38,NA,1090,545,NA,65863
222,ME- PORTLAND,05-12-2020,2431,1254,NA,194,58,NA,2625,1312,NA,47045
223,MD- BALTIMORE,05-12-2020,6551,3353,NA,194,19,NA,6745,3372,NA,47045
225,MD- SALISBURY,05-12-2020,0,274,NA,970,194,NA,937,468,NA,75272
226,MD- TAKOMA PARK,05-12-2020,802,595,NA,485,48,NA,1287,643,NA,65863
227,MA- BOSTON,05-12-2020,10887,5483,NA,97,9,NA,10984,5492,NA,75272
230,MA- SPRINGFIELD,05-12-2020,631,606,NA,970,194,NA,1601,800,NA,56454
231,MA- WORCESTER,05-12-2020,866,589,NA,776,232,NA,1642,821,NA,47045
232,MI- ANN ARBOR,05-12-2020,2488,1477,NA,776,155,NA,3264,1632,NA,28227
233,MI- DEARBORN,05-12-2020,771,735,NA,873,87,NA,1644,822,NA,28227
234,MI- DETROIT,05-12-2020,3980,2194,NA,679,135,NA,4659,2329,NA,84681
235,MI- FLINT,05-12-2020,744,605,NA,582,58,NA,1326,663,NA,94090
236,MI- GRAND RAPIDS,05-12-2020,2018,1067,NA,291,87,NA,2309,1154,NA,37636
238,MI- KALAMAZOO,05-12-2020,798,603,NA,679,135,NA,1477,738,NA,28227
239,MI- LANSING,05-12-2020,1341,729,NA,194,38,NA,1535,767,NA,56454
240,MI- MARQUETTE,05-12-2020,391,215,NA,97,29,NA,488,244,NA,28227
242,MI- MUSKEGON,05-12-2020,0,191,NA,776,77,NA,536,268,NA,56454
243,MI- PETOSKEY,05-12-2020,0,76,NA,970,97,NA,346,173,NA,94090
244,MI- PONTIAC,05-12-2020,893,563,NA,291,29,NA,1184,592,NA,65863
245,MI- ROYAL OAK,05-12-2020,1769,1060,NA,873,261,NA,2642,1321,NA,18818
246,MI- SAGINAW,05-12-2020,1805,990,NA,291,58,NA,2096,1048,NA,47045
248,MI- ST JOSEPH,05-12-2020,0,0,NA,970,194,NA,302,151,NA,75272
249,MI- TRAVERSE CITY,05-12-2020,0,80,NA,873,174,NA,509,254,NA,37636
250,MN- DULUTH,05-12-2020,871,523,NA,291,58,NA,1162,581,NA,56454
251,MN- MINNEAPOLIS,05-12-2020,7545,4160,NA,970,97,NA,8515,4257,NA,56454
253,MN- ROCHESTER,05-12-2020,1920,1096,NA,679,203,NA,2599,1299,NA,9409
254,MN- ST CLOUD,05-12-2020,610,344,NA,97,9,NA,707,353,NA,28227
256,MN- ST PAUL,05-12-2020,1703,968,NA,582,174,NA,2285,1142,NA,28227
257,MS- GULFPORT,05-12-2020,676,377,NA,97,9,NA,773,386,NA,75272
258,MS- HATTIESBURG,05-12-2020,1016,567,NA,194,38,NA,1210,605,NA,18818
259,MS- JACKSON,05-12-2020,3996,2095,NA,485,145,NA,4481,2240,NA,9409
260,MS- MERIDIAN,05-12-2020,105,402,NA,873,87,NA,978,489,NA,9409
261,MS- OXFORD,05-12-2020,444,300,NA,194,19,NA,638,319,NA,75272
262,MS- TUPELO,05-12-2020,1242,738,NA,388,77,NA,1630,815,NA,65863
263,MO- CAPE GIRARDEAU,05-12-2020,251,436,NA,776,77,NA,1027,513,NA,18818
264,MO- COLUMBIA,05-12-2020,1747,913,NA,97,9,NA,1844,922,NA,37636
267,MO- JOPLIN,05-12-2020,275,274,NA,679,203,NA,954,477,NA,47045
268,MO- KANSAS CITY,05-12-2020,7440,3817,NA,485,145,NA,7925,3962,NA,94090
270,MO- SPRINGFIELD,05-12-2020,1280,844,NA,679,135,NA,1959,979,NA,65863
273,MO- ST LOUIS,05-12-2020,11231,5809,NA,970,291,NA,12201,6100,NA,94090
274,MT- BILLINGS,05-12-2020,1433,949,NA,776,155,NA,2209,1104,NA,75272
275,MT- GREAT FALLS,05-12-2020,708,373,NA,97,29,NA,805,402,NA,18818
276,MT- MISSOULA,05-12-2020,674,482,NA,485,97,NA,1159,579,NA,75272
277,NE- LINCOLN,05-12-2020,1740,899,NA,97,19,NA,1837,918,NA,18818
278,NE- OMAHA,05-12-2020,4982,2588,NA,485,145,NA,5467,2733,NA,75272
279,NV- LAS VEGAS,05-12-2020,3791,1954,NA,291,87,NA,4082,2041,NA,18818
280,NV- RENO,05-12-2020,951,766,NA,970,194,NA,1921,960,NA,9409
281,NH- LEBANON,05-12-2020,389,427,NA,582,58,NA,971,485,NA,75272
282,NH- MANCHESTER,05-12-2020,1101,726,NA,873,261,NA,1974,987,NA,84681
283,NJ- CAMDEN,05-12-2020,7502,3945,NA,485,48,NA,7987,3993,NA,47045
284,NJ- HACKENSACK,05-12-2020,3438,1806,NA,291,58,NA,3729,1864,NA,84681
285,NJ- MORRISTOWN,05-12-2020,1540,887,NA,388,77,NA,1928,964,NA,47045
288,NJ- NEW BRUNSWICK,05-12-2020,1893,1296,NA,873,87,NA,2766,1383,NA,37636
289,NJ- NEWARK,05-12-2020,4279,2256,NA,582,174,NA,4861,2430,NA,37636
291,NJ- PATERSON,05-12-2020,208,395,NA,970,194,NA,1178,589,NA,94090
292,NJ- RIDGEWOOD,05-12-2020,695,387,NA,97,9,NA,792,396,NA,94090
293,NM- ALBUQUERQUE,05-12-2020,2777,1563,NA,582,116,NA,3359,1679,NA,37636
295,NY- ALBANY,05-12-2020,4444,2319,NA,485,145,NA,4929,2464,NA,84681
296,NY- BINGHAMTON,05-12-2020,153,387,NA,776,77,NA,929,464,NA,56454
297,NY- BRONX,05-12-2020,3135,1762,NA,485,48,NA,3620,1810,NA,9409
299,NY- BUFFALO,05-12-2020,3207,1759,NA,388,38,NA,3595,1797,NA,9409
300,NY- ELMIRA,05-12-2020,689,461,NA,388,77,NA,1077,538,NA,75272
301,NY- EAST LONG ISLAND,05-12-2020,10260,5334,NA,679,135,NA,10939,5469,NA,47045
