HRRNum,Hospital Referral Region,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8440,5,175,04-10-2020
2,AL- DOTHAN,1318,10,200,04-10-2020
5,AL- HUNTSVILLE,1845,35,250,04-10-2020
6,AL- MOBILE,2842,15,50,04-10-2020
7,AL- MONTGOMERY,1521,25,225,04-10-2020
9,AL- TUSCALOOSA,983,15,150,04-10-2020
11,AZ- MESA,1950,30,175,04-10-2020
12,AZ- PHOENIX,7525,50,50,04-10-2020
14,AZ- SUN CITY,790,20,250,04-10-2020
15,AZ- TUCSON,2499,25,200,04-10-2020
16,AR- FORT SMITH,1236,45,175,04-10-2020
18,AR- JONESBORO,894,10,125,04-10-2020
19,AR- LITTLE ROCK,5737,35,200,04-10-2020
21,AR- SPRINGDALE,1052,5,225,04-10-2020
22,AR- TEXARKANA,930,50,100,04-10-2020
23,CA- ORANGE CO.,7631,20,150,04-10-2020
25,CA- BAKERSFIELD,3601,15,25,04-10-2020
31,CA- CHICO,595,45,225,04-10-2020
33,CA- CONTRA COSTA CO.,1988,15,75,04-10-2020
43,CA- FRESNO,2238,45,250,04-10-2020
56,CA- LOS ANGELES,24768,35,150,04-10-2020
58,CA- MODESTO,1689,30,150,04-10-2020
62,CA- NAPA,552,30,50,04-10-2020
65,CA- ALAMEDA CO.,3329,50,150,04-10-2020
69,CA- PALM SPR/RANCHO MIR.,1043,10,150,04-10-2020
73,CA- REDDING,1052,30,125,04-10-2020
77,CA- SACRAMENTO,4774,10,175,04-10-2020
78,CA- SALINAS,743,50,75,04-10-2020
79,CA- SAN BERNARDINO,5747,35,125,04-10-2020
80,CA- SAN DIEGO,6988,45,225,04-10-2020
81,CA- SAN FRANCISCO,5048,25,75,04-10-2020
82,CA- SAN JOSE,3001,25,200,04-10-2020
83,CA- SAN LUIS OBISPO,426,30,100,04-10-2020
85,CA- SAN MATEO CO.,2676,20,225,04-10-2020
86,CA- SANTA BARBARA,936,30,25,04-10-2020
87,CA- SANTA CRUZ,334,25,150,04-10-2020
89,CA- SANTA ROSA,1841,20,100,04-10-2020
91,CA- STOCKTON,1058,5,75,04-10-2020
96,CA- VENTURA,1553,20,125,04-10-2020
101,CO- BOULDER,435,40,50,04-10-2020
102,CO- COLORADO SPRINGS,990,45,25,04-10-2020
103,CO- DENVER,4752,25,100,04-10-2020
104,CO- FORT COLLINS,589,50,175,04-10-2020
105,CO- GRAND JUNCTION,777,15,250,04-10-2020
106,CO- GREELEY,757,20,100,04-10-2020
107,CO- PUEBLO,788,10,150,04-10-2020
109,CT- BRIDGEPORT,1690,5,125,04-10-2020
110,CT- HARTFORD,3226,30,150,04-10-2020
111,CT- NEW HAVEN,3837,15,75,04-10-2020
112,DE- WILMINGTON,1842,20,75,04-10-2020
113,DC- WASHINGTON,5444,45,125,04-10-2020
115,FL- BRADENTON,694,15,25,04-10-2020
116,FL- CLEARWATER,1602,35,150,04-10-2020
118,FL- FORT LAUDERDALE,8659,40,125,04-10-2020
119,FL- FORT MYERS,3791,35,150,04-10-2020
120,FL- GAINESVILLE,1831,10,125,04-10-2020
122,FL- HUDSON,1237,15,125,04-10-2020
