HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Cases
1,AL- BIRMINGHAM,03-26-2020,8445,4222,NA,30,6,NA,100
2,AL- DOTHAN,03-26-2020,1328,664,NA,25,5,NA,75
5,AL- HUNTSVILLE,03-26-2020,1880,940,NA,45,9,NA,25
6,AL- MOBILE,03-26-2020,2857,1428,NA,50,10,NA,150
7,AL- MONTGOMERY,03-26-2020,1546,773,NA,10,3,NA,50
9,AL- TUSCALOOSA,03-26-2020,998,499,NA,15,3,NA,200
11,AZ- MESA,03-26-2020,1980,990,NA,25,7,NA,25
12,AZ- PHOENIX,03-26-2020,7575,3787,NA,5,1,NA,200
14,AZ- SUN CITY,03-26-2020,810,405,NA,45,4,NA,250
15,AZ- TUCSON,03-26-2020,2524,1262,NA,45,4,NA,75
16,AR- FORT SMITH,03-26-2020,1281,640,NA,15,1,NA,150
18,AR- JONESBORO,03-26-2020,904,452,NA,45,9,NA,25
19,AR- LITTLE ROCK,03-26-2020,5772,2886,NA,20,6,NA,250
21,AR- SPRINGDALE,03-26-2020,1057,528,NA,45,9,NA,150
22,AR- TEXARKANA,03-26-2020,980,490,NA,35,7,NA,125
23,CA- ORANGE CO.,03-26-2020,7651,3825,NA,25,2,NA,125
25,CA- BAKERSFIELD,03-26-2020,3616,1808,NA,50,15,NA,150
31,CA- CHICO,03-26-2020,640,320,NA,45,13,NA,200
33,CA- CONTRA COSTA CO.,03-26-2020,2003,1001,NA,30,3,NA,200
43,CA- FRESNO,03-26-2020,2283,1141,NA,45,9,NA,225
56,CA- LOS ANGELES,03-26-2020,24803,12401,NA,30,6,NA,25
58,CA- MODESTO,03-26-2020,1719,859,NA,15,4,NA,100
62,CA- NAPA,03-26-2020,582,291,NA,45,13,NA,50
65,CA- ALAMEDA CO.,03-26-2020,3379,1689,NA,35,7,NA,25
69,CA- PALM SPR/RANCHO MIR.,03-26-2020,1053,526,NA,50,15,NA,225
73,CA- REDDING,03-26-2020,1082,541,NA,5,1,NA,150
77,CA- SACRAMENTO,03-26-2020,4784,2392,NA,45,13,NA,125
78,CA- SALINAS,03-26-2020,793,396,NA,5,1,NA,150
79,CA- SAN BERNARDINO,03-26-2020,5782,2891,NA,30,9,NA,75
80,CA- SAN DIEGO,03-26-2020,7033,3516,NA,15,4,NA,125
81,CA- SAN FRANCISCO,03-26-2020,5073,2536,NA,30,3,NA,25
82,CA- SAN JOSE,03-26-2020,3026,1513,NA,45,4,NA,200
83,CA- SAN LUIS OBISPO,03-26-2020,456,228,NA,45,4,NA,175
85,CA- SAN MATEO CO.,03-26-2020,2696,1348,NA,25,7,NA,175
86,CA- SANTA BARBARA,03-26-2020,966,483,NA,50,10,NA,225
87,CA- SANTA CRUZ,03-26-2020,359,179,NA,50,10,NA,25
89,CA- SANTA ROSA,03-26-2020,1861,930,NA,45,4,NA,50
91,CA- STOCKTON,03-26-2020,1063,531,NA,10,3,NA,25
96,CA- VENTURA,03-26-2020,1573,786,NA,5,0,NA,250
101,CO- BOULDER,03-26-2020,475,237,NA,10,2,NA,175
102,CO- COLORADO SPRINGS,03-26-2020,1035,517,NA,50,5,NA,50
103,CO- DENVER,03-26-2020,4777,2388,NA,20,2,NA,225
104,CO- FORT COLLINS,03-26-2020,639,319,NA,20,6,NA,250
105,CO- GRAND JUNCTION,03-26-2020,792,396,NA,40,12,NA,200
106,CO- GREELEY,03-26-2020,777,388,NA,10,1,NA,200
107,CO- PUEBLO,03-26-2020,798,399,NA,45,9,NA,25
109,CT- BRIDGEPORT,03-26-2020,1695,847,NA,10,1,NA,75
110,CT- HARTFORD,03-26-2020,3256,1628,NA,5,1,NA,175
111,CT- NEW HAVEN,03-26-2020,3852,1926,NA,30,9,NA,175
112,DE- WILMINGTON,03-26-2020,1862,931,NA,30,9,NA,125
113,DC- WASHINGTON,03-26-2020,5489,2744,NA,15,4,NA,225
115,FL- BRADENTON,03-26-2020,709,354,NA,5,0,NA,150
116,FL- CLEARWATER,03-26-2020,1637,818,NA,30,6,NA,175
118,FL- FORT LAUDERDALE,03-26-2020,8699,4349,NA,50,5,NA,75
119,FL- FORT MYERS,03-26-2020,3826,1913,NA,40,12,NA,125
120,FL- GAINESVILLE,03-26-2020,1841,920,NA,5,1,NA,75
122,FL- HUDSON,03-26-2020,1252,626,NA,25,7,NA,25
123,FL- JACKSONVILLE,03-26-2020,4912,2456,NA,50,15,NA,200
124,FL- LAKELAND,03-26-2020,1068,534,NA,45,9,NA,200
127,FL- MIAMI,03-26-2020,10782,5391,NA,10,3,NA,25
129,FL- OCALA,03-26-2020,1368,684,NA,40,4,NA,175
130,FL- ORLANDO,03-26-2020,10361,5180,NA,30,6,NA,225
131,FL- ORMOND BEACH,03-26-2020,1654,827,NA,10,3,NA,250
