HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
1,AL- BIRMINGHAM,04-26-2020,8445,4222,NA,55,5,NA,6050
2,AL- DOTHAN,04-26-2020,1328,664,NA,55,16,NA,3025
5,AL- HUNTSVILLE,04-26-2020,1880,940,NA,220,66,NA,27225
6,AL- MOBILE,04-26-2020,2857,1428,NA,550,165,NA,24200
7,AL- MONTGOMERY,04-26-2020,1546,773,NA,220,66,NA,24200
9,AL- TUSCALOOSA,04-26-2020,998,499,NA,330,99,NA,27225
11,AZ- MESA,04-26-2020,1980,990,NA,165,16,NA,18150
12,AZ- PHOENIX,04-26-2020,7575,3787,NA,220,44,NA,6050
14,AZ- SUN CITY,04-26-2020,810,405,NA,440,44,NA,6050
15,AZ- TUCSON,04-26-2020,2524,1262,NA,440,44,NA,9075
16,AR- FORT SMITH,04-26-2020,1281,640,NA,330,66,NA,27225
18,AR- JONESBORO,04-26-2020,904,452,NA,165,33,NA,9075
19,AR- LITTLE ROCK,04-26-2020,5772,2886,NA,220,66,NA,27225
21,AR- SPRINGDALE,04-26-2020,1057,528,NA,440,132,NA,12100
22,AR- TEXARKANA,04-26-2020,980,490,NA,440,88,NA,24200
23,CA- ORANGE CO.,04-26-2020,7651,3825,NA,330,33,NA,9075
25,CA- BAKERSFIELD,04-26-2020,3616,1808,NA,110,22,NA,24200
31,CA- CHICO,04-26-2020,640,320,NA,110,11,NA,9075
33,CA- CONTRA COSTA CO.,04-26-2020,2003,1001,NA,440,44,NA,18150
43,CA- FRESNO,04-26-2020,2283,1141,NA,385,115,NA,24200
56,CA- LOS ANGELES,04-26-2020,24803,12401,NA,495,148,NA,21175
58,CA- MODESTO,04-26-2020,1719,859,NA,275,27,NA,3025
62,CA- NAPA,04-26-2020,582,291,NA,55,5,NA,21175
65,CA- ALAMEDA CO.,04-26-2020,3379,1689,NA,330,33,NA,9075
69,CA- PALM SPR/RANCHO MIR.,04-26-2020,1053,526,NA,220,66,NA,30250
73,CA- REDDING,04-26-2020,1082,541,NA,495,99,NA,27225
77,CA- SACRAMENTO,04-26-2020,4784,2392,NA,330,33,NA,21175
78,CA- SALINAS,04-26-2020,793,396,NA,220,44,NA,9075
79,CA- SAN BERNARDINO,04-26-2020,5782,2891,NA,275,55,NA,24200
80,CA- SAN DIEGO,04-26-2020,7033,3516,NA,165,33,NA,12100
81,CA- SAN FRANCISCO,04-26-2020,5073,2536,NA,495,99,NA,21175
82,CA- SAN JOSE,04-26-2020,3026,1513,NA,110,33,NA,15125
83,CA- SAN LUIS OBISPO,04-26-2020,456,228,NA,550,110,NA,30250
85,CA- SAN MATEO CO.,04-26-2020,2696,1348,NA,110,22,NA,15125
86,CA- SANTA BARBARA,04-26-2020,966,483,NA,165,33,NA,6050
87,CA- SANTA CRUZ,04-26-2020,359,179,NA,385,38,NA,9075
89,CA- SANTA ROSA,04-26-2020,1861,930,NA,165,16,NA,12100
91,CA- STOCKTON,04-26-2020,1063,531,NA,385,115,NA,9075
96,CA- VENTURA,04-26-2020,1573,786,NA,330,99,NA,9075
101,CO- BOULDER,04-26-2020,475,237,NA,220,44,NA,18150
102,CO- COLORADO SPRINGS,04-26-2020,1035,517,NA,440,44,NA,15125
103,CO- DENVER,04-26-2020,4777,2388,NA,440,88,NA,30250
104,CO- FORT COLLINS,04-26-2020,639,319,NA,550,55,NA,15125
105,CO- GRAND JUNCTION,04-26-2020,792,396,NA,440,132,NA,12100
106,CO- GREELEY,04-26-2020,777,388,NA,495,148,NA,18150
107,CO- PUEBLO,04-26-2020,798,399,NA,55,5,NA,21175
109,CT- BRIDGEPORT,04-26-2020,1695,847,NA,275,55,NA,6050
110,CT- HARTFORD,04-26-2020,3256,1628,NA,55,16,NA,3025
111,CT- NEW HAVEN,04-26-2020,3852,1926,NA,385,77,NA,12100
112,DE- WILMINGTON,04-26-2020,1862,931,NA,110,11,NA,21175
113,DC- WASHINGTON,04-26-2020,5489,2744,NA,110,33,NA,9075
115,FL- BRADENTON,04-26-2020,709,354,NA,550,55,NA,24200
116,FL- CLEARWATER,04-26-2020,1637,818,NA,550,110,NA,12100
118,FL- FORT LAUDERDALE,04-26-2020,8699,4349,NA,385,77,NA,30250
119,FL- FORT MYERS,04-26-2020,3826,1913,NA,55,11,NA,30250
120,FL- GAINESVILLE,04-26-2020,1841,920,NA,495,148,NA,15125
122,FL- HUDSON,04-26-2020,1252,626,NA,330,99,NA,18150
123,FL- JACKSONVILLE,04-26-2020,4912,2456,NA,275,82,NA,30250
124,FL- LAKELAND,04-26-2020,1068,534,NA,220,66,NA,30250
127,FL- MIAMI,04-26-2020,10782,5391,NA,220,44,NA,18150
129,FL- OCALA,04-26-2020,1368,684,NA,275,82,NA,6050
130,FL- ORLANDO,04-26-2020,10361,5180,NA,220,66,NA,24200
131,FL- ORMOND BEACH,04-26-2020,1654,827,NA,330,99,NA,18150
133,FL- PANAMA CITY,04-26-2020,664,332,NA,165,33,NA,18150
