HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,81,100,97,103,04-13-2020
2,AL- DOTHAN,85,70,67,72,04-13-2020
5,AL- HUNTSVILLE,84,90,87,92,04-13-2020
6,AL- MOBILE,83,90,87,92,04-13-2020
7,AL- MONTGOMERY,81,30,29,30,04-13-2020
9,AL- TUSCALOOSA,81,10,9,10,04-13-2020
11,AZ- MESA,83,60,58,61,04-13-2020
12,AZ- PHOENIX,81,100,97,103,04-13-2020
14,AZ- SUN CITY,81,10,9,10,04-13-2020
15,AZ- TUCSON,81,30,29,30,04-13-2020
16,AR- FORT SMITH,84,60,58,61,04-13-2020
18,AR- JONESBORO,89,90,87,92,04-13-2020
19,AR- LITTLE ROCK,80,10,9,10,04-13-2020
21,AR- SPRINGDALE,88,90,87,92,04-13-2020
22,AR- TEXARKANA,84,40,38,41,04-13-2020
23,CA- ORANGE CO.,81,100,97,103,04-13-2020
25,CA- BAKERSFIELD,82,80,77,82,04-13-2020
31,CA- CHICO,83,20,19,20,04-13-2020
33,CA- CONTRA COSTA CO.,83,70,67,72,04-13-2020
43,CA- FRESNO,81,30,29,30,04-13-2020
56,CA- LOS ANGELES,80,10,9,10,04-13-2020
58,CA- MODESTO,83,60,58,61,04-13-2020
62,CA- NAPA,92,70,67,72,04-13-2020
65,CA- ALAMEDA CO.,80,30,29,30,04-13-2020
69,CA- PALM SPR/RANCHO MIR.,85,60,58,61,04-13-2020
73,CA- REDDING,84,50,48,51,04-13-2020
77,CA- SACRAMENTO,81,70,67,72,04-13-2020
78,CA- SALINAS,86,50,48,51,04-13-2020
79,CA- SAN BERNARDINO,80,40,38,41,04-13-2020
80,CA- SAN DIEGO,80,70,67,72,04-13-2020
81,CA- SAN FRANCISCO,80,10,9,10,04-13-2020
82,CA- SAN JOSE,82,70,67,72,04-13-2020
83,CA- SAN LUIS OBISPO,97,80,77,82,04-13-2020
85,CA- SAN MATEO CO.,81,50,48,51,04-13-2020
86,CA- SANTA BARBARA,83,30,29,30,04-13-2020
87,CA- SANTA CRUZ,105,90,87,92,04-13-2020
89,CA- SANTA ROSA,83,60,58,61,04-13-2020
91,CA- STOCKTON,87,80,77,82,04-13-2020
96,CA- VENTURA,84,70,67,72,04-13-2020
101,CO- BOULDER,86,30,29,30,04-13-2020
102,CO- COLORADO SPRINGS,85,60,58,61,04-13-2020
103,CO- DENVER,82,100,97,103,04-13-2020
104,CO- FORT COLLINS,84,30,29,30,04-13-2020
105,CO- GRAND JUNCTION,86,50,48,51,04-13-2020
106,CO- GREELEY,85,40,38,41,04-13-2020
107,CO- PUEBLO,83,30,29,30,04-13-2020
109,CT- BRIDGEPORT,81,30,29,30,04-13-2020
110,CT- HARTFORD,83,100,97,103,04-13-2020
111,CT- NEW HAVEN,82,90,87,92,04-13-2020
112,DE- WILMINGTON,80,10,9,10,04-13-2020
113,DC- WASHINGTON,81,60,58,61,04-13-2020
115,FL- BRADENTON,87,50,48,51,04-13-2020
116,FL- CLEARWATER,85,90,87,92,04-13-2020
118,FL- FORT LAUDERDALE,80,80,77,82,04-13-2020
119,FL- FORT MYERS,80,10,9,10,04-13-2020
120,FL- GAINESVILLE,80,10,9,10,04-13-2020
122,FL- HUDSON,83,40,38,41,04-13-2020
123,FL- JACKSONVILLE,80,10,9,10,04-13-2020
124,FL- LAKELAND,89,100,97,103,04-13-2020
127,FL- MIAMI,80,10,9,10,04-13-2020
129,FL- OCALA,85,70,67,72,04-13-2020
130,FL- ORLANDO,80,90,87,92,04-13-2020
131,FL- ORMOND BEACH,84,80,77,82,04-13-2020
133,FL- PANAMA CITY,92,80,77,82,04-13-2020
134,FL- PENSACOLA,84,100,97,103,04-13-2020
137,FL- SARASOTA,80,10,9,10,04-13-2020
139,FL- ST PETERSBURG,85,80,77,82,04-13-2020
140,FL- TALLAHASSEE,81,30,29,30,04-13-2020
141,FL- TAMPA,80,40,38,41,04-13-2020
142,GA- ALBANY,89,100,97,103,04-13-2020
144,GA- ATLANTA,80,10,9,10,04-13-2020
145,GA- AUGUSTA,83,80,77,82,04-13-2020
146,GA- COLUMBUS,83,50,48,51,04-13-2020
147,GA- MACON,83,70,67,72,04-13-2020
148,GA- ROME,85,40,38,41,04-13-2020
149,GA- SAVANNAH,81,40,38,41,04-13-2020
151,ID- BOISE,81,40,38,41,04-13-2020
152,ID- IDAHO FALLS,95,70,67,72,04-13-2020
154,IL- AURORA,93,70,67,72,04-13-2020
155,IL- BLUE ISLAND,80,10,9,10,04-13-2020
156,IL- CHICAGO,80,50,48,51,04-13-2020
158,IL- ELGIN,86,70,67,72,04-13-2020
161,IL- EVANSTON,80,20,19,20,04-13-2020
163,IL- HINSDALE,85,60,58,61,04-13-2020
164,IL- JOLIET,83,50,48,51,04-13-2020
166,IL- MELROSE PARK,83,100,97,103,04-13-2020
170,IL- PEORIA,83,60,58,61,04-13-2020
171,IL- ROCKFORD,81,30,29,30,04-13-2020
172,IL- SPRINGFIELD,80,10,9,10,04-13-2020
173,IL- URBANA,87,80,77,82,04-13-2020
175,IL- BLOOMINGTON,87,20,19,20,04-13-2020
179,IN- EVANSVILLE,84,100,97,103,04-13-2020
180,IN- FORT WAYNE,84,90,87,92,04-13-2020
181,IN- GARY,80,10,9,10,04-13-2020
183,IN- INDIANAPOLIS,80,30,29,30,04-13-2020
184,IN- LAFAYETTE,85,40,38,41,04-13-2020
185,IN- MUNCIE,103,100,97,103,04-13-2020
186,IN- MUNSTER,86,80,77,82,04-13-2020
187,IN- SOUTH BEND,86,100,97,103,04-13-2020
188,IN- TERRE HAUTE,98,100,97,103,04-13-2020
190,IA- CEDAR RAPIDS,84,50,48,51,04-13-2020
191,IA- DAVENPORT,83,80,77,82,04-13-2020
192,IA- DES MOINES,81,60,58,61,04-13-2020
193,IA- DUBUQUE,98,100,97,103,04-13-2020
194,IA- IOWA CITY,82,40,38,41,04-13-2020
195,IA- MASON CITY,93,100,97,103,04-13-2020
196,IA- SIOUX CITY,85,60,58,61,04-13-2020
197,IA- WATERLOO,90,70,67,72,04-13-2020
200,KS- TOPEKA,83,60,58,61,04-13-2020
201,KS- WICHITA,81,80,77,82,04-13-2020
203,KY- COVINGTON,85,60,58,61,04-13-2020
204,KY- LEXINGTON,80,30,29,30,04-13-2020
205,KY- LOUISVILLE,81,60,58,61,04-13-2020
207,KY- OWENSBORO,88,40,38,41,04-13-2020
208,KY- PADUCAH,82,40,38,41,04-13-2020
209,LA- ALEXANDRIA,88,80,77,82,04-13-2020
210,LA- BATON ROUGE,82,60,58,61,04-13-2020
212,LA- HOUMA,81,10,9,10,04-13-2020
213,LA- LAFAYETTE,83,70,67,72,04-13-2020
214,LA- LAKE CHARLES,82,20,19,20,04-13-2020
216,LA- METAIRIE,81,20,19,20,04-13-2020
217,LA- MONROE,90,100,97,103,04-13-2020
218,LA- NEW ORLEANS,80,20,19,20,04-13-2020
219,LA- SHREVEPORT,83,90,87,92,04-13-2020
220,LA- SLIDELL,99,100,97,103,04-13-2020
221,ME- BANGOR,86,70,67,72,04-13-2020
222,ME- PORTLAND,83,100,97,103,04-13-2020
223,MD- BALTIMORE,81,90,87,92,04-13-2020
225,MD- SALISBURY,88,80,77,82,04-13-2020
226,MD- TAKOMA PARK,85,70,67,72,04-13-2020
227,MA- BOSTON,80,70,67,72,04-13-2020
230,MA- SPRINGFIELD,83,60,58,61,04-13-2020
231,MA- WORCESTER,80,10,9,10,04-13-2020
232,MI- ANN ARBOR,80,20,19,20,04-13-2020
233,MI- DEARBORN,81,20,19,20,04-13-2020
234,MI- DETROIT,81,70,67,72,04-13-2020
235,MI- FLINT,87,100,97,103,04-13-2020
236,MI- GRAND RAPIDS,82,60,58,61,04-13-2020
238,MI- KALAMAZOO,85,80,77,82,04-13-2020
239,MI- LANSING,81,30,29,30,04-13-2020
240,MI- MARQUETTE,94,70,67,72,04-13-2020
242,MI- MUSKEGON,98,100,97,103,04-13-2020
243,MI- PETOSKEY,97,60,58,61,04-13-2020
244,MI- PONTIAC,86,80,77,82,04-13-2020
245,MI- ROYAL OAK,81,40,38,41,04-13-2020
246,MI- SAGINAW,81,40,38,41,04-13-2020
248,MI- ST JOSEPH,113,100,97,103,04-13-2020
249,MI- TRAVERSE CITY,95,80,77,82,04-13-2020
250,MN- DULUTH,87,90,87,92,04-13-2020
251,MN- MINNEAPOLIS,80,50,48,51,04-13-2020
253,MN- ROCHESTER,80,10,9,10,04-13-2020
254,MN- ST CLOUD,84,30,29,30,04-13-2020
256,MN- ST PAUL,82,50,48,51,04-13-2020
257,MS- GULFPORT,91,90,87,92,04-13-2020
258,MS- HATTIESBURG,84,60,58,61,04-13-2020
259,MS- JACKSON,80,20,19,20,04-13-2020
260,MS- MERIDIAN,87,70,67,72,04-13-2020
261,MS- OXFORD,84,30,29,30,04-13-2020
262,MS- TUPELO,83,50,48,51,04-13-2020
263,MO- CAPE GIRARDEAU,87,80,77,82,04-13-2020
264,MO- COLUMBIA,85,100,97,103,04-13-2020
267,MO- JOPLIN,83,30,29,30,04-13-2020
268,MO- KANSAS CITY,80,40,38,41,04-13-2020
270,MO- SPRINGFIELD,80,10,9,10,04-13-2020
273,MO- ST LOUIS,80,40,38,41,04-13-2020
274,MT- BILLINGS,82,50,48,51,04-13-2020
275,MT- GREAT FALLS,92,100,97,103,04-13-2020
276,MT- MISSOULA,83,40,38,41,04-13-2020
277,NE- LINCOLN,82,50,48,51,04-13-2020
278,NE- OMAHA,80,50,48,51,04-13-2020
279,NV- LAS VEGAS,80,40,38,41,04-13-2020
280,NV- RENO,85,100,97,103,04-13-2020
281,NH- LEBANON,87,70,67,72,04-13-2020
282,NH- MANCHESTER,80,10,9,10,04-13-2020
283,NJ- CAMDEN,80,30,29,30,04-13-2020
284,NJ- HACKENSACK,81,50,48,51,04-13-2020
285,NJ- MORRISTOWN,84,90,87,92,04-13-2020
288,NJ- NEW BRUNSWICK,81,30,29,30,04-13-2020
289,NJ- NEWARK,80,40,38,41,04-13-2020
291,NJ- PATERSON,86,80,77,82,04-13-2020
292,NJ- RIDGEWOOD,87,60,58,61,04-13-2020
293,NM- ALBUQUERQUE,81,40,38,41,04-13-2020
295,NY- ALBANY,80,30,29,30,04-13-2020
296,NY- BINGHAMTON,85,50,48,51,04-13-2020
297,NY- BRONX,82,90,87,92,04-13-2020
299,NY- BUFFALO,80,10,9,10,04-13-2020
300,NY- ELMIRA,83,40,38,41,04-13-2020
301,NY- EAST LONG ISLAND,80,10,9,10,04-13-2020
304,NY- ROCHESTER,82,60,58,61,04-13-2020
307,NY- SYRACUSE,81,30,29,30,04-13-2020
308,NY- WHITE PLAINS,80,20,19,20,04-13-2020
309,NC- ASHEVILLE,83,70,67,72,04-13-2020
311,NC- CHARLOTTE,81,100,97,103,04-13-2020
312,NC- DURHAM,80,20,19,20,04-13-2020
313,NC- GREENSBORO,85,100,97,103,04-13-2020
314,NC- GREENVILLE,81,30,29,30,04-13-2020
315,NC- HICKORY,93,100,97,103,04-13-2020
318,NC- RALEIGH,82,90,87,92,04-13-2020
319,NC- WILMINGTON,84,60,58,61,04-13-2020
320,NC- WINSTON-SALEM,82,100,97,103,04-13-2020
321,ND- BISMARCK,81,10,9,10,04-13-2020
322,ND- FARGO MOORHEAD -MN,84,90,87,92,04-13-2020
323,ND- GRAND FORKS,97,100,97,103,04-13-2020
324,ND- MINOT,92,90,87,92,04-13-2020
325,OH- AKRON,84,100,97,103,04-13-2020
326,OH- CANTON,84,90,87,92,04-13-2020
327,OH- CINCINNATI,80,30,29,30,04-13-2020
