HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Beds Count,Vent. Count,Staff Count,Cases
1,AL- BIRMINGHAM,04-02-2020,8428,4221,NA,17,1,NA,8445,4222,NA,1156
2,AL- DOTHAN,04-02-2020,1192,637,NA,136,27,NA,1328,664,NA,578
5,AL- HUNTSVILLE,04-02-2020,1829,925,NA,51,15,NA,1880,940,NA,578
6,AL- MOBILE,04-02-2020,2687,1377,NA,170,51,NA,2857,1428,NA,1156
7,AL- MONTGOMERY,04-02-2020,1495,763,NA,51,10,NA,1546,773,NA,2890
9,AL- TUSCALOOSA,04-02-2020,896,469,NA,102,30,NA,998,499,NA,578
11,AZ- MESA,04-02-2020,1912,970,NA,68,20,NA,1980,990,NA,1156
12,AZ- PHOENIX,04-02-2020,7507,3774,NA,68,13,NA,7575,3787,NA,2312
14,AZ- SUN CITY,04-02-2020,793,400,NA,17,5,NA,810,405,NA,1156
15,AZ- TUCSON,04-02-2020,2422,1252,NA,102,10,NA,2524,1262,NA,2023
16,AR- FORT SMITH,04-02-2020,1230,635,NA,51,5,NA,1281,640,NA,2023
18,AR- JONESBORO,04-02-2020,836,439,NA,68,13,NA,904,452,NA,578
19,AR- LITTLE ROCK,04-02-2020,5738,2876,NA,34,10,NA,5772,2886,NA,1445
21,AR- SPRINGDALE,04-02-2020,989,508,NA,68,20,NA,1057,528,NA,578
22,AR- TEXARKANA,04-02-2020,963,489,NA,17,1,NA,980,490,NA,1156
23,CA- ORANGE CO.,04-02-2020,7498,3810,NA,153,15,NA,7651,3825,NA,2601
25,CA- BAKERSFIELD,04-02-2020,3446,1757,NA,170,51,NA,3616,1808,NA,867
31,CA- CHICO,04-02-2020,487,305,NA,153,15,NA,640,320,NA,578
33,CA- CONTRA COSTA CO.,04-02-2020,1952,991,NA,51,10,NA,2003,1001,NA,2601
43,CA- FRESNO,04-02-2020,2130,1111,NA,153,30,NA,2283,1141,NA,2023
56,CA- LOS ANGELES,04-02-2020,24650,12386,NA,153,15,NA,24803,12401,NA,2601
58,CA- MODESTO,04-02-2020,1685,849,NA,34,10,NA,1719,859,NA,1734
62,CA- NAPA,04-02-2020,429,276,NA,153,15,NA,582,291,NA,2312
65,CA- ALAMEDA CO.,04-02-2020,3277,1679,NA,102,10,NA,3379,1689,NA,1734
69,CA- PALM SPR/RANCHO MIR.,04-02-2020,1019,523,NA,34,3,NA,1053,526,NA,1445
73,CA- REDDING,04-02-2020,912,507,NA,170,34,NA,1082,541,NA,2890
77,CA- SACRAMENTO,04-02-2020,4716,2372,NA,68,20,NA,4784,2392,NA,578
78,CA- SALINAS,04-02-2020,759,390,NA,34,6,NA,793,396,NA,1156
79,CA- SAN BERNARDINO,04-02-2020,5714,2885,NA,68,6,NA,5782,2891,NA,1445
80,CA- SAN DIEGO,04-02-2020,6914,3505,NA,119,11,NA,7033,3516,NA,2023
81,CA- SAN FRANCISCO,04-02-2020,5056,2535,NA,17,1,NA,5073,2536,NA,867
82,CA- SAN JOSE,04-02-2020,2890,1473,NA,136,40,NA,3026,1513,NA,867
83,CA- SAN LUIS OBISPO,04-02-2020,405,213,NA,51,15,NA,456,228,NA,1156
85,CA- SAN MATEO CO.,04-02-2020,2645,1333,NA,51,15,NA,2696,1348,NA,2890
86,CA- SANTA BARBARA,04-02-2020,796,466,NA,170,17,NA,966,483,NA,2601
87,CA- SANTA CRUZ,04-02-2020,240,156,NA,119,23,NA,359,179,NA,1445
89,CA- SANTA ROSA,04-02-2020,1759,920,NA,102,10,NA,1861,930,NA,867
91,CA- STOCKTON,04-02-2020,1029,528,NA,34,3,NA,1063,531,NA,2890
96,CA- VENTURA,04-02-2020,1403,735,NA,170,51,NA,1573,786,NA,2023
101,CO- BOULDER,04-02-2020,424,222,NA,51,15,NA,475,237,NA,2023
102,CO- COLORADO SPRINGS,04-02-2020,1018,512,NA,17,5,NA,1035,517,NA,1156
103,CO- DENVER,04-02-2020,4658,2365,NA,119,23,NA,4777,2388,NA,2601
104,CO- FORT COLLINS,04-02-2020,469,302,NA,170,17,NA,639,319,NA,2890
