HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Beds Count,Vent. Count,Staff Count,Cases
1,AL- BIRMINGHAM,05-13-2020,8049,4183,NA,396,39,NA,8445,4222,NA,49005
2,AL- DOTHAN,05-13-2020,734,605,NA,594,59,NA,1328,664,NA,58806
5,AL- HUNTSVILLE,05-13-2020,989,762,NA,891,178,NA,1880,940,NA,78408
6,AL- MOBILE,05-13-2020,1867,1329,NA,990,99,NA,2857,1428,NA,19602
7,AL- MONTGOMERY,05-13-2020,1249,744,NA,297,29,NA,1546,773,NA,29403
9,AL- TUSCALOOSA,05-13-2020,503,450,NA,495,49,NA,998,499,NA,49005
11,AZ- MESA,05-13-2020,1881,961,NA,99,29,NA,1980,990,NA,49005
12,AZ- PHOENIX,05-13-2020,7179,3748,NA,396,39,NA,7575,3787,NA,78408
14,AZ- SUN CITY,05-13-2020,216,227,NA,594,178,NA,810,405,NA,88209
15,AZ- TUCSON,05-13-2020,1831,1193,NA,693,69,NA,2524,1262,NA,78408
16,AR- FORT SMITH,05-13-2020,291,343,NA,990,297,NA,1281,640,NA,29403
18,AR- JONESBORO,05-13-2020,0,353,NA,990,99,NA,904,452,NA,78408
19,AR- LITTLE ROCK,05-13-2020,4881,2619,NA,891,267,NA,5772,2886,NA,88209
21,AR- SPRINGDALE,05-13-2020,562,479,NA,495,49,NA,1057,528,NA,68607
22,AR- TEXARKANA,05-13-2020,683,401,NA,297,89,NA,980,490,NA,78408
23,CA- ORANGE CO.,05-13-2020,7552,3796,NA,99,29,NA,7651,3825,NA,29403
25,CA- BAKERSFIELD,05-13-2020,3319,1779,NA,297,29,NA,3616,1808,NA,39204
31,CA- CHICO,05-13-2020,0,23,NA,990,297,NA,640,320,NA,29403
33,CA- CONTRA COSTA CO.,05-13-2020,1904,972,NA,99,29,NA,2003,1001,NA,19602
43,CA- FRESNO,05-13-2020,1293,844,NA,990,297,NA,2283,1141,NA,88209
56,CA- LOS ANGELES,05-13-2020,24605,12362,NA,198,39,NA,24803,12401,NA,98010
58,CA- MODESTO,05-13-2020,1521,840,NA,198,19,NA,1719,859,NA,68607
62,CA- NAPA,05-13-2020,0,93,NA,990,198,NA,582,291,NA,58806
65,CA- ALAMEDA CO.,05-13-2020,2686,1551,NA,693,138,NA,3379,1689,NA,88209
69,CA- PALM SPR/RANCHO MIR.,05-13-2020,855,487,NA,198,39,NA,1053,526,NA,88209
73,CA- REDDING,05-13-2020,785,452,NA,297,89,NA,1082,541,NA,78408
77,CA- SACRAMENTO,05-13-2020,4487,2303,NA,297,89,NA,4784,2392,NA,39204
78,CA- SALINAS,05-13-2020,1,159,NA,792,237,NA,793,396,NA,49005
79,CA- SAN BERNARDINO,05-13-2020,5287,2792,NA,495,99,NA,5782,2891,NA,39204
80,CA- SAN DIEGO,05-13-2020,6043,3318,NA,990,198,NA,7033,3516,NA,98010
81,CA- SAN FRANCISCO,05-13-2020,4479,2477,NA,594,59,NA,5073,2536,NA,78408
82,CA- SAN JOSE,05-13-2020,2531,1414,NA,495,99,NA,3026,1513,NA,39204
83,CA- SAN LUIS OBISPO,05-13-2020,60,149,NA,396,79,NA,456,228,NA,29403
85,CA- SAN MATEO CO.,05-13-2020,2003,1141,NA,693,207,NA,2696,1348,NA,98010
86,CA- SANTA BARBARA,05-13-2020,372,424,NA,594,59,NA,966,483,NA,19602
87,CA- SANTA CRUZ,05-13-2020,0,120,NA,594,59,NA,359,179,NA,88209
89,CA- SANTA ROSA,05-13-2020,871,831,NA,990,99,NA,1861,930,NA,9801
91,CA- STOCKTON,05-13-2020,964,502,NA,99,29,NA,1063,531,NA,49005
96,CA- VENTURA,05-13-2020,781,707,NA,792,79,NA,1573,786,NA,39204
101,CO- BOULDER,05-13-2020,79,198,NA,396,39,NA,475,237,NA,58806
102,CO- COLORADO SPRINGS,05-13-2020,144,428,NA,891,89,NA,1035,517,NA,88209
103,CO- DENVER,05-13-2020,4282,2289,NA,495,99,NA,4777,2388,NA,98010
104,CO- FORT COLLINS,05-13-2020,0,121,NA,990,198,NA,639,319,NA,68607
105,CO- GRAND JUNCTION,05-13-2020,198,218,NA,594,178,NA,792,396,NA,78408
106,CO- GREELEY,05-13-2020,84,181,NA,693,207,NA,777,388,NA,58806
107,CO- PUEBLO,05-13-2020,204,221,NA,594,178,NA,798,399,NA,49005
109,CT- BRIDGEPORT,05-13-2020,1299,808,NA,396,39,NA,1695,847,NA,29403
110,CT- HARTFORD,05-13-2020,2563,1559,NA,693,69,NA,3256,1628,NA,49005
111,CT- NEW HAVEN,05-13-2020,3555,1867,NA,297,59,NA,3852,1926,NA,29403
112,DE- WILMINGTON,05-13-2020,971,753,NA,891,178,NA,1862,931,NA,29403
113,DC- WASHINGTON,05-13-2020,4697,2665,NA,792,79,NA,5489,2744,NA,29403
115,FL- BRADENTON,05-13-2020,115,295,NA,594,59,NA,709,354,NA,88209
116,FL- CLEARWATER,05-13-2020,944,680,NA,693,138,NA,1637,818,NA,68607
118,FL- FORT LAUDERDALE,05-13-2020,7808,4082,NA,891,267,NA,8699,4349,NA,88209
119,FL- FORT MYERS,05-13-2020,3727,1904,NA,99,9,NA,3826,1913,NA,9801
120,FL- GAINESVILLE,05-13-2020,1742,891,NA,99,29,NA,1841,920,NA,58806
122,FL- HUDSON,05-13-2020,361,537,NA,891,89,NA,1252,626,NA,58806
123,FL- JACKSONVILLE,05-13-2020,4615,2427,NA,297,29,NA,4912,2456,NA,9801
124,FL- LAKELAND,05-13-2020,375,465,NA,693,69,NA,1068,534,NA,58806
127,FL- MIAMI,05-13-2020,10188,5273,NA,594,118,NA,10782,5391,NA,29403
129,FL- OCALA,05-13-2020,477,595,NA,891,89,NA,1368,684,NA,19602
130,FL- ORLANDO,05-13-2020,9965,5141,NA,396,39,NA,10361,5180,NA,9801
131,FL- ORMOND BEACH,05-13-2020,664,728,NA,990,99,NA,1654,827,NA,68607
133,FL- PANAMA CITY,05-13-2020,0,243,NA,891,89,NA,664,332,NA,39204
134,FL- PENSACOLA,05-13-2020,2250,1145,NA,99,29,NA,2349,1174,NA,78408
137,FL- SARASOTA,05-13-2020,554,544,NA,891,178,NA,1445,722,NA,9801
139,FL- ST PETERSBURG,05-13-2020,1499,770,NA,99,29,NA,1598,799,NA,98010
140,FL- TALLAHASSEE,05-13-2020,1806,1170,NA,891,178,NA,2697,1348,NA,29403
141,FL- TAMPA,05-13-2020,3765,2081,NA,495,49,NA,4260,2130,NA,78408
142,GA- ALBANY,05-13-2020,172,442,NA,891,89,NA,1063,531,NA,19602
144,GA- ATLANTA,05-13-2020,11286,5920,NA,693,69,NA,11979,5989,NA,98010
145,GA- AUGUSTA,05-13-2020,1663,1069,NA,792,158,NA,2455,1227,NA,29403
146,GA- COLUMBUS,05-13-2020,1160,600,NA,99,29,NA,1259,629,NA,39204
147,GA- MACON,05-13-2020,1642,1000,NA,594,118,NA,2236,1118,NA,9801
148,GA- ROME,05-13-2020,0,277,NA,891,89,NA,732,366,NA,39204
149,GA- SAVANNAH,05-13-2020,1266,950,NA,792,79,NA,2058,1029,NA,88209
151,ID- BOISE,05-13-2020,1681,999,NA,396,39,NA,2077,1038,NA,58806
152,ID- IDAHO FALLS,05-13-2020,164,201,NA,297,29,NA,461,230,NA,58806
154,IL- AURORA,05-13-2020,0,174,NA,891,89,NA,527,263,NA,49005
155,IL- BLUE ISLAND,05-13-2020,2140,1189,NA,396,79,NA,2536,1268,NA,9801
156,IL- CHICAGO,05-13-2020,8263,4221,NA,297,59,NA,8560,4280,NA,88209
158,IL- ELGIN,05-13-2020,690,464,NA,396,79,NA,1086,543,NA,88209
161,IL- EVANSTON,05-13-2020,2119,1149,NA,297,59,NA,2416,1208,NA,78408
163,IL- HINSDALE,05-13-2020,1001,541,NA,99,9,NA,1100,550,NA,88209
164,IL- JOLIET,05-13-2020,930,545,NA,396,118,NA,1326,663,NA,98010
166,IL- MELROSE PARK,05-13-2020,2896,1528,NA,198,19,NA,3094,1547,NA,58806
170,IL- PEORIA,05-13-2020,1265,751,NA,594,178,NA,1859,929,NA,68607
171,IL- ROCKFORD,05-13-2020,1333,706,NA,198,59,NA,1531,765,NA,88209
172,IL- SPRINGFIELD,05-13-2020,2446,1253,NA,99,19,NA,2545,1272,NA,49005
173,IL- URBANA,05-13-2020,841,460,NA,198,59,NA,1039,519,NA,78408
175,IL- BLOOMINGTON,05-13-2020,168,104,NA,99,29,NA,267,133,NA,88209
179,IN- EVANSVILLE,05-13-2020,1154,755,NA,891,267,NA,2045,1022,NA,68607
180,IN- FORT WAYNE,05-13-2020,1222,908,NA,990,198,NA,2212,1106,NA,49005
181,IN- GARY,05-13-2020,615,486,NA,891,267,NA,1506,753,NA,78408
183,IN- INDIANAPOLIS,05-13-2020,5823,3030,NA,594,178,NA,6417,3208,NA,58806
184,IN- LAFAYETTE,05-13-2020,345,252,NA,396,118,NA,741,370,NA,68607
185,IN- MUNCIE,05-13-2020,0,71,NA,693,138,NA,419,209,NA,98010
186,IN- MUNSTER,05-13-2020,263,310,NA,891,267,NA,1154,577,NA,78408
187,IN- SOUTH BEND,05-13-2020,638,586,NA,891,178,NA,1529,764,NA,98010
188,IN- TERRE HAUTE,05-13-2020,0,180,NA,891,89,NA,539,269,NA,9801
190,IA- CEDAR RAPIDS,05-13-2020,423,351,NA,693,207,NA,1116,558,NA,78408
191,IA- DAVENPORT,05-13-2020,1332,1022,NA,891,89,NA,2223,1111,NA,19602
192,IA- DES MOINES,05-13-2020,2699,1468,NA,594,178,NA,3293,1646,NA,19602
193,IA- DUBUQUE,05-13-2020,0,94,NA,891,178,NA,545,272,NA,39204
194,IA- IOWA CITY,05-13-2020,1349,853,NA,594,118,NA,1943,971,NA,68607
195,IA- MASON CITY,05-13-2020,436,277,NA,297,89,NA,733,366,NA,19602
196,IA- SIOUX CITY,05-13-2020,1033,547,NA,99,19,NA,1132,566,NA,49005
197,IA- WATERLOO,05-13-2020,0,52,NA,891,267,NA,639,319,NA,49005
200,KS- TOPEKA,05-13-2020,1448,754,NA,99,19,NA,1547,773,NA,29403
201,KS- WICHITA,05-13-2020,4356,2357,NA,594,118,NA,4950,2475,NA,19602
203,KY- COVINGTON,05-13-2020,309,392,NA,792,158,NA,1101,550,NA,78408
204,KY- LEXINGTON,05-13-2020,4414,2445,NA,792,158,NA,5206,2603,NA,78408
205,KY- LOUISVILLE,05-13-2020,4717,2399,NA,99,9,NA,4816,2408,NA,29403
207,KY- OWENSBORO,05-13-2020,373,227,NA,99,9,NA,472,236,NA,9801
208,KY- PADUCAH,05-13-2020,1325,722,NA,297,89,NA,1622,811,NA,29403
209,LA- ALEXANDRIA,05-13-2020,298,357,NA,693,138,NA,991,495,NA,19602
210,LA- BATON ROUGE,05-13-2020,1787,1102,NA,693,138,NA,2480,1240,NA,49005
212,LA- HOUMA,05-13-2020,8,212,NA,693,138,NA,701,350,NA,39204
213,LA- LAFAYETTE,05-13-2020,1172,784,NA,990,297,NA,2162,1081,NA,19602
214,LA- LAKE CHARLES,05-13-2020,469,393,NA,396,39,NA,865,432,NA,29403
216,LA- METAIRIE,05-13-2020,714,476,NA,297,29,NA,1011,505,NA,49005
217,LA- MONROE,05-13-2020,34,195,NA,891,267,NA,925,462,NA,39204
218,LA- NEW ORLEANS,05-13-2020,1831,1153,NA,594,59,NA,2425,1212,NA,98010
219,LA- SHREVEPORT,05-13-2020,1746,1170,NA,990,198,NA,2736,1368,NA,98010
220,LA- SLIDELL,05-13-2020,0,74,NA,891,178,NA,504,252,NA,49005
221,ME- BANGOR,05-13-2020,496,427,NA,594,118,NA,1090,545,NA,19602
222,ME- PORTLAND,05-13-2020,2526,1283,NA,99,29,NA,2625,1312,NA,39204
223,MD- BALTIMORE,05-13-2020,6448,3343,NA,297,29,NA,6745,3372,NA,98010
225,MD- SALISBURY,05-13-2020,739,409,NA,198,59,NA,937,468,NA,68607
226,MD- TAKOMA PARK,05-13-2020,495,564,NA,792,79,NA,1287,643,NA,49005
227,MA- BOSTON,05-13-2020,9994,5195,NA,990,297,NA,10984,5492,NA,9801
230,MA- SPRINGFIELD,05-13-2020,1304,771,NA,297,29,NA,1601,800,NA,19602
231,MA- WORCESTER,05-13-2020,751,554,NA,891,267,NA,1642,821,NA,19602
232,MI- ANN ARBOR,05-13-2020,2967,1543,NA,297,89,NA,3264,1632,NA,68607
233,MI- DEARBORN,05-13-2020,1149,773,NA,495,49,NA,1644,822,NA,98010
234,MI- DETROIT,05-13-2020,3966,2122,NA,693,207,NA,4659,2329,NA,68607
235,MI- FLINT,05-13-2020,1227,644,NA,99,19,NA,1326,663,NA,29403
236,MI- GRAND RAPIDS,05-13-2020,1913,1115,NA,396,39,NA,2309,1154,NA,58806
238,MI- KALAMAZOO,05-13-2020,685,501,NA,792,237,NA,1477,738,NA,9801
239,MI- LANSING,05-13-2020,1238,678,NA,297,89,NA,1535,767,NA,49005
240,MI- MARQUETTE,05-13-2020,191,215,NA,297,29,NA,488,244,NA,19602
242,MI- MUSKEGON,05-13-2020,0,0,NA,990,297,NA,536,268,NA,39204
243,MI- PETOSKEY,05-13-2020,0,55,NA,396,118,NA,346,173,NA,49005
244,MI- PONTIAC,05-13-2020,986,533,NA,198,59,NA,1184,592,NA,58806
