HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8400,45,567,04-09-2020
2,AL- DOTHAN,1274,54,810,04-09-2020
5,AL- HUNTSVILLE,1826,54,648,04-09-2020
6,AL- MOBILE,2830,27,486,04-09-2020
7,AL- MONTGOMERY,1474,72,324,04-09-2020
9,AL- TUSCALOOSA,989,9,162,04-09-2020
11,AZ- MESA,1908,72,324,04-09-2020
12,AZ- PHOENIX,7503,72,648,04-09-2020
14,AZ- SUN CITY,738,72,729,04-09-2020
15,AZ- TUCSON,2479,45,243,04-09-2020
16,AR- FORT SMITH,1245,36,324,04-09-2020
18,AR- JONESBORO,859,45,162,04-09-2020
19,AR- LITTLE ROCK,5763,9,243,04-09-2020
21,AR- SPRINGDALE,1003,54,324,04-09-2020
22,AR- TEXARKANA,935,45,162,04-09-2020
23,CA- ORANGE CO.,7579,72,243,04-09-2020
25,CA- BAKERSFIELD,3544,72,729,04-09-2020
31,CA- CHICO,586,54,243,04-09-2020
33,CA- CONTRA COSTA CO.,1958,45,243,04-09-2020
43,CA- FRESNO,2256,27,648,04-09-2020
56,CA- LOS ANGELES,24722,81,648,04-09-2020
58,CA- MODESTO,1692,27,810,04-09-2020
62,CA- NAPA,528,54,405,04-09-2020
65,CA- ALAMEDA CO.,3325,54,162,04-09-2020
69,CA- PALM SPR/RANCHO MIR.,1044,9,243,04-09-2020
73,CA- REDDING,1037,45,162,04-09-2020
77,CA- SACRAMENTO,4739,45,162,04-09-2020
78,CA- SALINAS,766,27,81,04-09-2020
79,CA- SAN BERNARDINO,5701,81,243,04-09-2020
80,CA- SAN DIEGO,7024,9,324,04-09-2020
81,CA- SAN FRANCISCO,5028,45,243,04-09-2020
82,CA- SAN JOSE,2945,81,486,04-09-2020
83,CA- SAN LUIS OBISPO,411,45,486,04-09-2020
85,CA- SAN MATEO CO.,2669,27,486,04-09-2020
86,CA- SANTA BARBARA,948,18,567,04-09-2020
