HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
1,AL- BIRMINGHAM,04-29-2020,8445,4222,NA,305,61,NA,14884
2,AL- DOTHAN,04-29-2020,1328,664,NA,305,61,NA,11163
5,AL- HUNTSVILLE,04-29-2020,1880,940,NA,122,24,NA,3721
6,AL- MOBILE,04-29-2020,2857,1428,NA,305,61,NA,11163
7,AL- MONTGOMERY,04-29-2020,1546,773,NA,122,36,NA,37210
9,AL- TUSCALOOSA,04-29-2020,998,499,NA,61,18,NA,11163
11,AZ- MESA,04-29-2020,1980,990,NA,427,85,NA,33489
12,AZ- PHOENIX,04-29-2020,7575,3787,NA,610,122,NA,33489
14,AZ- SUN CITY,04-29-2020,810,405,NA,61,18,NA,29768
15,AZ- TUCSON,04-29-2020,2524,1262,NA,427,85,NA,7442
16,AR- FORT SMITH,04-29-2020,1281,640,NA,305,61,NA,3721
18,AR- JONESBORO,04-29-2020,904,452,NA,61,18,NA,3721
19,AR- LITTLE ROCK,04-29-2020,5772,2886,NA,610,183,NA,18605
21,AR- SPRINGDALE,04-29-2020,1057,528,NA,122,36,NA,3721
22,AR- TEXARKANA,04-29-2020,980,490,NA,427,85,NA,3721
23,CA- ORANGE CO.,04-29-2020,7651,3825,NA,549,164,NA,7442
25,CA- BAKERSFIELD,04-29-2020,3616,1808,NA,305,91,NA,37210
31,CA- CHICO,04-29-2020,640,320,NA,122,36,NA,3721
33,CA- CONTRA COSTA CO.,04-29-2020,2003,1001,NA,610,183,NA,14884
43,CA- FRESNO,04-29-2020,2283,1141,NA,305,91,NA,18605
56,CA- LOS ANGELES,04-29-2020,24803,12401,NA,183,18,NA,3721
58,CA- MODESTO,04-29-2020,1719,859,NA,549,109,NA,18605
62,CA- NAPA,04-29-2020,582,291,NA,305,91,NA,7442
65,CA- ALAMEDA CO.,04-29-2020,3379,1689,NA,488,48,NA,18605
69,CA- PALM SPR/RANCHO MIR.,04-29-2020,1053,526,NA,549,109,NA,18605
73,CA- REDDING,04-29-2020,1082,541,NA,244,24,NA,37210
77,CA- SACRAMENTO,04-29-2020,4784,2392,NA,488,146,NA,14884
78,CA- SALINAS,04-29-2020,793,396,NA,183,18,NA,14884
79,CA- SAN BERNARDINO,04-29-2020,5782,2891,NA,610,122,NA,29768
80,CA- SAN DIEGO,04-29-2020,7033,3516,NA,366,109,NA,3721
81,CA- SAN FRANCISCO,04-29-2020,5073,2536,NA,183,18,NA,18605
82,CA- SAN JOSE,04-29-2020,3026,1513,NA,122,24,NA,22326
83,CA- SAN LUIS OBISPO,04-29-2020,456,228,NA,305,91,NA,33489
85,CA- SAN MATEO CO.,04-29-2020,2696,1348,NA,488,48,NA,3721
86,CA- SANTA BARBARA,04-29-2020,966,483,NA,610,61,NA,7442
87,CA- SANTA CRUZ,04-29-2020,359,179,NA,305,30,NA,37210
89,CA- SANTA ROSA,04-29-2020,1861,930,NA,183,36,NA,22326
91,CA- STOCKTON,04-29-2020,1063,531,NA,488,97,NA,11163
96,CA- VENTURA,04-29-2020,1573,786,NA,61,18,NA,3721
101,CO- BOULDER,04-29-2020,475,237,NA,244,48,NA,22326
102,CO- COLORADO SPRINGS,04-29-2020,1035,517,NA,488,48,NA,11163
103,CO- DENVER,04-29-2020,4777,2388,NA,61,6,NA,14884
104,CO- FORT COLLINS,04-29-2020,639,319,NA,122,24,NA,14884
105,CO- GRAND JUNCTION,04-29-2020,792,396,NA,488,97,NA,3721
106,CO- GREELEY,04-29-2020,777,388,NA,122,12,NA,14884
