HRRNum,Hospital Referral Region,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8396,49,49,04-11-2020
2,AL- DOTHAN,1286,42,196,04-11-2020
5,AL- HUNTSVILLE,1831,49,49,04-11-2020
6,AL- MOBILE,2815,42,343,04-11-2020
7,AL- MONTGOMERY,1497,49,196,04-11-2020
9,AL- TUSCALOOSA,928,70,392,04-11-2020
11,AZ- MESA,1917,63,441,04-11-2020
12,AZ- PHOENIX,7547,28,49,04-11-2020
14,AZ- SUN CITY,761,49,147,04-11-2020
15,AZ- TUCSON,2510,14,343,04-11-2020
16,AR- FORT SMITH,1225,56,98,04-11-2020
18,AR- JONESBORO,855,49,49,04-11-2020
19,AR- LITTLE ROCK,5751,21,147,04-11-2020
21,AR- SPRINGDALE,987,70,196,04-11-2020
22,AR- TEXARKANA,945,35,147,04-11-2020
23,CA- ORANGE CO.,7581,70,98,04-11-2020
25,CA- BAKERSFIELD,3574,42,49,04-11-2020
31,CA- CHICO,633,7,441,04-11-2020
33,CA- CONTRA COSTA CO.,1989,14,392,04-11-2020
43,CA- FRESNO,2227,56,343,04-11-2020
56,CA- LOS ANGELES,24782,21,147,04-11-2020
58,CA- MODESTO,1649,70,441,04-11-2020
62,CA- NAPA,540,42,147,04-11-2020
65,CA- ALAMEDA CO.,3323,56,98,04-11-2020
69,CA- PALM SPR/RANCHO MIR.,1039,14,147,04-11-2020
73,CA- REDDING,1047,35,343,04-11-2020
77,CA- SACRAMENTO,4763,21,343,04-11-2020
78,CA- SALINAS,737,56,343,04-11-2020
79,CA- SAN BERNARDINO,5761,21,441,04-11-2020
80,CA- SAN DIEGO,7012,21,49,04-11-2020
81,CA- SAN FRANCISCO,5059,14,392,04-11-2020
82,CA- SAN JOSE,2970,56,196,04-11-2020
83,CA- SAN LUIS OBISPO,435,21,441,04-11-2020
85,CA- SAN MATEO CO.,2626,70,343,04-11-2020
86,CA- SANTA BARBARA,938,28,147,04-11-2020
87,CA- SANTA CRUZ,324,35,343,04-11-2020
89,CA- SANTA ROSA,1847,14,392,04-11-2020
91,CA- STOCKTON,993,70,294,04-11-2020
96,CA- VENTURA,1531,42,343,04-11-2020
101,CO- BOULDER,405,70,441,04-11-2020
102,CO- COLORADO SPRINGS,993,42,245,04-11-2020
103,CO- DENVER,4749,28,490,04-11-2020
104,CO- FORT COLLINS,625,14,147,04-11-2020
105,CO- GRAND JUNCTION,771,21,392,04-11-2020
106,CO- GREELEY,763,14,392,04-11-2020
107,CO- PUEBLO,728,70,441,04-11-2020
109,CT- BRIDGEPORT,1632,63,392,04-11-2020
110,CT- HARTFORD,3235,21,147,04-11-2020
111,CT- NEW HAVEN,3845,7,49,04-11-2020
112,DE- WILMINGTON,1855,7,441,04-11-2020
113,DC- WASHINGTON,5426,63,147,04-11-2020
115,FL- BRADENTON,674,35,392,04-11-2020
116,FL- CLEARWATER,1595,42,245,04-11-2020
118,FL- FORT LAUDERDALE,8657,42,147,04-11-2020
119,FL- FORT MYERS,3819,7,98,04-11-2020
120,FL- GAINESVILLE,1806,35,441,04-11-2020
122,FL- HUDSON,1189,63,490,04-11-2020
123,FL- JACKSONVILLE,4849,63,49,04-11-2020
124,FL- LAKELAND,1026,42,98,04-11-2020
127,FL- MIAMI,10754,28,441,04-11-2020
129,FL- OCALA,1347,21,245,04-11-2020
130,FL- ORLANDO,10354,7,245,04-11-2020
131,FL- ORMOND BEACH,1612,42,441,04-11-2020
133,FL- PANAMA CITY,650,14,441,04-11-2020
134,FL- PENSACOLA,2286,63,147,04-11-2020
137,FL- SARASOTA,1431,14,98,04-11-2020
139,FL- ST PETERSBURG,1556,42,392,04-11-2020
140,FL- TALLAHASSEE,2676,21,245,04-11-2020
141,FL- TAMPA,4246,14,147,04-11-2020
142,GA- ALBANY,1021,42,490,04-11-2020
144,GA- ATLANTA,11958,21,294,04-11-2020
145,GA- AUGUSTA,2399,56,441,04-11-2020
146,GA- COLUMBUS,1210,49,196,04-11-2020
147,GA- MACON,2166,70,196,04-11-2020
148,GA- ROME,662,70,245,04-11-2020
149,GA- SAVANNAH,2002,56,294,04-11-2020
151,ID- BOISE,2007,70,441,04-11-2020
152,ID- IDAHO FALLS,433,28,49,04-11-2020
154,IL- AURORA,506,21,294,04-11-2020
155,IL- BLUE ISLAND,2515,21,98,04-11-2020
