HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
1,AL- BIRMINGHAM,04-06-2020,8445,4222,NA,15,4,NA,1350
2,AL- DOTHAN,04-06-2020,1328,664,NA,150,45,NA,225
5,AL- HUNTSVILLE,04-06-2020,1880,940,NA,45,13,NA,450
6,AL- MOBILE,04-06-2020,2857,1428,NA,15,4,NA,225
7,AL- MONTGOMERY,04-06-2020,1546,773,NA,30,3,NA,675
9,AL- TUSCALOOSA,04-06-2020,998,499,NA,90,9,NA,1350
11,AZ- MESA,04-06-2020,1980,990,NA,45,9,NA,1575
12,AZ- PHOENIX,04-06-2020,7575,3787,NA,90,27,NA,900
14,AZ- SUN CITY,04-06-2020,810,405,NA,135,13,NA,225
15,AZ- TUCSON,04-06-2020,2524,1262,NA,30,9,NA,900
16,AR- FORT SMITH,04-06-2020,1281,640,NA,30,6,NA,2025
18,AR- JONESBORO,04-06-2020,904,452,NA,15,1,NA,1575
19,AR- LITTLE ROCK,04-06-2020,5772,2886,NA,75,22,NA,2025
21,AR- SPRINGDALE,04-06-2020,1057,528,NA,15,1,NA,1800
22,AR- TEXARKANA,04-06-2020,980,490,NA,15,4,NA,225
23,CA- ORANGE CO.,04-06-2020,7651,3825,NA,135,27,NA,2025
25,CA- BAKERSFIELD,04-06-2020,3616,1808,NA,135,13,NA,2250
31,CA- CHICO,04-06-2020,640,320,NA,15,3,NA,450
33,CA- CONTRA COSTA CO.,04-06-2020,2003,1001,NA,135,27,NA,1575
43,CA- FRESNO,04-06-2020,2283,1141,NA,90,27,NA,225
56,CA- LOS ANGELES,04-06-2020,24803,12401,NA,75,15,NA,2025
58,CA- MODESTO,04-06-2020,1719,859,NA,135,40,NA,1125
62,CA- NAPA,04-06-2020,582,291,NA,30,6,NA,675
65,CA- ALAMEDA CO.,04-06-2020,3379,1689,NA,105,21,NA,1350
69,CA- PALM SPR/RANCHO MIR.,04-06-2020,1053,526,NA,150,30,NA,1575
73,CA- REDDING,04-06-2020,1082,541,NA,105,10,NA,2025
77,CA- SACRAMENTO,04-06-2020,4784,2392,NA,45,13,NA,2250
78,CA- SALINAS,04-06-2020,793,396,NA,45,4,NA,900
79,CA- SAN BERNARDINO,04-06-2020,5782,2891,NA,105,10,NA,900
80,CA- SAN DIEGO,04-06-2020,7033,3516,NA,75,15,NA,1350
81,CA- SAN FRANCISCO,04-06-2020,5073,2536,NA,45,13,NA,2025
82,CA- SAN JOSE,04-06-2020,3026,1513,NA,135,40,NA,1575
83,CA- SAN LUIS OBISPO,04-06-2020,456,228,NA,30,9,NA,1800
85,CA- SAN MATEO CO.,04-06-2020,2696,1348,NA,135,27,NA,900
86,CA- SANTA BARBARA,04-06-2020,966,483,NA,15,3,NA,225
87,CA- SANTA CRUZ,04-06-2020,359,179,NA,60,18,NA,900
89,CA- SANTA ROSA,04-06-2020,1861,930,NA,120,24,NA,1575
91,CA- STOCKTON,04-06-2020,1063,531,NA,75,22,NA,675
96,CA- VENTURA,04-06-2020,1573,786,NA,60,6,NA,2250
101,CO- BOULDER,04-06-2020,475,237,NA,30,6,NA,450
102,CO- COLORADO SPRINGS,04-06-2020,1035,517,NA,150,15,NA,900
103,CO- DENVER,04-06-2020,4777,2388,NA,150,30,NA,2025
104,CO- FORT COLLINS,04-06-2020,639,319,NA,105,21,NA,2025
105,CO- GRAND JUNCTION,04-06-2020,792,396,NA,90,18,NA,2250
106,CO- GREELEY,04-06-2020,777,388,NA,30,3,NA,1350
107,CO- PUEBLO,04-06-2020,798,399,NA,60,12,NA,225
109,CT- BRIDGEPORT,04-06-2020,1695,847,NA,75,22,NA,2025
110,CT- HARTFORD,04-06-2020,3256,1628,NA,15,1,NA,450
111,CT- NEW HAVEN,04-06-2020,3852,1926,NA,90,9,NA,225
112,DE- WILMINGTON,04-06-2020,1862,931,NA,30,6,NA,1575
113,DC- WASHINGTON,04-06-2020,5489,2744,NA,45,9,NA,2250
115,FL- BRADENTON,04-06-2020,709,354,NA,60,6,NA,1800
116,FL- CLEARWATER,04-06-2020,1637,818,NA,45,4,NA,1800
118,FL- FORT LAUDERDALE,04-06-2020,8699,4349,NA,90,27,NA,2250
119,FL- FORT MYERS,04-06-2020,3826,1913,NA,120,12,NA,1125
120,FL- GAINESVILLE,04-06-2020,1841,920,NA,90,9,NA,1125
122,FL- HUDSON,04-06-2020,1252,626,NA,90,18,NA,2250
123,FL- JACKSONVILLE,04-06-2020,4912,2456,NA,30,6,NA,1350
124,FL- LAKELAND,04-06-2020,1068,534,NA,60,6,NA,2025
127,FL- MIAMI,04-06-2020,10782,5391,NA,105,21,NA,1800
129,FL- OCALA,04-06-2020,1368,684,NA,75,7,NA,1800
130,FL- ORLANDO,04-06-2020,10361,5180,NA,105,10,NA,675
131,FL- ORMOND BEACH,04-06-2020,1654,827,NA,60,6,NA,900
133,FL- PANAMA CITY,04-06-2020,664,332,NA,120,36,NA,900
134,FL- PENSACOLA,04-06-2020,2349,1174,NA,75,22,NA,450
137,FL- SARASOTA,04-06-2020,1445,722,NA,90,27,NA,2025
139,FL- ST PETERSBURG,04-06-2020,1598,799,NA,30,9,NA,1575
140,FL- TALLAHASSEE,04-06-2020,2697,1348,NA,90,27,NA,675
