HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Beds Count,Vent. Count,Staff Count,Cases
1,AL- BIRMINGHAM,04-01-2020,8430,4219,NA,15,3,NA,8445,4222,NA,1350
2,AL- DOTHAN,04-01-2020,1193,637,NA,135,27,NA,1328,664,NA,900
5,AL- HUNTSVILLE,04-01-2020,1865,936,NA,15,4,NA,1880,940,NA,225
6,AL- MOBILE,04-01-2020,2812,1415,NA,45,13,NA,2857,1428,NA,1125
7,AL- MONTGOMERY,04-01-2020,1516,767,NA,30,6,NA,1546,773,NA,225
9,AL- TUSCALOOSA,04-01-2020,848,469,NA,150,30,NA,998,499,NA,225
11,AZ- MESA,04-01-2020,1920,972,NA,60,18,NA,1980,990,NA,1350
12,AZ- PHOENIX,04-01-2020,7440,3760,NA,135,27,NA,7575,3787,NA,900
14,AZ- SUN CITY,04-01-2020,750,387,NA,60,18,NA,810,405,NA,2025
15,AZ- TUCSON,04-01-2020,2509,1261,NA,15,1,NA,2524,1262,NA,1125
16,AR- FORT SMITH,04-01-2020,1146,613,NA,135,27,NA,1281,640,NA,675
18,AR- JONESBORO,04-01-2020,829,437,NA,75,15,NA,904,452,NA,1125
19,AR- LITTLE ROCK,04-01-2020,5697,2871,NA,75,15,NA,5772,2886,NA,900
21,AR- SPRINGDALE,04-01-2020,907,513,NA,150,15,NA,1057,528,NA,675
22,AR- TEXARKANA,04-01-2020,950,481,NA,30,9,NA,980,490,NA,225
23,CA- ORANGE CO.,04-01-2020,7531,3813,NA,120,12,NA,7651,3825,NA,1575
25,CA- BAKERSFIELD,04-01-2020,3541,1786,NA,75,22,NA,3616,1808,NA,2250
31,CA- CHICO,04-01-2020,565,305,NA,75,15,NA,640,320,NA,1350
33,CA- CONTRA COSTA CO.,04-01-2020,1958,992,NA,45,9,NA,2003,1001,NA,900
43,CA- FRESNO,04-01-2020,2223,1123,NA,60,18,NA,2283,1141,NA,1350
56,CA- LOS ANGELES,04-01-2020,24728,12394,NA,75,7,NA,24803,12401,NA,2025
58,CA- MODESTO,04-01-2020,1599,847,NA,120,12,NA,1719,859,NA,1125
62,CA- NAPA,04-01-2020,462,267,NA,120,24,NA,582,291,NA,1350
65,CA- ALAMEDA CO.,04-01-2020,3319,1677,NA,60,12,NA,3379,1689,NA,1575
69,CA- PALM SPR/RANCHO MIR.,04-01-2020,1023,520,NA,30,6,NA,1053,526,NA,900
73,CA- REDDING,04-01-2020,947,501,NA,135,40,NA,1082,541,NA,2025
77,CA- SACRAMENTO,04-01-2020,4679,2371,NA,105,21,NA,4784,2392,NA,900
78,CA- SALINAS,04-01-2020,718,381,NA,75,15,NA,793,396,NA,1350
79,CA- SAN BERNARDINO,04-01-2020,5647,2851,NA,135,40,NA,5782,2891,NA,1125
80,CA- SAN DIEGO,04-01-2020,6958,3509,NA,75,7,NA,7033,3516,NA,1350
81,CA- SAN FRANCISCO,04-01-2020,5013,2530,NA,60,6,NA,5073,2536,NA,2250
82,CA- SAN JOSE,04-01-2020,2891,1486,NA,135,27,NA,3026,1513,NA,1350
83,CA- SAN LUIS OBISPO,04-01-2020,426,225,NA,30,3,NA,456,228,NA,1800
85,CA- SAN MATEO CO.,04-01-2020,2621,1333,NA,75,15,NA,2696,1348,NA,2025
86,CA- SANTA BARBARA,04-01-2020,936,480,NA,30,3,NA,966,483,NA,225
87,CA- SANTA CRUZ,04-01-2020,344,178,NA,15,1,NA,359,179,NA,1125
89,CA- SANTA ROSA,04-01-2020,1711,915,NA,150,15,NA,1861,930,NA,1350
