HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
1,AL- BIRMINGHAM,04-04-2020,8445,4222,NA,77,7,NA,1089
2,AL- DOTHAN,04-04-2020,1328,664,NA,44,8,NA,363
5,AL- HUNTSVILLE,04-04-2020,1880,940,NA,77,15,NA,484
6,AL- MOBILE,04-04-2020,2857,1428,NA,88,17,NA,1089
7,AL- MONTGOMERY,04-04-2020,1546,773,NA,110,22,NA,363
9,AL- TUSCALOOSA,04-04-2020,998,499,NA,99,29,NA,605
11,AZ- MESA,04-04-2020,1980,990,NA,88,17,NA,242
12,AZ- PHOENIX,04-04-2020,7575,3787,NA,88,17,NA,1089
14,AZ- SUN CITY,04-04-2020,810,405,NA,99,29,NA,726
15,AZ- TUCSON,04-04-2020,2524,1262,NA,55,16,NA,242
16,AR- FORT SMITH,04-04-2020,1281,640,NA,44,8,NA,726
18,AR- JONESBORO,04-04-2020,904,452,NA,77,23,NA,484
19,AR- LITTLE ROCK,04-04-2020,5772,2886,NA,11,3,NA,968
21,AR- SPRINGDALE,04-04-2020,1057,528,NA,44,13,NA,1089
22,AR- TEXARKANA,04-04-2020,980,490,NA,55,11,NA,363
23,CA- ORANGE CO.,04-04-2020,7651,3825,NA,55,16,NA,847
25,CA- BAKERSFIELD,04-04-2020,3616,1808,NA,99,19,NA,121
31,CA- CHICO,04-04-2020,640,320,NA,99,19,NA,1210
33,CA- CONTRA COSTA CO.,04-04-2020,2003,1001,NA,88,26,NA,847
43,CA- FRESNO,04-04-2020,2283,1141,NA,99,9,NA,605
56,CA- LOS ANGELES,04-04-2020,24803,12401,NA,55,16,NA,1089
58,CA- MODESTO,04-04-2020,1719,859,NA,33,9,NA,968
62,CA- NAPA,04-04-2020,582,291,NA,66,19,NA,726
65,CA- ALAMEDA CO.,04-04-2020,3379,1689,NA,88,26,NA,363
69,CA- PALM SPR/RANCHO MIR.,04-04-2020,1053,526,NA,110,33,NA,484
73,CA- REDDING,04-04-2020,1082,541,NA,77,23,NA,242
77,CA- SACRAMENTO,04-04-2020,4784,2392,NA,88,26,NA,1210
78,CA- SALINAS,04-04-2020,793,396,NA,11,2,NA,242
79,CA- SAN BERNARDINO,04-04-2020,5782,2891,NA,44,8,NA,242
80,CA- SAN DIEGO,04-04-2020,7033,3516,NA,22,2,NA,121
81,CA- SAN FRANCISCO,04-04-2020,5073,2536,NA,99,19,NA,484
82,CA- SAN JOSE,04-04-2020,3026,1513,NA,44,13,NA,605
83,CA- SAN LUIS OBISPO,04-04-2020,456,228,NA,88,17,NA,605
85,CA- SAN MATEO CO.,04-04-2020,2696,1348,NA,99,19,NA,968
86,CA- SANTA BARBARA,04-04-2020,966,483,NA,55,16,NA,847
87,CA- SANTA CRUZ,04-04-2020,359,179,NA,77,15,NA,726
89,CA- SANTA ROSA,04-04-2020,1861,930,NA,55,5,NA,1089
91,CA- STOCKTON,04-04-2020,1063,531,NA,66,6,NA,242
96,CA- VENTURA,04-04-2020,1573,786,NA,22,6,NA,121
101,CO- BOULDER,04-04-2020,475,237,NA,77,23,NA,363
102,CO- COLORADO SPRINGS,04-04-2020,1035,517,NA,44,8,NA,968
103,CO- DENVER,04-04-2020,4777,2388,NA,66,19,NA,484
104,CO- FORT COLLINS,04-04-2020,639,319,NA,66,19,NA,605
105,CO- GRAND JUNCTION,04-04-2020,792,396,NA,22,2,NA,242
106,CO- GREELEY,04-04-2020,777,388,NA,22,2,NA,1210
107,CO- PUEBLO,04-04-2020,798,399,NA,11,3,NA,968
109,CT- BRIDGEPORT,04-04-2020,1695,847,NA,88,17,NA,726
110,CT- HARTFORD,04-04-2020,3256,1628,NA,33,6,NA,968
111,CT- NEW HAVEN,04-04-2020,3852,1926,NA,99,19,NA,484
112,DE- WILMINGTON,04-04-2020,1862,931,NA,110,11,NA,1089
113,DC- WASHINGTON,04-04-2020,5489,2744,NA,22,4,NA,484
115,FL- BRADENTON,04-04-2020,709,354,NA,44,13,NA,1210
116,FL- CLEARWATER,04-04-2020,1637,818,NA,33,9,NA,605
118,FL- FORT LAUDERDALE,04-04-2020,8699,4349,NA,77,23,NA,726
119,FL- FORT MYERS,04-04-2020,3826,1913,NA,55,11,NA,1089
120,FL- GAINESVILLE,04-04-2020,1841,920,NA,11,3,NA,363
122,FL- HUDSON,04-04-2020,1252,626,NA,77,15,NA,484
123,FL- JACKSONVILLE,04-04-2020,4912,2456,NA,99,9,NA,968
124,FL- LAKELAND,04-04-2020,1068,534,NA,11,3,NA,1210
127,FL- MIAMI,04-04-2020,10782,5391,NA,22,6,NA,363
129,FL- OCALA,04-04-2020,1368,684,NA,66,6,NA,968
130,FL- ORLANDO,04-04-2020,10361,5180,NA,66,6,NA,484
131,FL- ORMOND BEACH,04-04-2020,1654,827,NA,77,7,NA,605
133,FL- PANAMA CITY,04-04-2020,664,332,NA,22,4,NA,363
134,FL- PENSACOLA,04-04-2020,2349,1174,NA,77,7,NA,242
