HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,86.55,293,261,371,82.26,96.64,293 [261 - 371],86.55% [82.26% - 96.64%],552,191,1405,05-18-2020
2,AL- DOTHAN,80.67,0,0,5,80.0,84.37,0 [0 - 5],80.67% [80.0% - 84.37%],8,0,58,05-18-2020
5,AL- HUNTSVILLE,85.02,48,44,62,81.91,92.5,48 [44 - 62],85.02% [81.91% - 92.5%],94,36,235,05-18-2020
6,AL- MOBILE,83.94,56,52,74,81.68,90.57,56 [52 - 74],83.94% [81.68% - 90.57%],112,48,302,05-18-2020
7,AL- MONTGOMERY,84.71,35,32,50,81.68,93.84,35 [32 - 50],84.71% [81.68% - 93.84%],72,26,214,05-18-2020
9,AL- TUSCALOOSA,85.3,28,26,38,81.7,96.43,28 [26 - 38],85.3% [81.7% - 96.43%],52,17,164,05-18-2020
11,AZ- MESA,92.0,125,115,165,85.66,112.98,125 [115 - 165],92.0% [85.66% - 112.98%],237,112,653,05-18-2020
12,AZ- PHOENIX,87.68,309,283,406,83.71,101.21,309 [283 - 406],87.68% [83.71% - 101.21%],581,281,1607,05-18-2020
14,AZ- SUN CITY,85.0,19,18,26,82.35,93.7,19 [18 - 26],85.0% [82.35% - 93.7%],40,19,111,05-18-2020
15,AZ- TUCSON,85.98,77,70,106,82.46,97.39,77 [70 - 106],85.98% [82.46% - 97.39%],150,62,439,05-18-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.62,0 [0 - 0],80.0% [80.0% - 80.62%],0,0,8,05-18-2020
18,AR- JONESBORO,80.33,0,0,1,80.0,81.0,0 [0 - 1],80.33% [80.0% - 81.0%],2,0,9,05-18-2020
19,AR- LITTLE ROCK,82.51,73,64,95,80.55,87.31,73 [64 - 95],82.51% [80.55% - 87.31%],144,32,422,05-18-2020
21,AR- SPRINGDALE,81.56,7,6,8,80.0,83.22,7 [6 - 8],81.56% [80.0% - 83.22%],16,0,34,05-18-2020
22,AR- TEXARKANA,81.01,0,0,2,80.0,83.27,0 [0 - 2],81.01% [80.0% - 83.27%],9,0,32,05-18-2020
23,CA- ORANGE CO.,85.57,215,193,271,81.66,94.0,215 [193 - 271],85.57% [81.66% - 94.0%],425,127,1071,05-18-2020
25,CA- BAKERSFIELD,82.0,35,32,46,80.5,85.23,35 [32 - 46],82.0% [80.5% - 85.23%],72,18,189,05-18-2020
31,CA- CHICO,82.71,7,6,10,80.0,88.28,7 [6 - 10],82.71% [80.0% - 88.28%],17,0,53,05-18-2020
33,CA- CONTRA COSTA CO.,95.79,153,137,190,84.64,117.99,153 [137 - 190],95.79% [84.64% - 117.99%],316,93,761,05-18-2020
43,CA- FRESNO,83.49,35,32,48,80.88,89.42,35 [32 - 48],83.49% [80.88% - 89.42%],79,20,215,05-18-2020
56,CA- LOS ANGELES,85.01,628,561,792,81.46,92.65,628 [561 - 792],85.01% [81.46% - 92.65%],1242,363,3137,05-18-2020
58,CA- MODESTO,88.85,76,68,95,82.33,101.76,76 [68 - 95],88.85% [82.33% - 101.76%],152,40,374,05-18-2020
62,CA- NAPA,89.43,21,19,28,81.37,102.16,21 [19 - 28],89.43% [81.37% - 102.16%],54,8,129,05-18-2020
65,CA- ALAMEDA CO.,94.09,231,207,284,84.17,113.71,231 [207 - 284],94.09% [84.17% - 113.71%],476,141,1139,05-18-2020
69,CA- PALM SPR/RANCHO MIR.,83.77,15,13,21,81.04,89.5,15 [13 - 21],83.77% [81.04% - 89.5%],39,11,100,05-18-2020
73,CA- REDDING,84.44,21,19,28,80.83,91.74,21 [19 - 28],84.44% [80.83% - 91.74%],48,9,127,05-18-2020
77,CA- SACRAMENTO,90.76,257,229,322,82.91,107.24,257 [229 - 322],90.76% [82.91% - 107.24%],514,139,1303,05-18-2020
78,CA- SALINAS,89.53,35,32,45,82.52,104.59,35 [32 - 45],89.53% [82.52% - 104.59%],75,20,195,05-18-2020
79,CA- SAN BERNARDINO,86.38,185,165,236,81.87,96.22,185 [165 - 236],86.38% [81.87% - 96.22%],368,108,938,05-18-2020
80,CA- SAN DIEGO,88.47,296,264,373,82.42,101.44,296 [264 - 373],88.47% [82.42% - 101.44%],595,170,1508,05-18-2020
81,CA- SAN FRANCISCO,88.3,203,182,250,82.46,99.81,203 [182 - 250],88.3% [82.46% - 99.81%],420,125,1005,05-18-2020
82,CA- SAN JOSE,98.16,266,238,323,85.35,122.6,266 [238 - 323],98.16% [85.35% - 122.6%],549,162,1289,05-18-2020
