date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
01-03-2021,44,42,45
01-04-2021,50,49,51
01-05-2021,57,57,58
01-06-2021,48,47,50
01-07-2021,48,47,50
01-08-2021,47,47,49
01-09-2021,47,47,48
01-10-2021,43,41,44
01-11-2021,43,41,44
01-12-2021,41,39,42
01-13-2021,40,39,41
01-14-2021,41,40,42
01-15-2021,42,40,43
01-16-2021,41,40,44
01-17-2021,42,40,45
01-18-2021,43,40,46
01-19-2021,43,40,48
01-20-2021,44,40,49
01-21-2021,44,39,50
01-22-2021,46,39,52
01-23-2021,47,39,55
01-24-2021,47,40,56
01-25-2021,49,41,59
01-26-2021,50,41,62
01-27-2021,51,41,65
01-28-2021,52,41,69
01-29-2021,52,40,71
01-30-2021,53,40,74
01-31-2021,54,40,77
02-01-2021,54,40,79
02-02-2021,55,40,82
02-03-2021,56,40,84
02-04-2021,57,40,87
02-05-2021,57,40,90
02-06-2021,58,40,93
02-07-2021,58,40,96
02-08-2021,59,40,99
02-09-2021,59,40,102
02-10-2021,60,39,106
02-11-2021,61,39,109
02-12-2021,62,39,112
02-13-2021,62,39,116
02-14-2021,63,39,119
02-15-2021,64,39,123
02-16-2021,65,39,126
02-17-2021,66,39,130
02-18-2021,67,39,133
02-19-2021,67,40,137
02-20-2021,69,40,140
02-21-2021,69,40,144
02-22-2021,70,41,148
02-23-2021,71,41,151
02-24-2021,72,41,155
02-25-2021,73,42,158
02-26-2021,74,42,161
02-27-2021,75,42,164
02-28-2021,76,42,167
03-01-2021,76,42,170
03-02-2021,77,43,172
03-03-2021,79,43,175
03-04-2021,80,44,177
03-05-2021,82,44,179
03-06-2021,83,45,181
