date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-19-2020,102.71,,,,,,,,4064,,,actual
12-26-2020,104.54,,,,,,,,4393,,,actual
01-02-2021,106.9,,,,,,,,4815,,,actual
01-09-2021,95.24,2727,2643,2796,93.74,96.96,2727 [2643 - 2796],95.24% [93.74% - 96.96%],2727,2459,3035,projected
01-16-2021,95.38,2696,2582,2838,92.72,98.15,2696 [2582 - 2838],95.38% [92.72% - 98.15%],2752,2276,3248,projected
01-23-2021,94.89,2526,2401,2679,90.92,99.56,2526 [2401 - 2679],94.89% [90.92% - 99.56%],2665,1955,3501,projected
01-30-2021,94.05,2419,2277,2614,89.62,99.45,2419 [2277 - 2614],94.05% [89.62% - 99.45%],2514,1722,3481,projected
02-06-2021,93.4,2272,2118,2508,88.21,100.58,2272 [2118 - 2508],93.4% [88.21% - 100.58%],2398,1470,3684,projected
02-13-2021,92.6,2149,1984,2404,86.84,101.3,2149 [1984 - 2404],92.6% [86.84% - 101.3%],2256,1224,3812,projected
02-20-2021,91.87,1984,1810,2258,85.63,101.59,1984 [1810 - 2258],91.87% [85.63% - 101.59%],2124,1007,3864,projected
