date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-24-2021,84.27,,,,,,,,143,,,actual
05-01-2021,83.76,,,,,,,,126,,,actual
05-08-2021,83.56,,,,,,,,119,,,actual
05-15-2021,81.97,49,49,51,81.7,82.09,49 [49 - 51],81.97% [81.7% - 82.09%],66,57,70,projected
05-22-2021,81.76,51,48,53,81.37,82.03,51 [48 - 53],81.76% [81.37% - 82.03%],59,46,68,projected
05-29-2021,81.91,56,52,58,81.14,82.18,56 [52 - 58],81.91% [81.14% - 82.18%],64,38,73,projected
06-05-2021,82.09,60,54,62,80.81,82.48,60 [54 - 62],82.09% [80.81% - 82.48%],70,27,83,projected
06-12-2021,82.15,54,48,59,80.78,82.54,54 [48 - 59],82.15% [80.78% - 82.54%],72,26,85,projected
06-19-2021,81.82,49,43,55,80.54,82.78,49 [43 - 55],81.82% [80.54% - 82.78%],61,18,93,projected
06-26-2021,81.55,36,30,44,80.36,82.99,36 [30 - 44],81.55% [80.36% - 82.99%],52,12,100,projected
