date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-10-2021,83.0,,,,,,,,36,,,actual
04-17-2021,82.92,,,,,,,,35,,,actual
04-24-2021,83.09,,,,,,,,37,,,actual
05-01-2021,86.01,65,61,70,84.75,88.09,65 [61 - 70],86.01% [84.75% - 88.09%],72,57,97,projected
05-08-2021,87.42,77,72,84,84.34,90.93,77 [72 - 84],87.42% [84.34% - 90.93%],89,52,131,projected
05-15-2021,87.76,79,73,88,84.0,93.18,79 [73 - 88],87.76% [84.0% - 93.18%],93,48,158,projected
05-22-2021,88.09,83,77,96,83.84,94.6,83 [77 - 96],88.09% [83.84% - 94.6%],97,46,175,projected
05-29-2021,87.92,77,70,90,83.84,95.43,77 [70 - 90],87.92% [83.84% - 95.43%],95,46,185,projected
06-05-2021,87.17,66,59,79,83.25,95.51,66 [59 - 79],87.17% [83.25% - 95.51%],86,39,186,projected
06-12-2021,86.09,43,38,56,82.25,93.93,43 [38 - 56],86.09% [82.25% - 93.93%],73,27,167,projected
