HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.79,147,132,181,80.47,84.2,147 [132 - 181],81.79% [80.47% - 84.2%],05-12-2020
2,AL- DOTHAN,80.0,0,0,2,80.0,80.75,0 [0 - 2],80.0% [80.0% - 80.75%],05-12-2020
5,AL- HUNTSVILLE,81.02,14,14,20,80.37,82.87,14 [14 - 20],81.02% [80.37% - 82.87%],05-12-2020
6,AL- MOBILE,81.66,42,39,49,80.7,83.05,42 [39 - 49],81.66% [80.7% - 83.05%],05-12-2020
7,AL- MONTGOMERY,80.97,14,14,18,80.45,82.85,14 [14 - 18],80.97% [80.45% - 82.85%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,14,17,80.7,83.21,14 [14 - 17],81.46% [80.7% - 83.21%],05-12-2020
11,AZ- MESA,85.55,106,98,126,82.88,91.87,106 [98 - 126],85.55% [82.88% - 91.87%],05-12-2020
12,AZ- PHOENIX,83.59,269,249,321,81.85,87.67,269 [249 - 321],83.59% [81.85% - 87.67%],05-12-2020
14,AZ- SUN CITY,82.3,14,14,18,81.11,84.81,14 [14 - 18],82.3% [81.11% - 84.81%],05-12-2020
15,AZ- TUCSON,82.78,68,62,81,81.11,85.94,68 [62 - 81],82.78% [81.11% - 85.94%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.79,43,37,50,80.1,81.7,43 [37 - 50],80.79% [80.1% - 81.7%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.2,0 [0 - 0],80.0% [80.0% - 80.2%],05-12-2020
23,CA- ORANGE CO.,82.98,227,207,276,81.23,87.01,227 [207 - 276],82.98% [81.23% - 87.01%],05-12-2020
25,CA- BAKERSFIELD,81.1,35,32,43,80.39,82.43,35 [32 - 43],81.1% [80.39% - 82.43%],05-12-2020
31,CA- CHICO,80.92,0,0,3,80.0,83.59,0 [0 - 3],80.92% [80.0% - 83.59%],05-12-2020
33,CA- CONTRA COSTA CO.,89.33,182,166,219,83.79,101.22,182 [166 - 219],89.33% [83.79% - 101.22%],05-12-2020
43,CA- FRESNO,81.92,42,38,52,80.53,84.51,42 [38 - 52],81.92% [80.53% - 84.51%],05-12-2020
56,CA- LOS ANGELES,82.73,673,614,818,81.11,86.4,673 [614 - 818],82.73% [81.11% - 86.4%],05-12-2020
58,CA- MODESTO,84.29,70,64,88,81.51,90.65,70 [64 - 88],84.29% [81.51% - 90.65%],05-12-2020
62,CA- NAPA,84.97,28,25,33,80.86,91.68,28 [25 - 33],84.97% [80.86% - 91.68%],05-12-2020
65,CA- ALAMEDA CO.,88.38,278,255,334,83.4,98.97,278 [255 - 334],88.38% [83.4% - 98.97%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,81.97,19,18,23,80.76,84.65,19 [18 - 23],81.97% [80.76% - 84.65%],05-12-2020
73,CA- REDDING,82.39,23,20,29,80.46,86.1,23 [20 - 29],82.39% [80.46% - 86.1%],05-12-2020
77,CA- SACRAMENTO,86.19,294,268,354,82.42,94.17,294 [268 - 354],86.19% [82.42% - 94.17%],05-12-2020
78,CA- SALINAS,85.24,35,33,45,82.14,92.36,35 [33 - 45],85.24% [82.14% - 92.36%],05-12-2020
79,CA- SAN BERNARDINO,83.33,187,172,230,81.35,87.89,187 [172 - 230],83.33% [81.35% - 87.89%],05-12-2020
80,CA- SAN DIEGO,84.8,336,306,407,81.88,91.13,336 [306 - 407],84.8% [81.88% - 91.13%],05-12-2020
81,CA- SAN FRANCISCO,85.0,248,227,297,82.05,91.24,248 [227 - 297],85.0% [82.05% - 91.24%],05-12-2020
82,CA- SAN JOSE,91.02,330,303,394,84.63,104.62,330 [303 - 394],91.02% [84.63% - 104.62%],05-12-2020
83,CA- SAN LUIS OBISPO,85.08,21,19,26,81.97,91.62,21 [19 - 26],85.08% [81.97% - 91.62%],05-12-2020
85,CA- SAN MATEO CO.,85.95,154,141,185,82.45,93.28,154 [141 - 185],85.95% [82.45% - 93.28%],05-12-2020
86,CA- SANTA BARBARA,83.39,28,26,35,81.35,87.56,28 [26 - 35],83.39% [81.35% - 87.56%],05-12-2020
87,CA- SANTA CRUZ,90.81,35,32,44,84.74,106.18,35 [32 - 44],90.81% [84.74% - 106.18%],05-12-2020
89,CA- SANTA ROSA,83.69,63,58,78,81.45,88.7,63 [58 - 78],83.69% [81.45% - 88.7%],05-12-2020
91,CA- STOCKTON,87.2,70,64,86,82.73,96.37,70 [64 - 86],87.2% [82.73% - 96.37%],05-12-2020
96,CA- VENTURA,83.73,56,52,69,81.59,88.77,56 [52 - 69],83.73% [81.59% - 88.77%],05-12-2020
101,CO- BOULDER,88.32,36,33,43,84.0,96.84,36 [33 - 43],88.32% [84.0% - 96.84%],05-12-2020
102,CO- COLORADO SPRINGS,86.44,64,57,75,82.8,93.14,64 [57 - 75],86.44% [82.8% - 93.14%],05-12-2020
103,CO- DENVER,87.9,374,341,438,83.77,95.99,374 [341 - 438],87.9% [83.77% - 95.99%],05-12-2020
104,CO- FORT COLLINS,84.28,25,24,30,82.19,88.92,25 [24 - 30],84.28% [82.19% - 88.92%],05-12-2020
105,CO- GRAND JUNCTION,87.46,55,51,64,83.54,94.39,55 [51 - 64],87.46% [83.54% - 94.39%],05-12-2020
106,CO- GREELEY,84.92,34,31,41,82.19,90.04,34 [31 - 41],84.92% [82.19% - 90.04%],05-12-2020
107,CO- PUEBLO,81.08,6,6,8,80.5,82.13,6 [6 - 8],81.08% [80.5% - 82.13%],05-12-2020
109,CT- BRIDGEPORT,95.7,263,240,298,86.08,109.91,263 [240 - 298],95.7% [86.08% - 109.91%],05-12-2020
110,CT- HARTFORD,87.44,238,213,274,82.21,95.02,238 [213 - 274],87.44% [82.21% - 95.02%],05-12-2020
111,CT- NEW HAVEN,90.04,382,346,438,83.5,99.96,382 [346 - 438],90.04% [83.5% - 99.96%],05-12-2020
112,DE- WILMINGTON,84.16,72,66,84,82.15,88.32,72 [66 - 84],84.16% [82.15% - 88.32%],05-12-2020
113,DC- WASHINGTON,94.08,770,716,858,87.6,103.67,770 [716 - 858],94.08% [87.6% - 103.67%],05-12-2020
115,FL- BRADENTON,81.94,7,7,9,80.85,83.81,7 [7 - 9],81.94% [80.85% - 83.81%],05-12-2020
116,FL- CLEARWATER,81.03,14,14,17,80.49,82.38,14 [14 - 17],81.03% [80.49% - 82.38%],05-12-2020
118,FL- FORT LAUDERDALE,81.67,140,129,171,80.69,84.01,140 [129 - 171],81.67% [80.69% - 84.01%],05-12-2020
119,FL- FORT MYERS,81.22,42,39,54,80.42,83.16,42 [39 - 54],81.22% [80.42% - 83.16%],05-12-2020
120,FL- GAINESVILLE,80.44,7,7,12,80.05,81.85,7 [7 - 12],80.44% [80.05% - 81.85%],05-12-2020
122,FL- HUDSON,81.19,14,13,16,80.24,82.64,14 [13 - 16],81.19% [80.24% - 82.64%],05-12-2020
123,FL- JACKSONVILLE,81.02,45,40,57,80.14,82.54,45 [40 - 57],81.02% [80.14% - 82.54%],05-12-2020
124,FL- LAKELAND,80.99,7,7,10,80.37,82.72,7 [7 - 10],80.99% [80.37% - 82.72%],05-12-2020
127,FL- MIAMI,81.6,169,155,209,80.64,84.04,169 [155 - 209],81.6% [80.64% - 84.04%],05-12-2020
