HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,84.01,334,297,418,81.29,90.08,334 [297 - 418],84.01% [81.29% - 90.08%],05-18-2020
2,AL- DOTHAN,80.58,4,2,10,80.0,83.39,4 [2 - 10],80.58% [80.0% - 83.39%],05-18-2020
5,AL- HUNTSVILLE,83.2,58,53,72,81.12,87.71,58 [53 - 72],83.2% [81.12% - 87.71%],05-18-2020
6,AL- MOBILE,82.44,67,61,86,80.95,86.48,67 [61 - 86],82.44% [80.95% - 86.48%],05-18-2020
7,AL- MONTGOMERY,82.78,39,35,54,80.97,88.67,39 [35 - 54],82.78% [80.97% - 88.67%],05-18-2020
9,AL- TUSCALOOSA,83.21,29,26,40,80.8,89.82,29 [26 - 40],83.21% [80.8% - 89.82%],05-18-2020
11,AZ- MESA,87.65,148,136,192,83.64,100.96,148 [136 - 192],87.65% [83.64% - 100.96%],05-18-2020
12,AZ- PHOENIX,84.9,367,337,476,82.34,93.47,367 [337 - 476],84.9% [82.34% - 93.47%],05-18-2020
14,AZ- SUN CITY,83.19,22,20,30,81.48,88.77,22 [20 - 30],83.19% [81.48% - 88.77%],05-18-2020
15,AZ- TUCSON,83.81,93,85,125,81.58,91.17,93 [85 - 125],83.81% [81.58% - 91.17%],05-18-2020
16,AR- FORT SMITH,80.18,0,0,1,80.0,80.78,0 [0 - 1],80.18% [80.0% - 80.78%],05-18-2020
18,AR- JONESBORO,80.46,0,0,2,80.0,81.44,0 [0 - 2],80.46% [80.0% - 81.44%],05-18-2020
19,AR- LITTLE ROCK,82.13,120,107,151,80.54,85.34,120 [107 - 151],82.13% [80.54% - 85.34%],05-18-2020
21,AR- SPRINGDALE,80.89,7,7,10,80.28,82.65,7 [7 - 10],80.89% [80.28% - 82.65%],05-18-2020
22,AR- TEXARKANA,80.8,5,4,7,80.0,82.04,5 [4 - 7],80.8% [80.0% - 82.04%],05-18-2020
23,CA- ORANGE CO.,82.98,225,201,284,80.85,87.79,225 [201 - 284],82.98% [80.85% - 87.79%],05-18-2020
25,CA- BAKERSFIELD,81.05,36,32,47,80.25,82.96,36 [32 - 47],81.05% [80.25% - 82.96%],05-18-2020
31,CA- CHICO,81.46,7,6,11,80.0,85.0,7 [6 - 11],81.46% [80.0% - 85.0%],05-18-2020
33,CA- CONTRA COSTA CO.,88.2,160,143,198,82.15,100.32,160 [143 - 198],88.2% [82.15% - 100.32%],05-18-2020
43,CA- FRESNO,81.84,38,34,51,80.44,85.34,38 [34 - 51],81.84% [80.44% - 85.34%],05-18-2020
56,CA- LOS ANGELES,82.66,658,584,832,80.75,87.02,658 [584 - 832],82.66% [80.75% - 87.02%],05-18-2020
58,CA- MODESTO,84.68,79,70,100,81.16,92.16,79 [70 - 100],84.68% [81.16% - 92.16%],05-18-2020
62,CA- NAPA,84.71,21,19,29,80.69,92.2,21 [19 - 29],84.71% [80.69% - 92.2%],05-18-2020
65,CA- ALAMEDA CO.,87.27,242,217,299,82.07,97.99,242 [217 - 299],87.27% [82.07% - 97.99%],05-18-2020
69,CA- PALM SPR/RANCHO MIR.,82.03,18,16,24,80.47,85.32,18 [16 - 24],82.03% [80.47% - 85.32%],05-18-2020
73,CA- REDDING,82.22,21,19,28,80.37,86.47,21 [19 - 28],82.22% [80.37% - 86.47%],05-18-2020
77,CA- SACRAMENTO,85.84,276,245,345,81.51,94.9,276 [245 - 345],85.84% [81.51% - 94.9%],05-18-2020
78,CA- SALINAS,85.11,39,35,50,81.13,93.62,39 [35 - 50],85.11% [81.13% - 93.62%],05-18-2020
79,CA- SAN BERNARDINO,83.44,194,172,247,80.95,89.1,194 [172 - 247],83.44% [80.95% - 89.1%],05-18-2020
80,CA- SAN DIEGO,84.47,311,276,393,81.21,91.77,311 [276 - 393],84.47% [81.21% - 91.77%],05-18-2020
81,CA- SAN FRANCISCO,84.3,215,192,264,81.16,90.57,215 [192 - 264],84.3% [81.16% - 90.57%],05-18-2020
82,CA- SAN JOSE,89.3,278,248,339,82.58,102.5,278 [248 - 339],89.3% [82.58% - 102.5%],05-18-2020
83,CA- SAN LUIS OBISPO,84.48,17,15,22,80.88,92.06,17 [15 - 22],84.48% [80.88% - 92.06%],05-18-2020
85,CA- SAN MATEO CO.,85.01,133,120,164,81.48,92.24,133 [120 - 164],85.01% [81.48% - 92.24%],05-18-2020
86,CA- SANTA BARBARA,83.23,28,26,36,80.93,88.39,28 [26 - 36],83.23% [80.93% - 88.39%],05-18-2020
87,CA- SANTA CRUZ,90.28,35,32,44,82.79,106.18,35 [32 - 44],90.28% [82.79% - 106.18%],05-18-2020
89,CA- SANTA ROSA,83.47,62,56,78,81.02,88.81,62 [56 - 78],83.47% [81.02% - 88.81%],05-18-2020
91,CA- STOCKTON,86.71,67,59,84,81.79,96.93,67 [59 - 84],86.71% [81.79% - 96.93%],05-18-2020
96,CA- VENTURA,83.72,56,51,72,80.95,89.66,56 [51 - 72],83.72% [80.95% - 89.66%],05-18-2020
101,CO- BOULDER,90.26,45,41,57,84.21,106.11,45 [41 - 57],90.26% [84.21% - 106.11%],05-18-2020
102,CO- COLORADO SPRINGS,88.98,89,80,112,83.0,102.32,89 [80 - 112],88.98% [83.0% - 102.32%],05-18-2020
103,CO- DENVER,89.5,451,409,562,83.71,104.39,451 [409 - 562],89.5% [83.71% - 104.39%],05-18-2020
