HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,83.49,292,261,395,81.1,90.73,292 [261 - 395],83.49% [81.1% - 90.73%],05-12-2020
2,AL- DOTHAN,80.85,10,8,17,80.0,84.52,10 [8 - 17],80.85% [80.0% - 84.52%],05-12-2020
5,AL- HUNTSVILLE,82.91,54,49,72,80.9,88.46,54 [49 - 72],82.91% [80.9% - 88.46%],05-12-2020
6,AL- MOBILE,82.88,77,70,104,81.16,88.19,77 [70 - 104],82.88% [81.16% - 88.19%],05-12-2020
7,AL- MONTGOMERY,82.53,35,32,51,80.45,88.15,35 [32 - 51],82.53% [80.45% - 88.15%],05-12-2020
9,AL- TUSCALOOSA,82.39,23,21,35,80.7,90.12,23 [21 - 35],82.39% [80.7% - 90.12%],05-12-2020
11,AZ- MESA,95.3,299,272,378,87.02,119.09,299 [272 - 378],95.3% [87.02% - 119.09%],05-12-2020
12,AZ- PHOENIX,89.85,744,676,936,84.42,105.03,744 [676 - 936],89.85% [84.42% - 105.03%],05-12-2020
14,AZ- SUN CITY,86.39,48,44,62,82.84,96.3,48 [44 - 62],86.39% [82.84% - 96.3%],05-12-2020
15,AZ- TUCSON,87.78,192,174,251,83.21,101.35,192 [174 - 251],87.78% [83.21% - 101.35%],05-12-2020
16,AR- FORT SMITH,80.07,0,0,5,80.0,81.8,0 [0 - 5],80.07% [80.0% - 81.8%],05-12-2020
18,AR- JONESBORO,80.48,0,0,1,80.0,80.77,0 [0 - 1],80.48% [80.0% - 80.77%],05-12-2020
19,AR- LITTLE ROCK,81.66,90,79,121,80.17,84.8,90 [79 - 121],81.66% [80.17% - 84.8%],05-12-2020
21,AR- SPRINGDALE,81.16,7,6,10,80.09,82.65,7 [6 - 10],81.16% [80.09% - 82.65%],05-12-2020
22,AR- TEXARKANA,80.63,0,0,4,80.0,83.06,0 [0 - 4],80.63% [80.0% - 83.06%],05-12-2020
23,CA- ORANGE CO.,84.97,375,334,507,81.65,95.27,375 [334 - 507],84.97% [81.65% - 95.27%],05-12-2020
25,CA- BAKERSFIELD,81.86,63,56,90,80.47,86.14,63 [56 - 90],81.86% [80.47% - 86.14%],05-12-2020
31,CA- CHICO,83.14,17,15,26,80.78,90.78,17 [15 - 26],83.14% [80.78% - 90.78%],05-12-2020
33,CA- CONTRA COSTA CO.,93.08,259,232,334,84.19,116.45,259 [232 - 334],93.08% [84.19% - 116.45%],05-12-2020
43,CA- FRESNO,83.27,70,62,100,80.79,91.04,70 [62 - 100],83.27% [80.79% - 91.04%],05-12-2020
56,CA- LOS ANGELES,83.23,1098,975,1483,81.05,89.74,1098 [975 - 1483],83.23% [81.05% - 89.74%],05-12-2020
58,CA- MODESTO,87.82,130,116,177,82.39,103.91,130 [116 - 177],87.82% [82.39% - 103.91%],05-12-2020
