date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,95.15,,,,,,,,2711,,,actual
01-16-2021,95.76,,,,,,,,2820,,,actual
01-23-2021,100.81,,,,,,,,3724,,,actual
01-30-2021,103.58,2501,2449,2566,102.8,104.51,2501 [2449 - 2566],103.58% [102.8% - 104.51%],4220,4080,4386,projected
02-06-2021,104.44,2577,2482,2703,100.42,109.59,2577 [2482 - 2703],104.44% [100.42% - 109.59%],4375,3654,5296,projected
02-13-2021,105.19,2666,2531,2851,98.37,114.41,2666 [2531 - 2851],105.19% [98.37% - 114.41%],4509,3288,6159,projected
02-20-2021,105.53,2652,2489,2902,96.88,117.75,2652 [2489 - 2902],105.53% [96.88% - 117.75%],4569,3021,6757,projected
02-27-2021,105.4,2435,2269,2722,95.85,119.44,2435 [2269 - 2722],105.4% [95.85% - 119.44%],4546,2837,7059,projected
03-06-2021,103.8,2089,1922,2385,93.09,121.32,2089 [1922 - 2385],103.8% [93.09% - 121.32%],4259,2342,7396,projected
03-13-2021,100.74,1674,1523,1965,90.08,119.84,1674 [1523 - 1965],100.74% [90.08% - 119.84%],3712,1805,7130,projected
