HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,83.27,274,241,346,80.6,89.01,274 [241 - 346],83.27% [80.6% - 89.01%],05-12-2020
2,AL- DOTHAN,80.57,7,6,14,80.0,84.22,7 [6 - 14],80.57% [80.0% - 84.22%],05-12-2020
5,AL- HUNTSVILLE,83.06,57,51,70,80.64,87.71,57 [51 - 70],83.06% [80.64% - 87.71%],05-12-2020
6,AL- MOBILE,82.69,71,64,93,80.95,87.67,71 [64 - 93],82.69% [80.95% - 87.67%],05-12-2020
7,AL- MONTGOMERY,82.53,35,32,47,80.45,87.31,35 [32 - 47],82.53% [80.45% - 87.31%],05-12-2020
9,AL- TUSCALOOSA,82.18,21,20,31,80.7,89.02,21 [20 - 31],82.18% [80.7% - 89.02%],05-12-2020
11,AZ- MESA,93.32,259,237,329,85.76,116.21,259 [237 - 329],93.32% [85.76% - 116.21%],05-12-2020
12,AZ- PHOENIX,88.46,638,583,806,83.63,102.94,638 [583 - 806],88.46% [83.63% - 102.94%],05-12-2020
14,AZ- SUN CITY,85.59,41,38,53,82.35,95.19,41 [38 - 53],85.59% [82.35% - 95.19%],05-12-2020
15,AZ- TUCSON,86.88,170,155,227,82.65,101.16,170 [155 - 227],86.88% [82.65% - 101.16%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,5,80.0,81.87,0 [0 - 5],80.0% [80.0% - 81.87%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.66,0 [0 - 0],80.0% [80.0% - 80.66%],05-12-2020
19,AR- LITTLE ROCK,81.06,56,49,75,80.1,83.22,56 [49 - 75],81.06% [80.1% - 83.22%],05-12-2020
21,AR- SPRINGDALE,81.16,7,6,9,80.0,82.55,7 [6 - 9],81.16% [80.0% - 82.55%],05-12-2020
22,AR- TEXARKANA,80.63,0,0,4,80.0,83.06,0 [0 - 4],80.63% [80.0% - 83.06%],05-12-2020
23,CA- ORANGE CO.,83.58,273,247,376,81.31,92.39,273 [247 - 376],83.58% [81.31% - 92.39%],05-12-2020
25,CA- BAKERSFIELD,81.39,48,44,72,80.47,85.53,48 [44 - 72],81.39% [80.47% - 85.53%],05-12-2020
31,CA- CHICO,81.84,7,7,15,80.78,90.0,7 [7 - 15],81.84% [80.78% - 90.0%],05-12-2020
33,CA- CONTRA COSTA CO.,88.03,158,142,206,82.7,104.51,158 [142 - 206],88.03% [82.7% - 104.51%],05-12-2020
43,CA- FRESNO,82.35,53,47,79,80.53,89.77,53 [47 - 79],82.35% [80.53% - 89.77%],05-12-2020
56,CA- LOS ANGELES,83.13,773,699,1073,81.13,91.03,773 [699 - 1073],83.13% [81.13% - 91.03%],05-12-2020
58,CA- MODESTO,85.53,94,84,130,81.51,99.2,94 [84 - 130],85.53% [81.51% - 99.2%],05-12-2020
62,CA- NAPA,84.96,28,25,39,80.86,97.35,28 [25 - 39],84.96% [80.86% - 97.35%],05-12-2020
65,CA- ALAMEDA CO.,87.04,235,214,306,82.46,101.31,235 [214 - 306],87.04% [82.46% - 101.31%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,82.56,23,21,33,80.85,88.83,23 [21 - 33],82.56% [80.85% - 88.83%],05-12-2020
73,CA- REDDING,82.24,21,19,33,80.46,89.33,21 [19 - 33],82.24% [80.46% - 89.33%],05-12-2020
77,CA- SACRAMENTO,86.46,303,273,407,82.03,100.92,303 [273 - 407],86.46% [82.03% - 100.92%],05-12-2020
78,CA- SALINAS,85.99,42,39,60,82.14,100.18,42 [39 - 60],85.99% [82.14% - 100.18%],05-12-2020
79,CA- SAN BERNARDINO,84.38,249,225,345,81.56,95.15,249 [225 - 345],84.38% [81.56% - 95.15%],05-12-2020
80,CA- SAN DIEGO,85.05,353,319,485,81.72,97.42,353 [319 - 485],85.05% [81.72% - 97.42%],05-12-2020
81,CA- SAN FRANCISCO,84.16,209,190,271,81.42,92.5,209 [190 - 271],84.16% [81.42% - 92.5%],05-12-2020
82,CA- SAN JOSE,88.56,257,233,332,82.97,105.58,257 [233 - 332],88.56% [82.97% - 105.58%],05-12-2020
83,CA- SAN LUIS OBISPO,85.08,21,19,30,81.1,97.76,21 [19 - 30],85.08% [81.1% - 97.76%],05-12-2020
85,CA- SAN MATEO CO.,84.7,122,111,159,81.59,93.98,122 [111 - 159],84.7% [81.59% - 93.98%],05-12-2020
86,CA- SANTA BARBARA,83.58,30,27,45,81.24,93.56,30 [27 - 45],83.58% [81.24% - 93.56%],05-12-2020
87,CA- SANTA CRUZ,90.87,35,32,48,83.62,113.7,35 [32 - 48],90.87% [83.62% - 113.7%],05-12-2020
89,CA- SANTA ROSA,83.59,61,56,83,81.29,91.45,61 [56 - 83],83.59% [81.29% - 91.45%],05-12-2020
91,CA- STOCKTON,87.4,73,66,99,82.35,103.8,73 [66 - 99],87.4% [82.35% - 103.8%],05-12-2020
96,CA- VENTURA,84.32,66,60,93,81.59,95.38,66 [60 - 93],84.32% [81.59% - 95.38%],05-12-2020
101,CO- BOULDER,93.5,63,58,75,85.05,111.16,63 [58 - 75],93.5% [85.05% - 111.16%],05-12-2020
102,CO- COLORADO SPRINGS,92.27,124,113,154,84.06,111.79,124 [113 - 154],92.27% [84.06% - 111.79%],05-12-2020
103,CO- DENVER,92.57,595,540,708,84.52,108.83,595 [540 - 708],92.57% [84.52% - 108.83%],05-12-2020
104,CO- FORT COLLINS,87.63,46,42,56,82.82,98.0,46 [42 - 56],87.63% [82.82% - 98.0%],05-12-2020
105,CO- GRAND JUNCTION,89.23,68,62,79,83.16,98.56,68 [62 - 79],89.23% [83.16% - 98.56%],05-12-2020
106,CO- GREELEY,89.11,67,61,81,83.09,100.72,67 [61 - 81],89.11% [83.09% - 100.72%],05-12-2020
107,CO- PUEBLO,82.42,15,13,21,80.5,86.89,15 [13 - 21],82.42% [80.5% - 86.89%],05-12-2020
109,CT- BRIDGEPORT,87.53,126,114,145,82.24,94.93,126 [114 - 145],87.53% [82.24% - 94.93%],05-12-2020
110,CT- HARTFORD,86.12,198,176,245,81.41,95.57,198 [176 - 245],86.12% [81.41% - 95.57%],05-12-2020
111,CT- NEW HAVEN,85.93,223,199,267,81.53,93.68,223 [199 - 267],85.93% [81.53% - 93.68%],05-12-2020
112,DE- WILMINGTON,87.2,130,121,150,83.44,94.07,130 [121 - 150],87.2% [83.44% - 94.07%],05-12-2020
113,DC- WASHINGTON,107.15,1487,1383,1671,94.37,129.75,1487 [1383 - 1671],107.15% [94.37% - 129.75%],05-12-2020
115,FL- BRADENTON,82.91,14,13,20,80.85,87.62,14 [13 - 20],82.91% [80.85% - 87.62%],05-12-2020
116,FL- CLEARWATER,81.8,28,26,36,80.73,84.95,28 [26 - 36],81.8% [80.73% - 84.95%],05-12-2020
118,FL- FORT LAUDERDALE,82.42,209,191,270,80.97,87.17,209 [191 - 270],82.42% [80.97% - 87.17%],05-12-2020
119,FL- FORT MYERS,81.96,74,67,98,80.6,86.22,74 [67 - 98],81.96% [80.6% - 86.22%],05-12-2020
120,FL- GAINESVILLE,80.85,14,14,24,80.38,84.18,14 [14 - 24],80.85% [80.38% - 84.18%],05-12-2020
122,FL- HUDSON,81.75,20,18,26,80.56,85.27,20 [18 - 26],81.75% [80.56% - 85.27%],05-12-2020
123,FL- JACKSONVILLE,82.16,101,89,132,80.63,86.21,101 [89 - 132],82.16% [80.63% - 86.21%],05-12-2020
124,FL- LAKELAND,82.08,17,16,23,80.84,85.9,17 [16 - 23],82.08% [80.84% - 85.9%],05-12-2020
127,FL- MIAMI,82.4,255,232,328,80.87,86.96,255 [232 - 328],82.4% [80.87% - 86.96%],05-12-2020
129,FL- OCALA,81.97,21,20,29,80.51,85.77,21 [20 - 29],81.97% [80.51% - 85.77%],05-12-2020
130,FL- ORLANDO,81.88,192,175,250,80.71,85.53,192 [175 - 250],81.88% [80.71% - 85.53%],05-12-2020
131,FL- ORMOND BEACH,81.31,21,19,26,80.24,83.63,21 [19 - 26],81.31% [80.24% - 83.63%],05-12-2020
133,FL- PANAMA CITY,81.15,7,6,8,80.0,82.26,7 [6 - 8],81.15% [80.0% - 82.26%],05-12-2020
134,FL- PENSACOLA,81.13,24,22,34,80.47,83.92,24 [22 - 34],81.13% [80.47% - 83.92%],05-12-2020
137,FL- SARASOTA,81.59,21,20,29,80.48,85.05,21 [20 - 29],81.59% [80.48% - 85.05%],05-12-2020
139,FL- ST PETERSBURG,81.49,21,20,28,80.63,84.13,21 [20 - 28],81.49% [80.63% - 84.13%],05-12-2020
140,FL- TALLAHASSEE,84.91,127,112,153,80.74,90.83,127 [112 - 153],84.91% [80.74% - 90.83%],05-12-2020
141,FL- TAMPA,82.05,83,76,107,80.85,85.7,83 [76 - 107],82.05% [80.85% - 85.7%],05-12-2020
142,GA- ALBANY,89.7,99,88,110,82.45,96.75,99 [88 - 110],89.7% [82.45% - 96.75%],05-12-2020
144,GA- ATLANTA,99.88,2540,2275,2915,85.84,119.43,2540 [2275 - 2915],99.88% [85.84% - 119.43%],05-12-2020
