HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.92,157,140,189,80.49,84.12,157 [140 - 189],81.92% [80.49% - 84.12%],05-12-2020
2,AL- DOTHAN,80.0,0,0,2,80.0,80.75,0 [0 - 2],80.0% [80.0% - 80.75%],05-12-2020
5,AL- HUNTSVILLE,81.52,26,24,30,80.37,82.82,26 [24 - 30],81.52% [80.37% - 82.82%],05-12-2020
6,AL- MOBILE,81.66,42,39,49,80.7,83.15,42 [39 - 49],81.66% [80.7% - 83.15%],05-12-2020
7,AL- MONTGOMERY,81.46,21,20,24,80.45,82.78,21 [20 - 24],81.46% [80.45% - 82.78%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,14,17,80.7,83.21,14 [14 - 17],81.46% [80.7% - 83.21%],05-12-2020
11,AZ- MESA,85.49,105,98,126,82.88,91.77,105 [98 - 126],85.49% [82.88% - 91.77%],05-12-2020
12,AZ- PHOENIX,83.53,263,244,315,81.85,87.59,263 [244 - 315],83.53% [81.85% - 87.59%],05-12-2020
14,AZ- SUN CITY,82.27,14,14,18,81.11,84.81,14 [14 - 18],82.27% [81.11% - 84.81%],05-12-2020
15,AZ- TUCSON,82.68,65,60,79,81.11,85.86,65 [60 - 79],82.68% [81.11% - 85.86%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.82,43,37,50,80.1,81.7,43 [37 - 50],80.82% [80.1% - 81.7%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.41,0 [0 - 0],80.0% [80.0% - 80.41%],05-12-2020
23,CA- ORANGE CO.,82.76,210,194,257,81.24,86.64,210 [194 - 257],82.76% [81.24% - 86.64%],05-12-2020
25,CA- BAKERSFIELD,80.92,28,26,37,80.39,82.35,28 [26 - 37],80.92% [80.39% - 82.35%],05-12-2020
31,CA- CHICO,80.92,0,0,3,80.31,83.59,0 [0 - 3],80.92% [80.31% - 83.59%],05-12-2020
33,CA- CONTRA COSTA CO.,88.62,168,155,204,83.79,100.32,168 [155 - 204],88.62% [83.79% - 100.32%],05-12-2020
43,CA- FRESNO,81.9,42,38,51,80.53,84.29,42 [38 - 51],81.9% [80.53% - 84.29%],05-12-2020
56,CA- LOS ANGELES,82.53,623,572,763,81.13,86.08,623 [572 - 763],82.53% [81.13% - 86.08%],05-12-2020
58,CA- MODESTO,83.91,63,58,81,81.51,90.12,63 [58 - 81],83.91% [81.51% - 90.12%],05-12-2020
62,CA- NAPA,84.96,28,25,33,81.03,91.17,28 [25 - 33],84.96% [81.03% - 91.17%],05-12-2020
65,CA- ALAMEDA CO.,87.76,259,238,313,83.46,98.14,259 [238 - 313],87.76% [83.46% - 98.14%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,81.82,14,14,19,80.76,84.37,14 [14 - 19],81.82% [80.76% - 84.37%],05-12-2020
73,CA- REDDING,82.24,21,19,27,80.55,85.82,21 [19 - 27],82.24% [80.55% - 85.82%],05-12-2020
77,CA- SACRAMENTO,85.77,273,250,331,82.42,93.52,273 [250 - 331],85.77% [82.42% - 93.52%],05-12-2020
78,CA- SALINAS,84.7,35,33,44,82.14,91.73,35 [33 - 44],84.7% [82.14% - 91.73%],05-12-2020
79,CA- SAN BERNARDINO,83.06,175,162,216,81.37,87.47,175 [162 - 216],83.06% [81.37% - 87.47%],05-12-2020
80,CA- SAN DIEGO,84.42,308,282,376,81.89,90.58,308 [282 - 376],84.42% [81.89% - 90.58%],05-12-2020
81,CA- SAN FRANCISCO,84.56,228,211,276,82.07,90.74,228 [211 - 276],84.56% [82.07% - 90.74%],05-12-2020
82,CA- SAN JOSE,90.14,303,279,364,84.66,103.53,303 [279 - 364],90.14% [84.66% - 103.53%],05-12-2020
83,CA- SAN LUIS OBISPO,85.08,21,20,25,81.97,90.96,21 [20 - 25],85.08% [81.97% - 90.96%],05-12-2020
85,CA- SAN MATEO CO.,85.52,143,132,173,82.45,92.69,143 [132 - 173],85.52% [82.45% - 92.69%],05-12-2020
86,CA- SANTA BARBARA,82.75,21,20,28,81.35,87.14,21 [20 - 28],82.75% [81.35% - 87.14%],05-12-2020
87,CA- SANTA CRUZ,90.75,35,33,43,84.74,105.07,35 [33 - 43],90.75% [84.74% - 105.07%],05-12-2020
89,CA- SANTA ROSA,83.35,56,52,71,81.5,88.28,56 [52 - 71],83.35% [81.5% - 88.28%],05-12-2020
91,CA- STOCKTON,86.72,70,64,85,82.73,95.52,70 [64 - 85],86.72% [82.73% - 95.52%],05-12-2020
96,CA- VENTURA,83.32,49,46,62,81.53,88.33,49 [46 - 62],83.32% [81.53% - 88.33%],05-12-2020
101,CO- BOULDER,88.9,38,35,45,83.79,97.47,38 [35 - 45],88.9% [83.79% - 97.47%],05-12-2020
102,CO- COLORADO SPRINGS,86.9,68,61,79,82.8,93.72,68 [61 - 79],86.9% [82.8% - 93.72%],05-12-2020
