HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,82.45,201,177,254,80.49,86.38,201 [177 - 254],82.45% [80.49% - 86.38%],05-12-2020
2,AL- DOTHAN,80.32,4,3,8,80.0,81.73,4 [3 - 8],80.32% [80.0% - 81.73%],05-12-2020
5,AL- HUNTSVILLE,82.13,36,32,44,80.37,85.11,36 [32 - 44],82.13% [80.37% - 85.11%],05-12-2020
6,AL- MOBILE,81.92,49,45,63,80.77,85.11,49 [45 - 63],81.92% [80.77% - 85.11%],05-12-2020
7,AL- MONTGOMERY,81.78,25,23,31,80.45,84.4,25 [23 - 31],81.78% [80.45% - 84.4%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,14,20,80.7,85.21,14 [14 - 20],81.46% [80.7% - 85.21%],05-12-2020
11,AZ- MESA,89.23,179,164,226,84.19,104.14,179 [164 - 226],89.23% [84.19% - 104.14%],05-12-2020
12,AZ- PHOENIX,85.87,442,406,557,82.69,95.45,442 [406 - 557],85.87% [82.69% - 95.45%],05-12-2020
14,AZ- SUN CITY,83.87,28,26,36,81.73,90.12,28 [26 - 36],83.87% [81.73% - 90.12%],05-12-2020
15,AZ- TUCSON,84.69,115,105,150,81.86,93.27,115 [105 - 150],84.69% [81.86% - 93.27%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,1,80.0,80.55,0 [0 - 1],80.0% [80.0% - 80.55%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.66,0 [0 - 0],80.0% [80.0% - 80.66%],05-12-2020
19,AR- LITTLE ROCK,81.06,56,49,71,80.1,82.84,56 [49 - 71],81.06% [80.1% - 82.84%],05-12-2020
21,AR- SPRINGDALE,81.16,7,6,8,80.0,81.32,7 [6 - 8],81.16% [80.0% - 81.32%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,1,80.0,80.82,0 [0 - 1],80.0% [80.0% - 80.82%],05-12-2020
23,CA- ORANGE CO.,82.68,203,184,275,81.01,88.65,203 [184 - 275],82.68% [81.01% - 88.65%],05-12-2020
25,CA- BAKERSFIELD,80.94,28,26,43,80.33,83.48,28 [26 - 43],80.94% [80.33% - 83.48%],05-12-2020
31,CA- CHICO,80.92,0,0,6,80.0,85.62,0 [0 - 6],80.92% [80.0% - 85.62%],05-12-2020
33,CA- CONTRA COSTA CO.,86.97,136,124,179,82.5,100.97,136 [124 - 179],86.97% [82.5% - 100.97%],05-12-2020
43,CA- FRESNO,81.86,41,37,57,80.44,86.18,41 [37 - 57],81.86% [80.44% - 86.18%],05-12-2020
56,CA- LOS ANGELES,82.37,585,529,795,80.88,87.78,585 [529 - 795],82.37% [80.88% - 87.78%],05-12-2020
58,CA- MODESTO,84.1,67,60,92,81.4,93.61,67 [60 - 92],84.1% [81.4% - 93.61%],05-12-2020
62,CA- NAPA,84.83,27,24,35,80.86,93.23,27 [24 - 35],84.83% [80.86% - 93.23%],05-12-2020
65,CA- ALAMEDA CO.,86.19,204,186,267,82.22,98.38,204 [186 - 267],86.19% [82.22% - 98.38%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,81.85,16,15,23,80.66,85.98,16 [15 - 23],81.85% [80.66% - 85.98%],05-12-2020
73,CA- REDDING,82.16,20,18,28,80.46,86.75,20 [18 - 28],82.16% [80.46% - 86.75%],05-12-2020
77,CA- SACRAMENTO,85.13,241,217,321,81.65,96.1,241 [217 - 321],85.13% [81.65% - 96.1%],05-12-2020
78,CA- SALINAS,84.6,35,32,48,81.39,95.01,35 [32 - 48],84.6% [81.39% - 95.01%],05-12-2020
79,CA- SAN BERNARDINO,83.16,179,162,244,81.18,90.29,179 [162 - 244],83.16% [81.18% - 90.29%],05-12-2020
80,CA- SAN DIEGO,83.95,275,248,372,81.35,92.83,275 [248 - 372],83.95% [81.35% - 92.83%],05-12-2020
81,CA- SAN FRANCISCO,83.63,179,163,234,81.32,90.78,179 [163 - 234],83.63% [81.32% - 90.78%],05-12-2020
82,CA- SAN JOSE,87.74,230,208,297,82.71,102.6,230 [208 - 297],87.74% [82.71% - 102.6%],05-12-2020
83,CA- SAN LUIS OBISPO,83.81,14,13,21,81.1,92.94,14 [13 - 21],83.81% [81.1% - 92.94%],05-12-2020
85,CA- SAN MATEO CO.,84.24,110,101,143,81.56,92.31,110 [101 - 143],84.24% [81.56% - 92.31%],05-12-2020
86,CA- SANTA BARBARA,82.71,21,19,32,80.72,89.42,21 [19 - 32],82.71% [80.72% - 89.42%],05-12-2020
87,CA- SANTA CRUZ,89.03,28,26,38,83.34,107.58,28 [26 - 38],89.03% [83.34% - 107.58%],05-12-2020
89,CA- SANTA ROSA,82.97,55,50,73,80.97,89.3,55 [50 - 73],82.97% [80.97% - 89.3%],05-12-2020
91,CA- STOCKTON,86.04,60,54,80,81.88,98.34,60 [54 - 80],86.04% [81.88% - 98.34%],05-12-2020
96,CA- VENTURA,83.25,48,44,67,81.21,90.81,48 [44 - 67],83.25% [81.21% - 90.81%],05-12-2020
101,CO- BOULDER,92.29,56,52,67,85.05,107.37,56 [52 - 67],92.29% [85.05% - 107.37%],05-12-2020
102,CO- COLORADO SPRINGS,90.46,105,95,127,83.57,104.93,105 [95 - 127],90.46% [83.57% - 104.93%],05-12-2020
103,CO- DENVER,91.22,534,485,634,84.21,105.16,534 [485 - 634],91.22% [84.21% - 105.16%],05-12-2020
104,CO- FORT COLLINS,86.65,40,37,48,82.82,95.18,40 [37 - 48],86.65% [82.82% - 95.18%],05-12-2020
105,CO- GRAND JUNCTION,88.89,68,62,79,83.28,98.18,68 [62 - 79],88.89% [83.28% - 98.18%],05-12-2020
106,CO- GREELEY,87.55,55,51,67,82.7,98.02,55 [51 - 67],87.55% [82.7% - 98.02%],05-12-2020
107,CO- PUEBLO,81.75,7,7,12,80.5,84.89,7 [7 - 12],81.75% [80.5% - 84.89%],05-12-2020
109,CT- BRIDGEPORT,86.99,116,104,135,81.89,94.81,116 [104 - 135],86.99% [81.89% - 94.81%],05-12-2020
110,CT- HARTFORD,84.79,153,134,188,80.8,91.49,153 [134 - 188],84.79% [80.8% - 91.49%],05-12-2020
111,CT- NEW HAVEN,84.78,180,159,221,81.04,91.99,180 [159 - 221],84.78% [81.04% - 91.99%],05-12-2020
112,DE- WILMINGTON,84.99,88,81,104,82.58,90.2,88 [81 - 104],84.99% [82.58% - 90.2%],05-12-2020
113,DC- WASHINGTON,100.38,1116,1038,1261,90.89,117.58,1116 [1038 - 1261],100.38% [90.89% - 117.58%],05-12-2020
115,FL- BRADENTON,81.94,7,7,12,80.85,85.92,7 [7 - 12],81.94% [80.85% - 85.92%],05-12-2020
116,FL- CLEARWATER,81.54,21,20,27,80.49,83.85,21 [20 - 27],81.54% [80.49% - 83.85%],05-12-2020
118,FL- FORT LAUDERDALE,82.21,189,173,239,80.87,85.95,189 [173 - 239],82.21% [80.87% - 85.95%],05-12-2020
119,FL- FORT MYERS,81.84,67,61,85,80.6,85.07,67 [61 - 85],81.84% [80.6% - 85.07%],05-12-2020
120,FL- GAINESVILLE,80.85,14,14,21,80.38,83.42,14 [14 - 21],80.85% [80.38% - 83.42%],05-12-2020
122,FL- HUDSON,81.49,14,13,19,80.24,84.15,14 [13 - 19],81.49% [80.24% - 84.15%],05-12-2020
123,FL- JACKSONVILLE,81.59,74,65,96,80.39,84.46,74 [65 - 96],81.59% [80.39% - 84.46%],05-12-2020
124,FL- LAKELAND,81.79,14,13,19,80.66,84.4,14 [13 - 19],81.79% [80.66% - 84.4%],05-12-2020
127,FL- MIAMI,82.21,233,212,293,80.81,85.84,233 [212 - 293],82.21% [80.81% - 85.84%],05-12-2020
129,FL- OCALA,81.97,21,20,26,80.51,84.31,21 [20 - 26],81.97% [80.51% - 84.31%],05-12-2020
130,FL- ORLANDO,81.59,162,147,202,80.62,84.2,162 [147 - 202],81.59% [80.62% - 84.2%],05-12-2020
131,FL- ORMOND BEACH,81.27,21,19,25,80.24,82.84,21 [19 - 25],81.27% [80.24% - 82.84%],05-12-2020
133,FL- PANAMA CITY,80.33,2,1,3,80.0,81.05,2 [1 - 3],80.33% [80.0% - 81.05%],05-12-2020
134,FL- PENSACOLA,80.98,21,20,27,80.3,82.94,21 [20 - 27],80.98% [80.3% - 82.94%],05-12-2020
137,FL- SARASOTA,81.34,18,17,23,80.48,83.74,18 [17 - 23],81.34% [80.48% - 83.74%],05-12-2020
139,FL- ST PETERSBURG,81.28,14,13,19,80.38,83.19,14 [13 - 19],81.28% [80.38% - 83.19%],05-12-2020
140,FL- TALLAHASSEE,84.09,108,94,125,80.3,87.97,108 [94 - 125],84.09% [80.3% - 87.97%],05-12-2020
141,FL- TAMPA,81.65,64,59,83,80.66,84.39,64 [59 - 83],81.65% [80.66% - 84.39%],05-12-2020
142,GA- ALBANY,89.59,98,88,112,82.45,98.44,98 [88 - 112],89.59% [82.45% - 98.44%],05-12-2020
144,GA- ATLANTA,96.42,2127,1908,2439,85.56,111.65,2127 [1908 - 2439],96.42% [85.56% - 111.65%],05-12-2020
145,GA- AUGUSTA,83.43,79,72,97,81.14,87.54,79 [72 - 97],83.43% [81.14% - 87.54%],05-12-2020
146,GA- COLUMBUS,84.7,55,49,64,81.43,89.13,55 [49 - 64],84.7% [81.43% - 89.13%],05-12-2020
147,GA- MACON,85.42,120,105,145,80.76,92.25,120 [105 - 145],85.42% [80.76% - 92.25%],05-12-2020
148,GA- ROME,93.31,97,88,111,84.23,106.23,97 [88 - 111],93.31% [84.23% - 106.23%],05-12-2020
149,GA- SAVANNAH,84.85,97,86,116,81.31,90.45,97 [86 - 116],84.85% [81.31% - 90.45%],05-12-2020
151,ID- BOISE,80.98,14,14,20,80.48,82.89,14 [14 - 20],80.98% [80.48% - 82.89%],05-12-2020
152,ID- IDAHO FALLS,80.0,0,0,0,80.0,81.08,0 [0 - 0],80.0% [80.0% - 81.08%],05-12-2020
154,IL- AURORA,107.51,141,130,167,92.33,139.96,141 [130 - 167],107.51% [92.33% - 139.96%],05-12-2020
155,IL- BLUE ISLAND,92.96,326,299,381,85.76,107.68,326 [299 - 381],92.96% [85.76% - 107.68%],05-12-2020
156,IL- CHICAGO,92.82,1094,1004,1278,85.7,107.36,1094 [1004 - 1278],92.82% [85.7% - 107.36%],05-12-2020
158,IL- ELGIN,110.32,326,300,381,93.44,144.64,326 [300 - 381],110.32% [93.44% - 144.64%],05-12-2020
161,IL- EVANSTON,98.13,434,398,507,88.07,118.58,434 [398 - 507],98.13% [88.07% - 118.58%],05-12-2020
