HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,83,1829,1829,1829,01-22-2020
2,AL- DOTHAN,80,0,0,0,01-22-2020
5,AL- HUNTSVILLE,81,230,230,230,01-22-2020
6,AL- MOBILE,82,454,454,454,01-22-2020
7,AL- MONTGOMERY,81,148,148,148,01-22-2020
9,AL- TUSCALOOSA,82,135,135,135,01-22-2020
11,AZ- MESA,89,1264,1264,1264,01-22-2020
12,AZ- PHOENIX,85,2816,2815,2816,01-22-2020
14,AZ- SUN CITY,83,210,210,210,01-22-2020
15,AZ- TUCSON,82,456,456,456,01-22-2020
16,AR- FORT SMITH,80,0,0,0,01-22-2020
18,AR- JONESBORO,80,0,0,0,01-22-2020
19,AR- LITTLE ROCK,81,723,723,723,01-22-2020
21,AR- SPRINGDALE,80,11,11,11,01-22-2020
22,AR- TEXARKANA,80,0,0,0,01-22-2020
23,CA- ORANGE CO.,86,3299,3296,3299,01-22-2020
25,CA- BAKERSFIELD,81,439,439,439,01-22-2020
31,CA- CHICO,81,77,77,77,01-22-2020
33,CA- CONTRA COSTA CO.,103,3304,3302,3304,01-22-2020
43,CA- FRESNO,83,538,538,538,01-22-2020
56,CA- LOS ANGELES,85,10029,10023,10029,01-22-2020
58,CA- MODESTO,89,1118,1117,1118,01-22-2020
62,CA- NAPA,92,494,494,494,01-22-2020
65,CA- ALAMEDA CO.,102,5176,5171,5176,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,83,272,272,272,01-22-2020
73,CA- REDDING,84,353,353,353,01-22-2020
77,CA- SACRAMENTO,92,4063,4062,4065,01-22-2020
78,CA- SALINAS,92,664,663,664,01-22-2020
79,CA- SAN BERNARDINO,86,2561,2560,2561,01-22-2020
80,CA- SAN DIEGO,89,4452,4450,4452,01-22-2020
81,CA- SAN FRANCISCO,93,4664,4659,4664,01-22-2020
82,CA- SAN JOSE,111,6604,6601,6605,01-22-2020
83,CA- SAN LUIS OBISPO,90,328,328,328,01-22-2020
85,CA- SAN MATEO CO.,96,3123,3118,3123,01-22-2020
86,CA- SANTA BARBARA,85,381,381,381,01-22-2020
87,CA- SANTA CRUZ,109,734,734,734,01-22-2020
89,CA- SANTA ROSA,88,1098,1097,1098,01-22-2020
91,CA- STOCKTON,96,1202,1202,1202,01-22-2020
96,CA- VENTURA,87,830,830,830,01-22-2020
101,CO- BOULDER,94,479,479,479,01-22-2020
102,CO- COLORADO SPRINGS,89,678,678,678,01-22-2020
103,CO- DENVER,94,4744,4741,4744,01-22-2020
104,CO- FORT COLLINS,87,334,334,334,01-22-2020
105,CO- GRAND JUNCTION,97,963,963,963,01-22-2020
106,CO- GREELEY,87,416,416,416,01-22-2020
107,CO- PUEBLO,81,77,77,77,01-22-2020
110,CT- HARTFORD,89,2155,2155,2155,01-22-2020
111,CT- NEW HAVEN,99,5257,5256,5258,01-22-2020
112,DE- WILMINGTON,87,922,922,922,01-22-2020
113,DC- WASHINGTON,280,76846,76846,76846,01-22-2020
115,FL- BRADENTON,85,291,291,291,01-22-2020
116,FL- CLEARWATER,83,383,383,383,01-22-2020
118,FL- FORT LAUDERDALE,85,3527,3525,3527,01-22-2020
119,FL- FORT MYERS,84,1196,1196,1196,01-22-2020
120,FL- GAINESVILLE,82,328,328,328,01-22-2020
122,FL- HUDSON,83,269,269,269,01-22-2020
123,FL- JACKSONVILLE,82,949,948,949,01-22-2020
124,FL- LAKELAND,83,259,259,259,01-22-2020
127,FL- MIAMI,86,4601,4600,4601,01-22-2020
129,FL- OCALA,83,314,314,314,01-22-2020
130,FL- ORLANDO,83,2418,2417,2418,01-22-2020
131,FL- ORMOND BEACH,82,304,304,304,01-22-2020
133,FL- PANAMA CITY,80,0,0,0,01-22-2020
134,FL- PENSACOLA,82,419,419,419,01-22-2020
137,FL- SARASOTA,83,335,335,335,01-22-2020
139,FL- ST PETERSBURG,82,310,310,310,01-22-2020
140,FL- TALLAHASSEE,81,271,271,271,01-22-2020
141,FL- TAMPA,83,1141,1141,1141,01-22-2020
142,GA- ALBANY,95,1074,1074,1074,01-22-2020
144,GA- ATLANTA,94,12196,12189,12196,01-22-2020
145,GA- AUGUSTA,82,399,399,399,01-22-2020
146,GA- COLUMBUS,81,173,173,173,01-22-2020
147,GA- MACON,81,294,294,294,01-22-2020
148,GA- ROME,93,676,676,676,01-22-2020
149,GA- SAVANNAH,82,357,357,357,01-22-2020
154,IL- AURORA,93,504,504,504,01-22-2020
155,IL- BLUE ISLAND,87,1386,1385,1386,01-22-2020
156,IL- CHICAGO,87,4655,4651,4655,01-22-2020
158,IL- ELGIN,96,1244,1244,1244,01-22-2020
161,IL- EVANSTON,91,1845,1844,1845,01-22-2020
163,IL- HINSDALE,90,827,827,827,01-22-2020
164,IL- JOLIET,91,1059,1059,1059,01-22-2020
166,IL- MELROSE PARK,91,2373,2371,2373,01-22-2020
170,IL- PEORIA,81,175,175,175,01-22-2020
171,IL- ROCKFORD,84,489,489,489,01-22-2020
172,IL- SPRINGFIELD,80,84,84,84,01-22-2020
173,IL- URBANA,80,57,57,57,01-22-2020
175,IL- BLOOMINGTON,84,84,84,84,01-22-2020
179,IN- EVANSVILLE,80,0,0,0,01-22-2020
180,IN- FORT WAYNE,80,0,0,0,01-22-2020
181,IN- GARY,80,21,21,21,01-22-2020
183,IN- INDIANAPOLIS,80,49,49,49,01-22-2020
184,IN- LAFAYETTE,80,0,0,0,01-22-2020
185,IN- MUNCIE,80,0,0,0,01-22-2020
186,IN- MUNSTER,81,126,126,126,01-22-2020
187,IN- SOUTH BEND,80,21,21,21,01-22-2020
188,IN- TERRE HAUTE,80,0,0,0,01-22-2020
191,IA- DAVENPORT,80,20,20,20,01-22-2020
192,IA- DES MOINES,81,281,281,281,01-22-2020
193,IA- DUBUQUE,82,100,100,100,01-22-2020
194,IA- IOWA CITY,83,383,383,383,01-22-2020
195,IA- MASON CITY,80,0,0,0,01-22-2020
196,IA- SIOUX CITY,80,0,0,0,01-22-2020
197,IA- WATERLOO,81,57,57,57,01-22-2020
200,KS- TOPEKA,80,23,23,23,01-22-2020
201,KS- WICHITA,80,245,245,245,01-22-2020
203,KY- COVINGTON,85,382,382,382,01-22-2020
204,KY- LEXINGTON,85,1794,1788,1794,01-22-2020
205,KY- LOUISVILLE,84,1338,1338,1338,01-22-2020
207,KY- OWENSBORO,80,18,18,18,01-22-2020
208,KY- PADUCAH,80,0,0,0,01-22-2020
209,LA- ALEXANDRIA,80,14,14,14,01-22-2020
210,LA- BATON ROUGE,86,1117,1117,1117,01-22-2020
212,LA- HOUMA,89,447,447,447,01-22-2020
213,LA- LAFAYETTE,80,122,122,122,01-22-2020
214,LA- LAKE CHARLES,81,84,84,84,01-22-2020
216,LA- METAIRIE,112,2281,2281,2281,01-22-2020
217,LA- MONROE,80,0,0,0,01-22-2020
218,LA- NEW ORLEANS,106,4351,4350,4351,01-22-2020
219,LA- SHREVEPORT,81,270,270,270,01-22-2020
221,ME- BANGOR,80,40,40,40,01-22-2020
222,ME- PORTLAND,84,795,795,795,01-22-2020
223,MD- BALTIMORE,89,4336,4334,4336,01-22-2020
225,MD- SALISBURY,85,357,357,357,01-22-2020
226,MD- TAKOMA PARK,106,2376,2375,2376,01-22-2020
227,MA- BOSTON,92,9329,9320,9330,01-22-2020
230,MA- SPRINGFIELD,87,800,800,800,01-22-2020
231,MA- WORCESTER,91,1339,1337,1339,01-22-2020
232,MI- ANN ARBOR,90,2273,2273,2273,01-22-2020
233,MI- DEARBORN,89,1047,1047,1047,01-22-2020
234,MI- DETROIT,90,3283,3282,3283,01-22-2020
235,MI- FLINT,85,503,503,503,01-22-2020
238,MI- KALAMAZOO,80,60,60,60,01-22-2020
239,MI- LANSING,82,293,293,293,01-22-2020
240,MI- MARQUETTE,80,0,0,0,01-22-2020
242,MI- MUSKEGON,80,14,14,14,01-22-2020
243,MI- PETOSKEY,80,0,0,0,01-22-2020
244,MI- PONTIAC,90,877,877,877,01-22-2020
245,MI- ROYAL OAK,88,1469,1469,1469,01-22-2020
246,MI- SAGINAW,80,84,84,84,01-22-2020
248,MI- ST JOSEPH,82,63,63,63,01-22-2020
249,MI- TRAVERSE CITY,80,0,0,0,01-22-2020
250,MN- DULUTH,80,0,0,0,01-22-2020
251,MN- MINNEAPOLIS,82,1498,1497,1499,01-22-2020
