date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-21-2020,87.33,,,,,,,,141,,,actual
11-28-2020,88.78,,,,,,,,169,,,actual
12-05-2020,90.03,,,,,,,,193,,,actual
12-12-2020,91.95,204,198,210,90.86,93.05,204 [198 - 210],91.95% [90.86% - 93.05%],230,209,251,projected
12-19-2020,93.46,229,221,240,90.6,96.74,229 [221 - 240],93.46% [90.6% - 96.74%],259,204,322,projected
12-26-2020,93.88,235,223,248,89.62,98.24,235 [223 - 248],93.88% [89.62% - 98.24%],267,185,351,projected
01-02-2021,94.55,247,231,267,88.89,101.1,247 [231 - 267],94.55% [88.89% - 101.1%],280,171,406,projected
01-09-2021,94.71,243,227,271,88.52,102.77,243 [227 - 271],94.71% [88.52% - 102.77%],283,164,438,projected
01-16-2021,94.4,242,224,275,87.8,104.84,242 [224 - 275],94.4% [87.8% - 104.84%],277,150,478,projected
01-23-2021,94.24,234,214,271,87.22,107.08,234 [214 - 271],94.24% [87.22% - 107.08%],274,139,521,projected
