date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-05-2020,87.32,,,,,,,,277,,,actual
12-12-2020,88.85,,,,,,,,335,,,actual
12-19-2020,92.23,,,,,,,,463,,,actual
12-26-2020,91.97,403,388,417,90.46,93.58,403 [388 - 417],91.97% [90.46% - 93.58%],453,396,514,projected
01-02-2021,93.5,450,432,477,90.14,98.04,450 [432 - 477],93.5% [90.14% - 98.04%],511,384,683,projected
01-09-2021,94.61,488,462,522,90.01,100.71,488 [462 - 522],94.61% [90.01% - 100.71%],553,379,784,projected
01-16-2021,95.87,529,496,579,89.77,104.96,529 [496 - 579],95.87% [89.77% - 104.96%],601,370,945,projected
01-23-2021,97.38,579,538,646,89.51,109.71,579 [538 - 646],97.38% [89.51% - 109.71%],658,360,1125,projected
01-30-2021,98.33,610,563,695,89.03,114.42,610 [563 - 695],98.33% [89.03% - 114.42%],694,342,1303,projected
02-06-2021,98.44,611,560,712,88.51,117.3,611 [560 - 712],98.44% [88.51% - 117.3%],698,322,1412,projected
