date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-05-2020,88.37,,,,,,,,280,,,actual
12-12-2020,88.9,,,,,,,,298,,,actual
12-19-2020,89.92,,,,,,,,332,,,actual
12-26-2020,87.83,231,223,238,86.81,88.78,231 [223 - 238],87.83% [86.81% - 88.78%],262,228,294,projected
01-02-2021,87.86,219,211,233,86.72,88.99,219 [211 - 233],87.86% [86.72% - 88.99%],263,225,301,projected
01-09-2021,87.62,223,211,236,85.14,90.46,223 [211 - 236],87.62% [85.14% - 90.46%],255,172,350,projected
01-16-2021,87.62,217,202,235,85.02,90.55,217 [202 - 235],87.62% [85.02% - 90.55%],255,168,353,projected
01-23-2021,87.44,216,199,237,84.15,91.17,216 [199 - 237],87.44% [84.15% - 91.17%],249,139,374,projected
01-30-2021,87.32,203,187,227,83.5,91.95,203 [187 - 227],87.32% [83.5% - 91.95%],245,117,400,projected
02-06-2021,86.93,191,175,220,83.2,92.49,191 [175 - 220],86.93% [83.2% - 92.49%],232,107,418,projected
