date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
11-07-2020,85.18,,,,,,,,182,,,actual
11-14-2020,87.83,,,,,,,,275,,,actual
11-21-2020,89.28,,,,,,,,326,,,actual
11-28-2020,102.77,708,688,725,100.52,104.88,708 [688 - 725],102.77% [100.52% - 104.88%],800,721,874,projected
12-05-2020,103.37,705,680,744,99.67,107.47,705 [680 - 744],103.37% [99.67% - 107.47%],821,691,965,projected
12-12-2020,103.06,712,679,751,96.74,110.77,712 [679 - 751],103.06% [96.74% - 110.77%],810,588,1081,projected
12-19-2020,103.71,729,687,785,95.17,114.56,729 [687 - 785],103.71% [95.17% - 114.56%],833,533,1214,projected
12-26-2020,104.59,760,708,831,93.72,118.71,760 [708 - 831],104.59% [93.72% - 118.71%],864,482,1360,projected
01-02-2021,104.91,766,707,855,92.41,123.21,766 [707 - 855],104.91% [92.41% - 123.21%],875,436,1518,projected
01-09-2021,105.53,783,716,893,91.24,128.08,783 [716 - 893],105.53% [91.24% - 128.08%],897,395,1689,projected
