date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-05-2020,87.17,,,,,,,,86,,,actual
12-12-2020,87.59,,,,,,,,91,,,actual
12-19-2020,87.92,,,,,,,,95,,,actual
12-26-2020,93.84,147,143,152,92.26,95.35,147 [143 - 152],93.84% [92.26% - 95.35%],166,147,184,projected
01-02-2021,94.18,147,142,155,91.59,97.18,147 [142 - 155],94.18% [91.59% - 97.18%],170,139,206,projected
01-09-2021,94.01,146,137,155,90.93,98.35,146 [137 - 155],94.01% [90.93% - 98.35%],168,131,220,projected
01-16-2021,93.76,143,133,156,88.76,99.35,143 [133 - 156],93.76% [88.76% - 99.35%],165,105,232,projected
01-23-2021,93.59,132,122,150,87.42,101.52,132 [122 - 150],93.59% [87.42% - 101.52%],163,89,258,projected
01-30-2021,92.43,118,108,137,86.26,102.94,118 [108 - 137],92.43% [86.26% - 102.94%],149,75,275,projected
02-06-2021,91.26,108,98,128,85.09,103.35,108 [98 - 128],91.26% [85.09% - 103.35%],135,61,280,projected
