date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
11-08-2020,57,56,57
11-09-2020,62,61,63
11-10-2020,63,63,65
11-11-2020,70,69,71
11-12-2020,70,69,71
11-13-2020,73,73,73
11-14-2020,73,71,74
11-15-2020,74,74,75
11-16-2020,73,73,73
11-17-2020,73,72,74
11-18-2020,70,70,71
11-19-2020,72,71,74
11-20-2020,74,73,76
11-21-2020,76,73,79
11-22-2020,78,73,82
11-23-2020,79,74,85
11-24-2020,81,74,87
11-25-2020,82,75,90
11-26-2020,83,74,94
11-27-2020,88,75,107
11-28-2020,89,74,110
11-29-2020,93,75,116
11-30-2020,95,76,121
12-01-2020,99,77,126
12-02-2020,100,77,131
12-03-2020,106,78,137
12-04-2020,109,78,141
12-05-2020,114,86,146
12-06-2020,116,85,151
12-07-2020,118,86,157
12-08-2020,121,87,162
12-09-2020,123,88,166
12-10-2020,126,89,172
12-11-2020,128,90,177
12-12-2020,132,90,182
12-13-2020,134,91,187
12-14-2020,136,91,192
12-15-2020,139,92,197
12-16-2020,141,92,200
12-17-2020,143,93,205
12-18-2020,145,93,208
12-19-2020,147,92,211
12-20-2020,148,93,214
12-21-2020,149,93,218
12-22-2020,151,92,221
12-23-2020,152,93,222
12-24-2020,152,92,223
12-25-2020,154,92,225
12-26-2020,155,92,225
12-27-2020,155,92,226
12-28-2020,155,91,227
12-29-2020,155,91,226
12-30-2020,155,91,226
12-31-2020,155,90,224
01-01-2021,154,90,224
01-02-2021,152,89,222
01-03-2021,152,88,219
01-04-2021,151,87,217
01-05-2021,149,86,214
01-06-2021,147,86,212
01-07-2021,146,85,209
01-08-2021,144,84,206
01-09-2021,142,83,202
