HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,84.12,345,305,443,81.14,91.6,345 [305 - 443],84.12% [81.14% - 91.6%],05-18-2020
2,AL- DOTHAN,80.79,8,6,14,80.0,83.69,8 [6 - 14],80.79% [80.0% - 83.69%],05-18-2020
5,AL- HUNTSVILLE,83.18,55,49,74,80.96,89.31,55 [49 - 74],83.18% [80.96% - 89.31%],05-18-2020
6,AL- MOBILE,82.31,63,58,85,80.88,87.49,63 [58 - 85],82.31% [80.88% - 87.49%],05-18-2020
7,AL- MONTGOMERY,82.99,41,36,59,80.84,90.35,41 [36 - 59],82.99% [80.84% - 90.35%],05-18-2020
9,AL- TUSCALOOSA,83.39,30,27,43,80.8,91.82,30 [27 - 43],83.39% [80.8% - 91.82%],05-18-2020
11,AZ- MESA,87.47,144,131,197,83.08,104.14,144 [131 - 197],87.47% [83.08% - 104.14%],05-18-2020
12,AZ- PHOENIX,84.77,357,326,487,81.98,95.45,357 [326 - 487],84.77% [81.98% - 95.45%],05-18-2020
14,AZ- SUN CITY,83.13,21,20,30,81.23,90.12,21 [20 - 30],83.13% [81.23% - 90.12%],05-18-2020
15,AZ- TUCSON,83.81,92,84,131,81.35,93.23,92 [84 - 131],83.81% [81.35% - 93.23%],05-18-2020
16,AR- FORT SMITH,80.0,0,0,1,80.0,80.55,0 [0 - 1],80.0% [80.0% - 80.55%],05-18-2020
18,AR- JONESBORO,80.46,0,0,1,80.0,81.11,0 [0 - 1],80.46% [80.0% - 81.11%],05-18-2020
19,AR- LITTLE ROCK,81.37,77,67,105,80.09,84.45,77 [67 - 105],81.37% [80.09% - 84.45%],05-18-2020
21,AR- SPRINGDALE,80.78,7,6,10,80.0,82.46,7 [6 - 10],80.78% [80.0% - 82.46%],05-18-2020
22,AR- TEXARKANA,80.6,2,1,5,80.0,82.14,2 [1 - 5],80.6% [80.0% - 82.14%],05-18-2020
23,CA- ORANGE CO.,82.95,220,196,288,80.71,88.68,220 [196 - 288],82.95% [80.71% - 88.68%],05-18-2020
25,CA- BAKERSFIELD,81.07,35,32,49,80.25,83.46,35 [32 - 49],81.07% [80.25% - 83.46%],05-18-2020
